ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.56,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.56,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.56,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.58,0.73,0.17,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.82,0.08,0.0,1.0
0.59,0.73,0.18,0.97,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.83,0.07,0.0,1.0
0.58,0.72,0.17,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.82,0.08,0.0,1.0
0.63,0.72,0.25,0.84,0.08,0.84,0.15,0.6,0.37,0.72,0.26,0.17,0.37,0.2,0.15,0.97,0.02,0.8,0.14,0.96,0.02,0.7,0.14
0.64,0.71,0.26,0.76,0.11,0.72,0.26,0.52,0.39,0.62,0.33,0.33,0.39,0.18,0.26,0.97,0.02,0.93,0.04,0.94,0.02,0.88,0.04
0.63,0.71,0.24,0.8,0.1,0.77,0.22,0.56,0.39,0.67,0.3,0.22,0.39,0.16,0.22,0.97,0.02,0.97,0.02,0.94,0.02,0.94,0.02
0.65,0.71,0.28,0.73,0.13,0.7,0.28,0.48,0.42,0.59,0.35,0.32,0.42,0.17,0.28,0.99,0.01,0.92,0.05,0.98,0.01,0.86,0.05
0.65,0.7,0.29,0.72,0.13,0.69,0.29,0.48,0.38,0.58,0.33,0.42,0.38,0.21,0.29,0.98,0.01,0.91,0.06,0.96,0.01,0.84,0.06
0.65,0.71,0.29,0.74,0.12,0.71,0.27,0.5,0.37,0.6,0.32,0.4,0.37,0.21,0.27,0.98,0.01,0.93,0.05,0.96,0.01,0.87,0.05
0.66,0.71,0.3,0.72,0.13,0.7,0.27,0.47,0.38,0.58,0.33,0.43,0.38,0.25,0.27,1.0,0.0,0.95,0.03,0.99,0.0,0.92,0.03
0.66,0.71,0.31,0.74,0.12,0.71,0.27,0.49,0.35,0.6,0.31,0.47,0.35,0.26,0.27,0.98,0.01,0.94,0.04,0.96,0.01,0.89,0.04
0.66,0.71,0.31,0.74,0.12,0.71,0.26,0.5,0.33,0.6,0.3,0.52,0.33,0.29,0.26,0.98,0.02,0.95,0.04,0.95,0.02,0.91,0.04
0.66,0.71,0.32,0.74,0.11,0.72,0.25,0.52,0.3,0.62,0.28,0.55,0.3,0.31,0.25,0.97,0.02,0.95,0.03,0.94,0.02,0.92,0.03
0.67,0.7,0.32,0.74,0.11,0.72,0.24,0.53,0.28,0.62,0.26,0.59,0.28,0.36,0.24,0.97,0.02,0.97,0.02,0.93,0.02,0.95,0.02
0.67,0.71,0.32,0.77,0.1,0.75,0.21,0.57,0.26,0.66,0.23,0.61,0.26,0.39,0.21,0.96,0.03,0.99,0.01,0.91,0.03,0.98,0.01
0.66,0.71,0.3,0.79,0.09,0.77,0.2,0.61,0.24,0.69,0.22,0.6,0.24,0.37,0.2,0.94,0.04,0.98,0.01,0.88,0.04,0.96,0.01
0.66,0.71,0.31,0.8,0.09,0.77,0.2,0.62,0.23,0.7,0.22,0.63,0.23,0.38,0.2,0.94,0.04,0.97,0.02,0.87,0.04,0.94,0.02
0.66,0.71,0.31,0.8,0.09,0.77,0.2,0.62,0.23,0.7,0.22,0.63,0.23,0.39,0.2,0.94,0.04,0.98,0.01,0.88,0.04,0.96,0.01
0.66,0.71,0.31,0.81,0.08,0.78,0.19,0.64,0.22,0.71,0.21,0.65,0.22,0.39,0.19,0.93,0.05,0.97,0.02,0.86,0.05,0.95,0.02
0.67,0.71,0.32,0.81,0.08,0.79,0.18,0.65,0.2,0.72,0.19,0.68,0.2,0.44,0.18,0.93,0.05,1.0,0.0,0.86,0.05,0.99,0.0
0.67,0.71,0.32,0.8,0.08,0.78,0.19,0.65,0.19,0.72,0.19,0.71,0.19,0.45,0.19,0.93,0.05,0.99,0.01,0.85,0.05,0.98,0.01
