ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.8,0.77,0.61,0.79,0.06,0.85,0.11,0.86,0.01,0.85,0.06,0.99,0.01,0.68,0.11,0.86,0.13,0.68,0.28,0.35,0.13,0.3,0.28
0.8,0.78,0.6,0.83,0.06,0.86,0.11,0.79,0.03,0.82,0.07,0.97,0.03,0.64,0.11,0.81,0.18,0.7,0.27,0.34,0.18,0.28,0.27
0.81,0.79,0.62,0.76,0.08,0.92,0.06,0.84,0.02,0.88,0.04,0.97,0.02,0.78,0.06,0.85,0.13,0.72,0.25,0.44,0.13,0.31,0.25
0.81,0.79,0.63,0.74,0.09,0.92,0.06,0.76,0.03,0.84,0.04,0.96,0.03,0.79,0.06,0.88,0.11,0.72,0.25,0.48,0.11,0.31,0.25
0.81,0.79,0.63,0.74,0.09,0.93,0.06,0.73,0.04,0.83,0.05,0.96,0.04,0.8,0.06,0.88,0.11,0.72,0.25,0.49,0.11,0.31,0.25
0.81,0.79,0.63,0.73,0.09,0.93,0.06,0.72,0.04,0.82,0.05,0.95,0.04,0.8,0.06,0.88,0.11,0.72,0.25,0.5,0.11,0.31,0.25
0.81,0.79,0.63,0.73,0.09,0.93,0.06,0.72,0.04,0.82,0.05,0.95,0.04,0.79,0.06,0.88,0.1,0.72,0.25,0.5,0.1,0.31,0.25
0.81,0.79,0.63,0.74,0.09,0.92,0.06,0.73,0.04,0.82,0.05,0.96,0.04,0.78,0.06,0.89,0.1,0.72,0.25,0.49,0.1,0.31,0.25
0.81,0.79,0.63,0.73,0.09,0.93,0.05,0.68,0.05,0.81,0.05,0.94,0.05,0.81,0.05,0.89,0.1,0.72,0.25,0.53,0.1,0.31,0.25
0.81,0.79,0.63,0.74,0.09,0.93,0.06,0.72,0.04,0.82,0.05,0.95,0.04,0.79,0.06,0.88,0.11,0.72,0.25,0.5,0.11,0.31,0.25
0.81,0.79,0.63,0.74,0.09,0.91,0.07,0.75,0.03,0.83,0.05,0.96,0.03,0.77,0.07,0.88,0.1,0.71,0.25,0.49,0.1,0.31,0.25
0.81,0.79,0.62,0.74,0.09,0.93,0.06,0.7,0.05,0.81,0.06,0.95,0.05,0.79,0.06,0.88,0.1,0.72,0.25,0.51,0.1,0.31,0.25
0.81,0.79,0.63,0.72,0.09,0.94,0.05,0.65,0.06,0.79,0.06,0.94,0.06,0.83,0.05,0.89,0.1,0.73,0.24,0.54,0.1,0.31,0.24
0.81,0.79,0.63,0.73,0.09,0.93,0.06,0.71,0.04,0.82,0.05,0.95,0.04,0.8,0.06,0.88,0.11,0.72,0.25,0.51,0.11,0.31,0.25
0.81,0.79,0.63,0.73,0.09,0.93,0.06,0.68,0.05,0.81,0.06,0.95,0.05,0.8,0.06,0.89,0.1,0.72,0.25,0.52,0.1,0.31,0.25
0.81,0.79,0.63,0.73,0.09,0.93,0.05,0.67,0.05,0.8,0.05,0.94,0.05,0.81,0.05,0.89,0.1,0.72,0.25,0.53,0.1,0.31,0.25
0.81,0.79,0.63,0.72,0.1,0.94,0.04,0.65,0.06,0.79,0.05,0.94,0.06,0.83,0.04,0.89,0.1,0.73,0.24,0.54,0.1,0.31,0.24
0.81,0.79,0.63,0.73,0.09,0.92,0.06,0.71,0.04,0.81,0.05,0.95,0.04,0.79,0.06,0.88,0.1,0.72,0.25,0.51,0.1,0.31,0.25
0.81,0.79,0.63,0.72,0.1,0.94,0.04,0.65,0.05,0.79,0.04,0.94,0.05,0.84,0.04,0.89,0.1,0.73,0.24,0.54,0.1,0.32,0.24
0.81,0.79,0.63,0.73,0.09,0.94,0.05,0.68,0.05,0.81,0.05,0.94,0.05,0.81,0.05,0.88,0.1,0.73,0.24,0.53,0.1,0.31,0.24
0.81,0.79,0.63,0.73,0.09,0.93,0.05,0.7,0.04,0.81,0.04,0.95,0.04,0.81,0.05,0.89,0.1,0.72,0.24,0.51,0.1,0.31,0.24
0.81,0.79,0.63,0.73,0.09,0.93,0.05,0.69,0.05,0.81,0.05,0.95,0.05,0.81,0.05,0.89,0.1,0.72,0.25,0.52,0.1,0.31,0.25
0.81,0.8,0.63,0.72,0.1,0.96,0.03,0.62,0.07,0.79,0.05,0.92,0.07,0.87,0.03,0.89,0.1,0.74,0.23,0.56,0.1,0.32,0.23
0.82,0.79,0.63,0.73,0.09,0.93,0.05,0.68,0.05,0.81,0.05,0.95,0.05,0.81,0.05,0.89,0.1,0.72,0.24,0.52,0.1,0.31,0.24
0.81,0.79,0.63,0.73,0.09,0.94,0.05,0.67,0.05,0.8,0.05,0.94,0.05,0.82,0.05,0.89,0.1,0.73,0.24,0.53,0.1,0.31,0.24
0.81,0.79,0.63,0.73,0.09,0.94,0.05,0.68,0.05,0.81,0.05,0.94,0.05,0.83,0.05,0.88,0.1,0.73,0.24,0.52,0.1,0.31,0.24
