ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.59,0.59,0.21,0.37,0.3,0.31,0.65,0.16,0.68,0.23,0.67,0.21,0.68,0.09,0.65,0.94,0.05,0.85,0.09,0.87,0.05,0.8,0.09
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.59,0.57,0.2,0.25,0.37,0.22,0.76,0.07,0.88,0.15,0.82,0.06,0.88,0.03,0.76,0.81,0.15,0.82,0.12,0.58,0.15,0.75,0.12
0.65,0.71,0.28,0.66,0.17,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.91,0.06,0.0,1.0,0.84,0.06,0.0,1.0
0.6,0.73,0.22,0.95,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9,0.06,0.0,1.0,0.85,0.06,0.0,1.0
0.64,0.73,0.27,0.83,0.09,0.83,0.16,0.57,0.4,0.7,0.28,0.12,0.4,0.11,0.16,0.98,0.01,0.88,0.08,0.96,0.01,0.79,0.08
0.65,0.74,0.28,0.87,0.06,0.87,0.13,0.68,0.28,0.78,0.21,0.35,0.28,0.2,0.13,0.93,0.04,0.97,0.02,0.89,0.04,0.92,0.02
0.63,0.61,0.31,0.5,0.2,0.48,0.39,0.24,0.36,0.36,0.38,0.59,0.36,0.38,0.39,0.93,0.05,1.0,0.0,0.81,0.05,1.0,0.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.58,0.72,0.15,0.98,0.01,1.0,0.0,0.94,0.06,0.97,0.03,0.09,0.06,0.85,0.0,0.86,0.09,0.54,0.43,0.81,0.09,0.13,0.43
