ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.55,0.31,0.0,1.0,0.51,0.31
0.55,0.68,0.26,0.95,0.03,0.99,0.01,0.89,0.1,0.94,0.06,0.48,0.1,0.27,0.01,0.56,0.28,0.96,0.03,0.55,0.28,0.51,0.03
0.81,0.8,0.63,0.69,0.11,0.98,0.01,0.59,0.08,0.78,0.04,0.91,0.08,0.94,0.01,0.88,0.11,0.75,0.23,0.55,0.11,0.32,0.23
0.82,0.81,0.63,0.64,0.14,0.93,0.06,0.39,0.18,0.66,0.12,0.79,0.18,0.73,0.06,0.92,0.07,0.81,0.17,0.72,0.07,0.38,0.17
0.73,0.76,0.51,0.88,0.05,0.99,0.01,0.97,0.01,0.98,0.01,0.98,0.01,0.88,0.01,0.64,0.28,0.84,0.15,0.43,0.28,0.3,0.15
0.81,0.78,0.63,0.68,0.1,0.94,0.04,0.61,0.04,0.77,0.04,0.95,0.04,0.87,0.04,0.92,0.08,0.71,0.25,0.54,0.08,0.33,0.25
0.82,0.81,0.64,0.65,0.13,0.97,0.03,0.42,0.15,0.69,0.09,0.84,0.15,0.89,0.03,0.92,0.06,0.77,0.2,0.71,0.06,0.34,0.2
0.81,0.78,0.63,0.62,0.13,0.97,0.02,0.39,0.1,0.68,0.06,0.89,0.1,0.94,0.02,0.95,0.04,0.74,0.23,0.74,0.04,0.36,0.23
0.79,0.8,0.6,0.51,0.23,0.78,0.21,0.14,0.59,0.46,0.4,0.34,0.59,0.13,0.21,0.89,0.09,0.96,0.03,0.7,0.09,0.77,0.03
0.8,0.8,0.61,0.63,0.16,0.88,0.11,0.35,0.32,0.61,0.21,0.62,0.32,0.42,0.11,0.91,0.07,0.88,0.11,0.78,0.07,0.47,0.11
0.8,0.75,0.61,0.7,0.09,0.91,0.06,0.72,0.02,0.81,0.04,0.97,0.02,0.84,0.06,0.91,0.08,0.69,0.27,0.47,0.08,0.33,0.27
0.82,0.82,0.64,0.54,0.2,0.82,0.17,0.18,0.36,0.5,0.27,0.61,0.36,0.36,0.17,0.96,0.04,0.89,0.1,0.84,0.04,0.54,0.1
0.78,0.8,0.59,0.55,0.21,0.81,0.18,0.2,0.55,0.51,0.36,0.37,0.55,0.16,0.18,0.96,0.03,0.95,0.04,0.89,0.03,0.7,0.04
0.8,0.8,0.6,0.73,0.1,0.98,0.02,0.66,0.1,0.82,0.06,0.87,0.1,0.9,0.02,0.8,0.17,0.8,0.18,0.52,0.17,0.34,0.18
0.81,0.78,0.63,0.65,0.12,0.99,0.01,0.49,0.07,0.74,0.04,0.92,0.07,0.98,0.01,0.93,0.06,0.73,0.24,0.62,0.06,0.35,0.24
0.83,0.82,0.65,0.58,0.17,0.87,0.11,0.28,0.24,0.57,0.17,0.74,0.24,0.56,0.11,0.98,0.02,0.84,0.14,0.91,0.02,0.44,0.14
0.82,0.8,0.64,0.6,0.15,0.92,0.07,0.31,0.16,0.61,0.12,0.83,0.16,0.77,0.07,0.97,0.03,0.78,0.2,0.85,0.03,0.39,0.2
0.74,0.77,0.53,0.69,0.15,0.89,0.11,0.41,0.43,0.65,0.27,0.39,0.43,0.19,0.11,0.84,0.11,0.94,0.05,0.73,0.11,0.61,0.05
0.62,0.71,0.37,0.88,0.06,0.97,0.03,0.75,0.21,0.86,0.12,0.43,0.21,0.28,0.03,0.63,0.24,0.94,0.05,0.58,0.24,0.45,0.05
0.81,0.8,0.63,0.67,0.12,1.0,0.0,0.48,0.12,0.74,0.06,0.86,0.12,0.99,0.0,0.9,0.08,0.76,0.22,0.64,0.08,0.32,0.22
0.8,0.76,0.62,0.69,0.09,0.92,0.05,0.71,0.03,0.81,0.04,0.97,0.03,0.85,0.05,0.91,0.08,0.7,0.26,0.47,0.08,0.33,0.26
0.79,0.8,0.6,0.54,0.21,0.81,0.18,0.17,0.55,0.49,0.36,0.38,0.55,0.18,0.18,0.93,0.06,0.93,0.06,0.81,0.06,0.63,0.06
0.81,0.79,0.63,0.65,0.12,0.98,0.01,0.45,0.09,0.71,0.05,0.91,0.09,0.96,0.01,0.94,0.05,0.73,0.24,0.68,0.05,0.34,0.24
0.82,0.82,0.64,0.59,0.17,0.87,0.11,0.28,0.29,0.57,0.2,0.68,0.29,0.49,0.11,0.97,0.02,0.86,0.13,0.9,0.02,0.45,0.13
