ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.61,0.34,0.28,0.29,0.11,0.15,0.4,0.08,0.04,0.11,0.22,0.96,0.04,0.57,0.4,0.85,0.14,0.5,0.4,0.17,0.14,0.34,0.4
0.8,0.8,0.6,0.45,0.25,0.71,0.28,0.1,0.55,0.4,0.42,0.42,0.55,0.14,0.28,0.86,0.11,0.98,0.02,0.59,0.11,0.87,0.02
0.82,0.82,0.64,0.53,0.2,0.82,0.16,0.16,0.4,0.49,0.28,0.57,0.4,0.35,0.16,0.92,0.06,0.89,0.1,0.74,0.06,0.53,0.1
0.8,0.81,0.61,0.54,0.21,0.83,0.17,0.17,0.52,0.5,0.35,0.42,0.52,0.22,0.17,0.92,0.07,0.92,0.07,0.77,0.07,0.59,0.07
0.82,0.82,0.64,0.54,0.2,0.83,0.16,0.17,0.4,0.5,0.28,0.57,0.4,0.34,0.16,0.93,0.05,0.89,0.1,0.78,0.05,0.52,0.1
0.78,0.8,0.59,0.71,0.12,0.94,0.06,0.51,0.22,0.72,0.14,0.72,0.22,0.62,0.06,0.83,0.13,0.85,0.13,0.63,0.13,0.39,0.13
0.82,0.81,0.64,0.63,0.14,0.94,0.05,0.37,0.2,0.66,0.12,0.77,0.2,0.75,0.05,0.94,0.05,0.81,0.17,0.78,0.05,0.36,0.17
0.83,0.82,0.65,0.56,0.18,0.87,0.11,0.21,0.3,0.54,0.2,0.67,0.3,0.52,0.11,0.97,0.03,0.85,0.14,0.88,0.03,0.43,0.14
0.83,0.82,0.65,0.58,0.17,0.9,0.09,0.24,0.25,0.57,0.17,0.73,0.25,0.63,0.09,0.99,0.01,0.82,0.16,0.96,0.01,0.4,0.16
0.82,0.82,0.65,0.56,0.18,0.88,0.11,0.21,0.31,0.55,0.21,0.66,0.31,0.52,0.11,0.96,0.03,0.85,0.14,0.87,0.03,0.43,0.14
0.82,0.79,0.64,0.67,0.11,0.95,0.03,0.44,0.1,0.69,0.07,0.89,0.1,0.87,0.03,0.94,0.05,0.73,0.24,0.72,0.05,0.3,0.24
0.82,0.81,0.63,0.64,0.14,0.94,0.06,0.37,0.21,0.66,0.14,0.76,0.21,0.72,0.06,0.93,0.06,0.81,0.17,0.77,0.06,0.36,0.17
0.83,0.81,0.65,0.58,0.16,0.9,0.08,0.25,0.23,0.57,0.15,0.76,0.23,0.67,0.08,0.99,0.01,0.81,0.17,0.97,0.01,0.4,0.17
