ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.94,0.08,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.94,0.09,1.0,0.0,1.0,0.0,0.99,0.01,0.99,0.01,0.69,0.01,0.3,0.0,0.79,0.19,0.8,0.15,0.28,0.19,0.62,0.15
0.9,0.95,0.26,0.97,0.02,0.98,0.02,0.91,0.08,0.95,0.05,0.6,0.08,0.34,0.02,0.82,0.16,0.67,0.23,0.29,0.16,0.58,0.23
0.9,0.95,0.2,0.99,0.01,0.99,0.01,0.98,0.02,0.98,0.01,0.77,0.02,0.25,0.01,0.8,0.18,0.87,0.09,0.28,0.18,0.79,0.09
0.9,0.95,0.23,0.98,0.01,0.99,0.01,0.96,0.04,0.97,0.03,0.72,0.04,0.34,0.01,0.81,0.18,0.77,0.17,0.28,0.18,0.6,0.17
0.9,0.94,0.09,1.0,0.0,0.99,0.01,1.0,0.0,0.99,0.01,0.87,0.0,0.1,0.01,0.79,0.19,0.7,0.21,0.27,0.19,0.57,0.21
0.9,0.94,0.1,0.99,0.0,0.99,0.01,0.99,0.01,0.99,0.01,0.58,0.01,0.09,0.01,0.79,0.19,0.87,0.08,0.28,0.19,0.83,0.08
0.9,0.95,0.2,0.99,0.01,0.99,0.01,0.96,0.03,0.97,0.02,0.65,0.03,0.23,0.01,0.81,0.18,0.87,0.1,0.28,0.18,0.72,0.1
0.9,0.95,0.19,0.99,0.01,0.99,0.01,0.98,0.02,0.98,0.01,0.74,0.02,0.15,0.01,0.8,0.19,0.98,0.02,0.28,0.19,0.95,0.02
0.9,0.95,0.2,0.99,0.01,0.99,0.01,0.96,0.03,0.97,0.02,0.65,0.03,0.23,0.01,0.81,0.18,0.87,0.1,0.28,0.18,0.72,0.1
