ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.06,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.37,0.18
0.8,0.35,0.32,0.01,0.1,0.01,0.27,0.02,0.05,0.01,0.16,0.95,0.05,0.73,0.27,0.35,0.46,0.85,0.14,0.39,0.46,0.44,0.14
0.81,0.43,0.37,0.07,0.12,0.08,0.33,0.1,0.06,0.09,0.2,0.94,0.06,0.66,0.33,0.51,0.34,0.87,0.12,0.46,0.34,0.47,0.12
0.81,0.47,0.4,0.11,0.13,0.13,0.36,0.16,0.06,0.15,0.21,0.93,0.06,0.62,0.36,0.5,0.35,0.88,0.11,0.47,0.35,0.49,0.11
0.81,0.46,0.39,0.13,0.12,0.16,0.34,0.2,0.06,0.18,0.2,0.94,0.06,0.64,0.34,0.48,0.36,0.87,0.11,0.45,0.36,0.47,0.11
0.81,0.52,0.42,0.14,0.15,0.19,0.39,0.17,0.08,0.18,0.24,0.92,0.08,0.57,0.39,0.59,0.27,0.89,0.1,0.55,0.27,0.51,0.1
0.81,0.51,0.42,0.12,0.15,0.17,0.39,0.15,0.08,0.16,0.24,0.92,0.08,0.57,0.39,0.6,0.27,0.89,0.1,0.54,0.27,0.51,0.1
0.82,0.5,0.42,0.11,0.15,0.18,0.37,0.12,0.08,0.15,0.23,0.92,0.08,0.59,0.37,0.71,0.2,0.89,0.1,0.61,0.2,0.5,0.1
