ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.76,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.77,0.11,0.17,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.17,0.0,1.0,0.4,0.17
0.78,0.25,0.25,0.57,0.02,0.56,0.07,0.65,0.01,0.6,0.04,0.99,0.01,0.92,0.07,0.39,0.49,0.82,0.16,0.28,0.49,0.4,0.16
0.8,0.4,0.36,0.13,0.1,0.17,0.27,0.21,0.04,0.19,0.15,0.96,0.04,0.72,0.27,0.57,0.32,0.86,0.12,0.44,0.32,0.47,0.12
0.8,0.42,0.37,0.33,0.08,0.36,0.21,0.65,0.02,0.51,0.11,0.98,0.02,0.76,0.21,0.45,0.41,0.86,0.13,0.37,0.41,0.45,0.13
0.75,0.5,0.34,0.71,0.08,0.8,0.13,0.33,0.21,0.57,0.17,0.76,0.21,0.74,0.13,0.3,0.47,0.87,0.12,0.4,0.47,0.34,0.12
0.77,0.33,0.24,0.62,0.05,0.63,0.13,0.23,0.09,0.43,0.11,0.91,0.09,0.84,0.13,0.36,0.5,0.81,0.17,0.31,0.5,0.34,0.17
0.82,0.57,0.46,0.05,0.2,0.09,0.54,0.03,0.13,0.06,0.34,0.87,0.13,0.43,0.54,0.91,0.06,0.93,0.06,0.86,0.06,0.65,0.06
0.81,0.57,0.45,0.03,0.23,0.06,0.59,0.02,0.17,0.04,0.38,0.83,0.17,0.38,0.59,0.99,0.01,0.94,0.05,0.98,0.01,0.69,0.05
0.79,0.6,0.46,0.1,0.26,0.15,0.64,0.07,0.24,0.11,0.44,0.75,0.24,0.28,0.64,0.81,0.11,0.98,0.02,0.8,0.11,0.84,0.02
0.82,0.49,0.42,0.21,0.11,0.31,0.29,0.3,0.04,0.3,0.16,0.95,0.04,0.67,0.29,0.63,0.27,0.88,0.11,0.49,0.27,0.49,0.11
0.82,0.54,0.45,0.15,0.15,0.24,0.37,0.16,0.07,0.2,0.22,0.93,0.07,0.58,0.37,0.75,0.18,0.9,0.09,0.61,0.18,0.54,0.09
0.78,0.61,0.47,0.06,0.31,0.12,0.76,0.03,0.33,0.07,0.55,0.66,0.33,0.15,0.76,0.96,0.02,0.98,0.02,0.95,0.02,0.78,0.02
0.78,0.61,0.48,0.26,0.23,0.34,0.53,0.22,0.22,0.28,0.38,0.77,0.22,0.27,0.53,0.67,0.18,0.98,0.01,0.71,0.18,0.86,0.01
0.82,0.5,0.43,0.13,0.13,0.23,0.33,0.16,0.06,0.2,0.2,0.94,0.06,0.63,0.33,0.75,0.19,0.89,0.1,0.59,0.19,0.51,0.1
0.82,0.59,0.48,0.04,0.21,0.08,0.56,0.02,0.13,0.05,0.35,0.87,0.13,0.41,0.56,0.88,0.09,0.94,0.05,0.72,0.09,0.68,0.05
