ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.76,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.77,0.1,0.16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.17,0.0,1.0,0.4,0.17
0.8,0.37,0.35,0.01,0.1,0.01,0.29,0.02,0.04,0.01,0.16,0.96,0.04,0.71,0.29,0.45,0.41,0.86,0.13,0.39,0.41,0.47,0.13
0.81,0.45,0.39,0.05,0.14,0.06,0.37,0.06,0.06,0.06,0.21,0.93,0.06,0.62,0.37,0.54,0.33,0.88,0.11,0.47,0.33,0.51,0.11
0.81,0.48,0.41,0.08,0.14,0.12,0.37,0.1,0.07,0.11,0.22,0.93,0.07,0.61,0.37,0.64,0.25,0.89,0.1,0.54,0.25,0.52,0.1
0.82,0.51,0.43,0.1,0.15,0.14,0.41,0.12,0.08,0.13,0.24,0.92,0.08,0.57,0.41,0.65,0.25,0.9,0.09,0.55,0.25,0.55,0.09
0.82,0.53,0.44,0.11,0.16,0.15,0.42,0.14,0.08,0.15,0.25,0.92,0.08,0.55,0.42,0.63,0.26,0.9,0.08,0.53,0.26,0.56,0.08
0.82,0.5,0.43,0.11,0.14,0.17,0.38,0.13,0.07,0.15,0.23,0.93,0.07,0.59,0.38,0.68,0.23,0.89,0.09,0.56,0.23,0.53,0.09
0.82,0.53,0.45,0.11,0.16,0.16,0.42,0.12,0.08,0.14,0.25,0.92,0.08,0.55,0.42,0.7,0.21,0.91,0.08,0.58,0.21,0.56,0.08
0.82,0.52,0.44,0.09,0.15,0.15,0.4,0.09,0.07,0.12,0.24,0.93,0.07,0.57,0.4,0.76,0.17,0.9,0.09,0.63,0.17,0.54,0.09
0.82,0.55,0.46,0.08,0.17,0.13,0.46,0.08,0.09,0.11,0.28,0.91,0.09,0.5,0.46,0.76,0.17,0.92,0.07,0.63,0.17,0.59,0.07
0.82,0.55,0.46,0.06,0.17,0.1,0.47,0.06,0.09,0.08,0.28,0.91,0.09,0.5,0.47,0.81,0.13,0.92,0.07,0.69,0.13,0.6,0.07
0.82,0.54,0.46,0.06,0.17,0.1,0.46,0.05,0.08,0.08,0.27,0.92,0.08,0.52,0.46,0.83,0.12,0.91,0.08,0.7,0.12,0.59,0.08
0.82,0.55,0.47,0.05,0.17,0.1,0.47,0.05,0.09,0.08,0.28,0.91,0.09,0.5,0.47,0.83,0.12,0.92,0.07,0.71,0.12,0.6,0.07
0.82,0.54,0.46,0.04,0.17,0.09,0.46,0.03,0.08,0.06,0.27,0.92,0.08,0.51,0.46,0.99,0.0,0.91,0.08,0.99,0.0,0.59,0.08
0.83,0.55,0.47,0.04,0.17,0.09,0.47,0.03,0.09,0.06,0.28,0.91,0.09,0.5,0.47,1.0,0.0,0.92,0.07,0.99,0.0,0.6,0.07
