ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.88,0.94,0.08,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.65,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.89,0.94,0.36,0.89,0.05,0.89,0.11,0.7,0.23,0.79,0.17,0.49,0.23,0.16,0.11,0.86,0.13,0.87,0.08,0.34,0.13,0.84,0.08
0.89,0.94,0.36,0.88,0.06,0.88,0.12,0.69,0.24,0.78,0.18,0.51,0.24,0.17,0.12,0.86,0.13,0.85,0.08,0.35,0.13,0.84,0.08
0.89,0.94,0.34,0.9,0.05,0.92,0.08,0.65,0.31,0.79,0.2,0.29,0.31,0.1,0.08,0.87,0.12,0.85,0.1,0.38,0.12,0.78,0.1
0.89,0.94,0.35,0.91,0.05,0.92,0.07,0.65,0.31,0.79,0.19,0.28,0.31,0.11,0.07,0.87,0.12,0.83,0.11,0.38,0.12,0.74,0.11
0.89,0.94,0.33,0.91,0.04,0.93,0.07,0.66,0.3,0.8,0.18,0.26,0.3,0.1,0.07,0.86,0.13,0.84,0.11,0.38,0.13,0.75,0.11
0.89,0.94,0.34,0.91,0.04,0.93,0.07,0.64,0.32,0.79,0.2,0.22,0.32,0.09,0.07,0.87,0.12,0.82,0.13,0.39,0.12,0.71,0.13
0.89,0.94,0.32,0.93,0.04,0.95,0.05,0.68,0.29,0.81,0.17,0.2,0.29,0.08,0.05,0.86,0.13,0.85,0.11,0.38,0.13,0.73,0.11
0.89,0.94,0.29,0.94,0.03,0.96,0.04,0.75,0.24,0.85,0.14,0.16,0.24,0.04,0.04,0.84,0.15,0.98,0.01,0.36,0.15,0.95,0.01
0.89,0.94,0.3,0.94,0.03,0.95,0.05,0.72,0.26,0.83,0.15,0.17,0.26,0.04,0.05,0.84,0.14,1.0,0.0,0.36,0.14,1.0,0.0
0.89,0.94,0.3,0.94,0.03,0.96,0.04,0.74,0.25,0.85,0.14,0.18,0.25,0.04,0.04,0.84,0.15,1.0,0.0,0.36,0.15,0.99,0.0
0.89,0.94,0.3,0.94,0.03,0.95,0.05,0.74,0.25,0.84,0.15,0.17,0.25,0.03,0.05,0.84,0.15,0.91,0.07,0.36,0.15,0.74,0.07
0.89,0.94,0.3,0.94,0.03,0.95,0.05,0.73,0.25,0.84,0.15,0.18,0.25,0.04,0.05,0.84,0.15,0.99,0.01,0.36,0.15,0.97,0.01
0.89,0.94,0.29,0.94,0.03,0.96,0.04,0.74,0.25,0.85,0.14,0.15,0.25,0.03,0.04,0.84,0.15,0.95,0.04,0.36,0.15,0.86,0.04
0.89,0.94,0.29,0.94,0.03,0.95,0.05,0.73,0.26,0.84,0.15,0.15,0.26,0.03,0.05,0.84,0.14,0.96,0.03,0.36,0.14,0.91,0.03
0.89,0.94,0.29,0.94,0.03,0.95,0.05,0.73,0.26,0.84,0.15,0.13,0.26,0.03,0.05,0.84,0.15,0.99,0.01,0.36,0.15,0.97,0.01
0.89,0.94,0.27,0.94,0.03,0.96,0.04,0.76,0.23,0.86,0.14,0.14,0.23,0.02,0.04,0.83,0.15,0.89,0.08,0.35,0.15,0.72,0.08
0.89,0.94,0.26,0.95,0.02,0.96,0.04,0.79,0.2,0.88,0.12,0.14,0.2,0.02,0.04,0.83,0.16,0.85,0.13,0.34,0.16,0.57,0.13
0.89,0.94,0.24,0.96,0.02,0.97,0.03,0.81,0.18,0.89,0.1,0.11,0.18,0.01,0.03,0.82,0.16,0.82,0.16,0.34,0.16,0.44,0.16
0.89,0.94,0.23,0.96,0.02,0.97,0.03,0.82,0.18,0.9,0.1,0.08,0.18,0.01,0.03,0.82,0.17,0.88,0.1,0.34,0.17,0.62,0.1
0.89,0.94,0.22,0.97,0.02,0.0,1.0,0.84,0.15,0.42,0.57,0.1,0.15,0.0,1.0,0.81,0.17,0.0,1.0,0.33,0.17,0.0,1.0
