ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.88,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.89,0.94,0.22,0.99,0.01,0.99,0.01,0.98,0.02,0.98,0.01,0.82,0.02,0.35,0.01,0.79,0.19,0.83,0.13,0.3,0.19,0.65,0.13
0.89,0.94,0.21,0.99,0.01,1.0,0.0,0.95,0.04,0.97,0.02,0.54,0.04,0.35,0.0,0.8,0.19,0.8,0.18,0.31,0.19,0.45,0.18
0.88,0.94,0.06,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.89,0.94,0.26,0.97,0.01,0.98,0.02,0.9,0.09,0.94,0.06,0.46,0.09,0.14,0.02,0.81,0.18,0.94,0.04,0.31,0.18,0.85,0.04
0.88,0.94,0.15,0.99,0.0,0.0,1.0,0.96,0.04,0.48,0.52,0.29,0.04,0.0,1.0,0.79,0.19,0.0,1.0,0.31,0.19,0.0,1.0
0.89,0.94,0.21,0.98,0.01,0.99,0.01,0.92,0.08,0.96,0.04,0.28,0.08,0.08,0.01,0.8,0.18,0.97,0.02,0.31,0.18,0.88,0.02
0.89,0.94,0.4,0.9,0.05,0.92,0.08,0.76,0.16,0.84,0.12,0.66,0.16,0.27,0.08,0.86,0.13,0.78,0.14,0.32,0.13,0.73,0.14
0.89,0.94,0.33,0.94,0.03,0.95,0.05,0.82,0.15,0.89,0.1,0.54,0.15,0.22,0.05,0.84,0.15,0.81,0.13,0.32,0.15,0.72,0.13
0.89,0.94,0.24,0.97,0.01,0.98,0.02,0.91,0.08,0.95,0.05,0.47,0.08,0.14,0.02,0.81,0.18,0.94,0.04,0.31,0.18,0.85,0.04
0.89,0.94,0.32,0.96,0.02,0.97,0.03,0.94,0.05,0.95,0.04,0.8,0.05,0.36,0.03,0.82,0.17,0.78,0.15,0.29,0.17,0.67,0.15
0.88,0.94,0.15,0.99,0.0,1.0,0.0,0.98,0.02,0.99,0.01,0.48,0.02,0.15,0.0,0.79,0.19,0.96,0.03,0.3,0.19,0.78,0.03
0.88,0.94,0.15,0.99,0.0,0.0,1.0,0.97,0.02,0.48,0.51,0.4,0.02,0.0,1.0,0.79,0.19,0.0,1.0,0.3,0.19,0.0,1.0
0.89,0.94,0.3,0.96,0.02,0.97,0.03,0.89,0.09,0.93,0.06,0.6,0.09,0.25,0.03,0.82,0.17,0.83,0.13,0.31,0.17,0.69,0.13
0.89,0.94,0.2,0.98,0.01,0.99,0.01,0.95,0.05,0.97,0.03,0.47,0.05,0.1,0.01,0.8,0.19,0.98,0.01,0.31,0.19,0.94,0.01
0.89,0.94,0.37,0.94,0.03,0.95,0.04,0.96,0.03,0.95,0.04,0.92,0.03,0.45,0.04,0.83,0.16,0.72,0.18,0.28,0.16,0.66,0.18
