ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.88,0.94,0.04,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.94,0.15,0.99,0.0,0.0,1.0,0.95,0.05,0.47,0.53,0.18,0.05,0.0,1.0,0.79,0.19,0.0,1.0,0.31,0.19,0.0,1.0
0.89,0.94,0.34,0.91,0.05,0.91,0.08,0.7,0.26,0.8,0.17,0.37,0.26,0.11,0.08,0.86,0.13,0.89,0.07,0.36,0.13,0.84,0.07
0.89,0.94,0.24,0.96,0.02,0.97,0.03,0.81,0.19,0.89,0.11,0.14,0.19,0.04,0.03,0.82,0.16,0.96,0.03,0.34,0.16,0.9,0.03
0.89,0.94,0.29,0.94,0.03,0.96,0.04,0.72,0.26,0.84,0.15,0.15,0.26,0.07,0.04,0.84,0.14,0.8,0.15,0.37,0.14,0.64,0.15
0.89,0.94,0.31,0.93,0.03,0.95,0.05,0.71,0.27,0.83,0.16,0.17,0.27,0.06,0.05,0.85,0.14,0.87,0.1,0.37,0.14,0.74,0.1
0.89,0.94,0.34,0.91,0.05,0.92,0.08,0.64,0.33,0.78,0.21,0.22,0.33,0.07,0.08,0.87,0.12,0.87,0.09,0.39,0.12,0.79,0.09
0.89,0.94,0.26,0.95,0.03,0.96,0.04,0.78,0.21,0.87,0.12,0.16,0.21,0.03,0.04,0.83,0.16,0.94,0.04,0.34,0.16,0.85,0.04
0.89,0.94,0.24,0.95,0.02,0.97,0.03,0.8,0.2,0.89,0.12,0.12,0.2,0.03,0.03,0.82,0.16,0.99,0.01,0.34,0.16,0.96,0.01
0.89,0.94,0.28,0.94,0.03,0.96,0.04,0.76,0.23,0.86,0.14,0.17,0.23,0.04,0.04,0.84,0.15,0.99,0.01,0.35,0.15,0.96,0.01
0.89,0.94,0.31,0.93,0.03,0.95,0.05,0.71,0.27,0.83,0.16,0.16,0.27,0.04,0.05,0.85,0.14,0.99,0.01,0.37,0.14,0.98,0.01
0.89,0.94,0.33,0.92,0.04,0.94,0.06,0.65,0.33,0.79,0.2,0.16,0.33,0.05,0.06,0.86,0.13,0.93,0.05,0.39,0.13,0.85,0.05
0.89,0.94,0.3,0.94,0.03,0.96,0.04,0.73,0.26,0.84,0.15,0.15,0.26,0.04,0.04,0.84,0.14,1.0,0.0,0.36,0.14,1.0,0.0
0.89,0.94,0.24,0.96,0.02,0.97,0.03,0.82,0.18,0.9,0.1,0.12,0.18,0.01,0.03,0.82,0.16,0.86,0.12,0.34,0.16,0.5,0.12
0.9,0.94,0.34,0.92,0.04,0.94,0.06,0.64,0.33,0.79,0.2,0.18,0.33,0.05,0.06,0.87,0.12,0.95,0.03,0.39,0.12,0.89,0.03
0.89,0.94,0.29,0.94,0.03,0.96,0.04,0.74,0.25,0.85,0.14,0.15,0.25,0.03,0.04,0.84,0.15,0.96,0.03,0.36,0.15,0.87,0.03
0.89,0.94,0.3,0.93,0.04,0.94,0.06,0.69,0.3,0.81,0.18,0.14,0.3,0.04,0.06,0.85,0.14,0.95,0.04,0.37,0.14,0.89,0.04
0.9,0.94,0.36,0.9,0.05,0.92,0.08,0.59,0.37,0.76,0.23,0.18,0.37,0.05,0.08,0.88,0.11,0.93,0.05,0.41,0.11,0.86,0.05
0.9,0.94,0.35,0.91,0.04,0.93,0.07,0.62,0.35,0.78,0.21,0.17,0.35,0.04,0.07,0.87,0.12,0.97,0.02,0.4,0.12,0.93,0.02
0.9,0.94,0.36,0.89,0.05,0.91,0.09,0.59,0.37,0.75,0.23,0.22,0.37,0.06,0.09,0.88,0.11,0.96,0.03,0.41,0.11,0.92,0.03
0.9,0.94,0.38,0.89,0.06,0.9,0.1,0.59,0.36,0.74,0.23,0.28,0.36,0.07,0.1,0.88,0.11,0.95,0.03,0.41,0.11,0.92,0.03
0.9,0.94,0.34,0.91,0.05,0.93,0.07,0.61,0.36,0.77,0.21,0.14,0.36,0.03,0.07,0.87,0.12,0.97,0.02,0.41,0.12,0.94,0.02
0.9,0.94,0.35,0.9,0.05,0.92,0.08,0.61,0.36,0.77,0.22,0.19,0.36,0.04,0.08,0.87,0.12,1.0,0.0,0.4,0.12,0.99,0.0
0.89,0.94,0.37,0.88,0.06,0.89,0.11,0.56,0.38,0.73,0.24,0.24,0.38,0.07,0.11,0.88,0.11,0.94,0.04,0.42,0.11,0.9,0.04
0.9,0.94,0.36,0.89,0.05,0.91,0.09,0.58,0.38,0.74,0.23,0.2,0.38,0.05,0.09,0.88,0.11,0.95,0.03,0.41,0.11,0.91,0.03
