ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.71,0.6,0.45,0.04,0.31,0.06,0.64,0.01,0.17,0.03,0.41,0.83,0.17,0.34,0.64,0.96,0.04,0.9,0.07,0.68,0.04,0.83,0.07
0.73,0.72,0.46,0.18,0.38,0.24,0.74,0.03,0.65,0.14,0.7,0.34,0.65,0.04,0.74,0.83,0.14,0.82,0.16,0.51,0.14,0.45,0.16
0.82,0.82,0.65,0.55,0.19,0.83,0.15,0.17,0.33,0.5,0.24,0.65,0.33,0.44,0.15,0.94,0.05,0.87,0.12,0.74,0.05,0.52,0.12
0.83,0.82,0.66,0.59,0.16,0.89,0.09,0.23,0.26,0.56,0.17,0.72,0.26,0.61,0.09,0.97,0.02,0.83,0.15,0.87,0.02,0.43,0.15
0.83,0.82,0.66,0.61,0.15,0.92,0.07,0.26,0.22,0.59,0.15,0.76,0.22,0.69,0.07,0.99,0.01,0.82,0.16,0.96,0.01,0.4,0.16
0.83,0.82,0.66,0.61,0.15,0.92,0.07,0.27,0.22,0.59,0.15,0.77,0.22,0.71,0.07,0.99,0.01,0.81,0.17,0.97,0.01,0.4,0.17
0.83,0.82,0.66,0.6,0.16,0.91,0.08,0.24,0.24,0.57,0.16,0.74,0.24,0.67,0.08,0.98,0.02,0.82,0.16,0.91,0.02,0.41,0.16
0.83,0.82,0.66,0.61,0.15,0.92,0.06,0.27,0.21,0.59,0.14,0.77,0.21,0.72,0.06,0.99,0.01,0.81,0.17,0.97,0.01,0.4,0.17
0.83,0.82,0.66,0.61,0.15,0.92,0.07,0.26,0.23,0.59,0.15,0.75,0.23,0.71,0.07,0.99,0.01,0.81,0.17,0.94,0.01,0.4,0.17
0.83,0.82,0.66,0.6,0.16,0.91,0.07,0.25,0.24,0.58,0.15,0.74,0.24,0.68,0.07,0.98,0.02,0.82,0.16,0.91,0.02,0.4,0.16
0.83,0.82,0.66,0.61,0.15,0.92,0.06,0.26,0.22,0.59,0.14,0.76,0.22,0.72,0.06,0.99,0.01,0.81,0.17,0.94,0.01,0.39,0.17
0.83,0.82,0.66,0.61,0.15,0.93,0.06,0.27,0.2,0.6,0.13,0.78,0.2,0.75,0.06,0.99,0.01,0.8,0.17,0.97,0.01,0.39,0.17
0.83,0.82,0.66,0.61,0.15,0.93,0.06,0.26,0.21,0.59,0.14,0.77,0.21,0.75,0.06,0.99,0.01,0.8,0.17,0.95,0.01,0.39,0.17
0.83,0.82,0.66,0.61,0.15,0.93,0.06,0.26,0.2,0.59,0.13,0.78,0.2,0.75,0.06,0.99,0.01,0.8,0.18,0.95,0.01,0.39,0.18
0.83,0.82,0.66,0.61,0.15,0.93,0.06,0.26,0.22,0.59,0.14,0.76,0.22,0.73,0.06,0.99,0.01,0.81,0.17,0.93,0.01,0.39,0.17
0.83,0.82,0.66,0.61,0.15,0.93,0.06,0.26,0.22,0.59,0.14,0.77,0.22,0.73,0.06,0.99,0.01,0.81,0.17,0.94,0.01,0.39,0.17
0.83,0.82,0.66,0.61,0.15,0.92,0.07,0.25,0.23,0.58,0.15,0.75,0.23,0.7,0.07,0.98,0.01,0.81,0.17,0.92,0.01,0.4,0.17
0.83,0.82,0.66,0.61,0.15,0.93,0.06,0.26,0.22,0.59,0.14,0.76,0.22,0.73,0.06,0.99,0.01,0.81,0.17,0.94,0.01,0.39,0.17
0.83,0.82,0.66,0.61,0.15,0.92,0.07,0.25,0.22,0.58,0.15,0.76,0.22,0.71,0.07,0.98,0.01,0.81,0.17,0.92,0.01,0.4,0.17
0.83,0.82,0.66,0.61,0.15,0.93,0.06,0.26,0.21,0.59,0.14,0.77,0.21,0.73,0.06,0.99,0.01,0.81,0.17,0.95,0.01,0.39,0.17
0.83,0.82,0.66,0.62,0.15,0.94,0.05,0.28,0.2,0.61,0.12,0.79,0.2,0.77,0.05,1.0,0.0,0.8,0.18,1.0,0.0,0.38,0.18
0.83,0.82,0.66,0.61,0.15,0.93,0.06,0.26,0.21,0.59,0.14,0.77,0.21,0.74,0.06,0.99,0.01,0.8,0.17,0.95,0.01,0.39,0.17
0.83,0.82,0.66,0.62,0.15,0.93,0.06,0.27,0.2,0.6,0.13,0.78,0.2,0.75,0.06,1.0,0.0,0.8,0.17,0.98,0.0,0.39,0.17
0.83,0.82,0.66,0.61,0.15,0.93,0.06,0.27,0.2,0.6,0.13,0.79,0.2,0.75,0.06,0.99,0.01,0.8,0.17,0.96,0.01,0.39,0.17
0.83,0.82,0.66,0.61,0.15,0.93,0.06,0.26,0.22,0.59,0.14,0.76,0.22,0.73,0.06,0.99,0.01,0.81,0.17,0.95,0.01,0.39,0.17
0.83,0.82,0.66,0.62,0.15,0.93,0.06,0.27,0.2,0.6,0.13,0.78,0.2,0.75,0.06,1.0,0.0,0.8,0.17,0.98,0.0,0.39,0.17
0.83,0.82,0.66,0.61,0.15,0.93,0.06,0.26,0.22,0.59,0.14,0.76,0.22,0.73,0.06,0.99,0.01,0.81,0.17,0.93,0.01,0.39,0.17
0.83,0.82,0.66,0.6,0.16,0.92,0.07,0.24,0.24,0.58,0.15,0.74,0.24,0.69,0.07,0.98,0.02,0.81,0.17,0.9,0.02,0.4,0.17
