ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.58,0.72,0.15,0.97,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.91,0.06,0.0,1.0,0.87,0.06,0.0,1.0
0.63,0.73,0.24,0.84,0.08,0.82,0.17,0.6,0.38,0.71,0.28,0.11,0.38,0.02,0.17,1.0,0.0,0.77,0.21,1.0,0.0,0.35,0.21
0.64,0.7,0.26,0.71,0.14,0.65,0.35,0.45,0.45,0.55,0.4,0.28,0.45,0.06,0.35,0.99,0.01,0.73,0.23,0.98,0.01,0.43,0.23
0.64,0.7,0.27,0.7,0.14,0.64,0.35,0.44,0.45,0.54,0.4,0.29,0.45,0.07,0.35,0.98,0.01,0.74,0.22,0.96,0.01,0.45,0.22
0.65,0.71,0.27,0.73,0.13,0.68,0.31,0.47,0.44,0.57,0.38,0.28,0.44,0.07,0.31,0.98,0.01,0.75,0.21,0.96,0.01,0.45,0.21
0.64,0.71,0.27,0.73,0.13,0.68,0.31,0.47,0.44,0.57,0.38,0.28,0.44,0.08,0.31,0.98,0.01,0.77,0.19,0.97,0.01,0.51,0.19
0.64,0.69,0.28,0.66,0.16,0.59,0.38,0.43,0.41,0.51,0.4,0.42,0.41,0.13,0.38,1.0,0.0,0.76,0.18,0.99,0.0,0.56,0.18
0.65,0.71,0.28,0.73,0.13,0.66,0.33,0.52,0.35,0.59,0.34,0.43,0.35,0.1,0.33,0.98,0.02,0.72,0.23,0.95,0.02,0.42,0.23
0.65,0.71,0.29,0.74,0.12,0.68,0.31,0.52,0.36,0.6,0.33,0.41,0.36,0.08,0.31,0.98,0.01,0.72,0.24,0.96,0.01,0.37,0.24
0.65,0.71,0.28,0.73,0.13,0.66,0.33,0.51,0.35,0.58,0.34,0.44,0.35,0.11,0.33,0.98,0.02,0.74,0.21,0.96,0.02,0.48,0.21
0.65,0.7,0.29,0.72,0.13,0.65,0.33,0.51,0.34,0.58,0.34,0.49,0.34,0.16,0.33,0.98,0.02,0.78,0.17,0.95,0.02,0.57,0.17
0.65,0.7,0.28,0.74,0.12,0.67,0.31,0.53,0.33,0.6,0.32,0.48,0.33,0.18,0.31,0.97,0.02,0.8,0.15,0.95,0.02,0.63,0.15
0.65,0.71,0.29,0.78,0.1,0.73,0.26,0.58,0.29,0.66,0.28,0.51,0.29,0.2,0.26,0.97,0.02,0.83,0.13,0.94,0.02,0.66,0.13
0.65,0.7,0.29,0.74,0.11,0.68,0.29,0.55,0.3,0.61,0.29,0.54,0.3,0.23,0.29,0.97,0.02,0.83,0.12,0.94,0.02,0.7,0.12
0.65,0.71,0.29,0.76,0.11,0.71,0.26,0.56,0.3,0.64,0.28,0.51,0.3,0.23,0.26,0.98,0.02,0.86,0.1,0.96,0.02,0.74,0.1
0.66,0.71,0.31,0.76,0.11,0.7,0.27,0.59,0.25,0.65,0.26,0.62,0.25,0.27,0.27,0.96,0.03,0.84,0.11,0.91,0.03,0.71,0.11
0.66,0.7,0.3,0.76,0.11,0.7,0.26,0.59,0.23,0.65,0.24,0.64,0.23,0.32,0.26,0.95,0.03,0.87,0.09,0.9,0.03,0.78,0.09
