ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.22,0.0,1.0,0.25,0.22,0.0,1.0
0.89,0.94,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.22,0.0,1.0,0.25,0.22,0.0,1.0
0.89,0.94,0.18,0.98,0.01,0.0,1.0,0.89,0.11,0.45,0.56,0.04,0.11,0.0,1.0,0.78,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.89,0.94,0.2,0.98,0.01,0.0,1.0,0.88,0.12,0.44,0.56,0.03,0.12,0.0,1.0,0.79,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.9,0.95,0.33,0.92,0.04,0.94,0.06,0.66,0.33,0.8,0.2,0.11,0.33,0.04,0.06,0.84,0.15,0.77,0.16,0.32,0.15,0.64,0.16
0.9,0.95,0.35,0.89,0.05,0.9,0.1,0.59,0.37,0.74,0.23,0.18,0.37,0.06,0.1,0.85,0.14,0.8,0.13,0.33,0.14,0.73,0.13
0.9,0.95,0.31,0.94,0.03,0.97,0.03,0.72,0.27,0.84,0.15,0.08,0.27,0.02,0.03,0.82,0.16,0.96,0.03,0.31,0.16,0.87,0.03
0.9,0.95,0.28,0.95,0.03,0.97,0.03,0.75,0.25,0.86,0.14,0.06,0.25,0.03,0.03,0.82,0.17,0.73,0.21,0.3,0.17,0.51,0.21
0.9,0.95,0.35,0.92,0.04,0.95,0.05,0.66,0.33,0.8,0.19,0.13,0.33,0.04,0.05,0.84,0.15,0.83,0.13,0.32,0.15,0.64,0.13
0.9,0.95,0.33,0.93,0.03,0.96,0.04,0.68,0.31,0.82,0.17,0.08,0.31,0.03,0.04,0.83,0.15,0.83,0.13,0.32,0.15,0.63,0.13
0.9,0.94,0.24,0.96,0.02,0.98,0.02,0.81,0.19,0.9,0.1,0.04,0.19,0.01,0.02,0.8,0.18,0.85,0.12,0.28,0.18,0.65,0.12
0.9,0.95,0.35,0.92,0.04,0.95,0.05,0.65,0.33,0.8,0.19,0.11,0.33,0.03,0.05,0.84,0.15,0.94,0.05,0.33,0.15,0.83,0.05
0.9,0.95,0.33,0.93,0.03,0.96,0.04,0.67,0.32,0.81,0.18,0.07,0.32,0.02,0.04,0.84,0.15,0.85,0.11,0.32,0.15,0.66,0.11
0.9,0.95,0.36,0.9,0.05,0.92,0.08,0.59,0.38,0.76,0.23,0.15,0.38,0.05,0.08,0.86,0.13,0.8,0.14,0.34,0.13,0.69,0.14
0.9,0.95,0.35,0.91,0.04,0.94,0.06,0.62,0.36,0.78,0.21,0.11,0.36,0.03,0.06,0.85,0.14,0.84,0.11,0.33,0.14,0.71,0.11
0.9,0.95,0.37,0.88,0.06,0.9,0.1,0.56,0.4,0.73,0.25,0.18,0.4,0.05,0.1,0.86,0.13,0.85,0.1,0.35,0.13,0.78,0.1
0.9,0.95,0.35,0.92,0.04,0.95,0.05,0.63,0.36,0.79,0.2,0.08,0.36,0.03,0.05,0.85,0.14,0.8,0.16,0.34,0.14,0.59,0.16
0.9,0.95,0.34,0.93,0.04,0.96,0.04,0.65,0.34,0.8,0.19,0.08,0.34,0.02,0.04,0.84,0.15,0.89,0.09,0.33,0.15,0.7,0.09
0.9,0.95,0.35,0.91,0.04,0.94,0.06,0.61,0.37,0.77,0.21,0.1,0.37,0.04,0.06,0.85,0.14,0.76,0.17,0.34,0.14,0.62,0.17
0.9,0.95,0.33,0.94,0.03,0.96,0.04,0.69,0.3,0.82,0.17,0.08,0.3,0.03,0.04,0.83,0.16,0.89,0.09,0.32,0.16,0.7,0.09
0.9,0.95,0.34,0.92,0.04,0.95,0.05,0.65,0.34,0.8,0.2,0.09,0.34,0.03,0.05,0.84,0.15,0.91,0.07,0.33,0.15,0.77,0.07
0.9,0.95,0.35,0.91,0.05,0.93,0.07,0.6,0.38,0.77,0.23,0.1,0.38,0.02,0.07,0.85,0.14,0.96,0.03,0.34,0.14,0.92,0.03
0.9,0.95,0.35,0.92,0.04,0.96,0.04,0.64,0.35,0.8,0.19,0.08,0.35,0.02,0.04,0.85,0.14,0.93,0.05,0.33,0.14,0.81,0.05
0.9,0.95,0.33,0.93,0.03,0.96,0.04,0.69,0.3,0.82,0.17,0.08,0.3,0.02,0.04,0.83,0.16,0.9,0.08,0.31,0.16,0.73,0.08
0.9,0.95,0.32,0.94,0.03,0.96,0.04,0.69,0.3,0.82,0.17,0.08,0.3,0.02,0.04,0.83,0.16,0.9,0.08,0.31,0.16,0.74,0.08
0.9,0.95,0.35,0.91,0.05,0.93,0.07,0.6,0.39,0.77,0.23,0.09,0.39,0.03,0.07,0.85,0.14,0.87,0.09,0.34,0.14,0.76,0.09
0.9,0.95,0.36,0.9,0.05,0.92,0.08,0.58,0.4,0.75,0.24,0.1,0.4,0.02,0.08,0.86,0.13,0.95,0.03,0.35,0.13,0.89,0.03
0.9,0.95,0.36,0.88,0.06,0.89,0.1,0.52,0.45,0.71,0.28,0.12,0.45,0.05,0.1,0.87,0.12,0.67,0.22,0.37,0.12,0.61,0.22
0.9,0.95,0.37,0.88,0.06,0.9,0.1,0.55,0.42,0.73,0.26,0.15,0.42,0.05,0.1,0.87,0.12,0.81,0.12,0.36,0.12,0.73,0.12
0.9,0.95,0.38,0.87,0.07,0.88,0.12,0.52,0.42,0.7,0.27,0.22,0.42,0.08,0.12,0.88,0.12,0.76,0.15,0.36,0.12,0.7,0.15
0.9,0.95,0.37,0.88,0.06,0.9,0.1,0.55,0.41,0.73,0.26,0.17,0.41,0.06,0.1,0.87,0.12,0.75,0.16,0.36,0.12,0.67,0.16
0.9,0.95,0.36,0.9,0.05,0.93,0.07,0.59,0.39,0.76,0.23,0.11,0.39,0.03,0.07,0.86,0.13,0.89,0.08,0.34,0.13,0.79,0.08
0.9,0.95,0.35,0.92,0.04,0.95,0.05,0.65,0.34,0.8,0.2,0.08,0.34,0.02,0.05,0.84,0.15,0.94,0.04,0.33,0.15,0.84,0.04
0.9,0.95,0.35,0.92,0.04,0.95,0.05,0.64,0.35,0.79,0.2,0.09,0.35,0.03,0.05,0.85,0.14,0.85,0.12,0.33,0.14,0.67,0.12
0.9,0.95,0.35,0.92,0.04,0.95,0.05,0.63,0.35,0.79,0.2,0.1,0.35,0.02,0.05,0.85,0.14,0.94,0.04,0.33,0.14,0.85,0.04
0.9,0.95,0.34,0.93,0.03,0.96,0.04,0.67,0.32,0.81,0.18,0.09,0.32,0.03,0.04,0.84,0.15,0.85,0.12,0.32,0.15,0.65,0.12
0.9,0.95,0.33,0.93,0.03,0.96,0.04,0.69,0.3,0.82,0.17,0.09,0.3,0.02,0.04,0.83,0.15,0.93,0.06,0.32,0.15,0.79,0.06
0.9,0.95,0.35,0.92,0.04,0.95,0.05,0.64,0.35,0.79,0.2,0.09,0.35,0.03,0.05,0.85,0.14,0.9,0.07,0.33,0.14,0.76,0.07
0.9,0.95,0.36,0.91,0.04,0.94,0.06,0.62,0.36,0.78,0.21,0.11,0.36,0.04,0.06,0.85,0.14,0.81,0.14,0.34,0.14,0.64,0.14
0.9,0.95,0.36,0.9,0.05,0.92,0.08,0.58,0.39,0.75,0.24,0.13,0.39,0.04,0.08,0.86,0.13,0.85,0.1,0.35,0.13,0.74,0.1
0.9,0.95,0.35,0.92,0.04,0.94,0.06,0.62,0.36,0.78,0.21,0.11,0.36,0.05,0.06,0.85,0.14,0.74,0.19,0.33,0.14,0.58,0.19
0.9,0.95,0.36,0.91,0.05,0.93,0.07,0.6,0.38,0.77,0.23,0.11,0.38,0.04,0.07,0.86,0.13,0.79,0.15,0.34,0.13,0.64,0.15
0.9,0.95,0.35,0.89,0.05,0.92,0.08,0.58,0.4,0.75,0.24,0.12,0.4,0.05,0.08,0.86,0.13,0.7,0.2,0.35,0.13,0.61,0.2
0.9,0.95,0.36,0.89,0.06,0.91,0.09,0.56,0.4,0.74,0.24,0.15,0.4,0.06,0.09,0.86,0.13,0.73,0.18,0.35,0.13,0.64,0.18
0.9,0.95,0.36,0.88,0.06,0.9,0.1,0.55,0.42,0.73,0.26,0.14,0.42,0.06,0.1,0.87,0.13,0.71,0.19,0.36,0.13,0.63,0.19
0.9,0.95,0.36,0.89,0.05,0.91,0.09,0.57,0.4,0.74,0.24,0.15,0.4,0.05,0.09,0.86,0.13,0.78,0.15,0.35,0.13,0.68,0.15
0.9,0.95,0.38,0.87,0.06,0.9,0.1,0.53,0.42,0.72,0.26,0.2,0.42,0.07,0.1,0.87,0.12,0.75,0.17,0.36,0.12,0.67,0.17
0.9,0.95,0.35,0.92,0.04,0.94,0.06,0.62,0.36,0.78,0.21,0.11,0.36,0.04,0.06,0.85,0.14,0.82,0.14,0.33,0.14,0.65,0.14
0.9,0.95,0.36,0.92,0.04,0.95,0.05,0.63,0.35,0.79,0.2,0.11,0.35,0.03,0.05,0.85,0.14,0.91,0.06,0.33,0.14,0.79,0.06
0.9,0.95,0.35,0.92,0.04,0.94,0.06,0.64,0.35,0.79,0.2,0.11,0.35,0.03,0.06,0.84,0.14,0.93,0.05,0.33,0.14,0.83,0.05
