ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.22,0.0,1.0,0.25,0.22,0.0,1.0
0.89,0.94,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.22,0.0,1.0,0.25,0.22,0.0,1.0
0.89,0.94,0.18,0.98,0.01,0.0,1.0,0.89,0.11,0.45,0.56,0.04,0.11,0.0,1.0,0.78,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.89,0.94,0.19,0.98,0.01,0.99,0.01,0.88,0.12,0.94,0.07,0.03,0.12,0.02,0.01,0.79,0.2,0.63,0.29,0.27,0.2,0.42,0.29
0.9,0.95,0.32,0.92,0.04,0.94,0.06,0.66,0.33,0.8,0.2,0.11,0.33,0.05,0.06,0.84,0.15,0.73,0.19,0.32,0.15,0.6,0.19
0.9,0.95,0.35,0.89,0.06,0.9,0.1,0.59,0.37,0.74,0.23,0.18,0.37,0.06,0.1,0.85,0.14,0.79,0.14,0.33,0.14,0.72,0.14
0.9,0.95,0.31,0.94,0.03,0.96,0.04,0.71,0.29,0.83,0.16,0.08,0.29,0.03,0.04,0.83,0.16,0.85,0.11,0.31,0.16,0.66,0.11
0.9,0.95,0.29,0.95,0.03,0.97,0.03,0.74,0.25,0.85,0.14,0.06,0.25,0.03,0.03,0.82,0.17,0.73,0.21,0.3,0.17,0.5,0.21
0.9,0.95,0.34,0.92,0.04,0.95,0.05,0.66,0.33,0.8,0.19,0.13,0.33,0.04,0.05,0.84,0.15,0.84,0.12,0.32,0.15,0.67,0.12
0.9,0.95,0.33,0.93,0.03,0.96,0.04,0.67,0.32,0.81,0.18,0.08,0.32,0.03,0.04,0.84,0.15,0.82,0.14,0.32,0.15,0.63,0.14
0.9,0.94,0.22,0.97,0.02,0.98,0.02,0.84,0.16,0.91,0.09,0.05,0.16,0.02,0.02,0.79,0.19,0.86,0.11,0.28,0.19,0.68,0.11
0.9,0.95,0.35,0.92,0.04,0.95,0.05,0.65,0.33,0.8,0.19,0.11,0.33,0.03,0.05,0.84,0.15,0.87,0.1,0.33,0.15,0.71,0.1
0.9,0.95,0.33,0.93,0.03,0.96,0.04,0.67,0.33,0.81,0.18,0.07,0.33,0.02,0.04,0.84,0.15,0.85,0.12,0.32,0.15,0.65,0.12
0.9,0.95,0.35,0.9,0.05,0.92,0.08,0.59,0.38,0.76,0.23,0.15,0.38,0.05,0.08,0.86,0.13,0.78,0.15,0.34,0.13,0.68,0.15
0.9,0.95,0.35,0.91,0.05,0.93,0.07,0.61,0.37,0.77,0.22,0.11,0.37,0.03,0.07,0.85,0.14,0.84,0.11,0.34,0.14,0.72,0.11
0.9,0.95,0.37,0.88,0.06,0.9,0.1,0.56,0.4,0.73,0.25,0.18,0.4,0.06,0.1,0.87,0.12,0.81,0.13,0.35,0.12,0.73,0.13
0.9,0.95,0.35,0.92,0.04,0.94,0.06,0.63,0.36,0.78,0.21,0.1,0.36,0.04,0.06,0.85,0.14,0.79,0.16,0.33,0.14,0.62,0.16
0.9,0.95,0.35,0.93,0.04,0.96,0.04,0.65,0.34,0.8,0.19,0.08,0.34,0.02,0.04,0.84,0.14,0.93,0.06,0.33,0.14,0.79,0.06
0.9,0.95,0.35,0.91,0.05,0.94,0.06,0.61,0.38,0.77,0.22,0.09,0.38,0.04,0.06,0.85,0.14,0.76,0.17,0.34,0.14,0.61,0.17
0.9,0.95,0.33,0.93,0.03,0.96,0.04,0.68,0.31,0.82,0.17,0.08,0.31,0.02,0.04,0.84,0.15,0.89,0.09,0.32,0.15,0.71,0.09
0.9,0.95,0.35,0.92,0.04,0.95,0.05,0.63,0.35,0.79,0.2,0.09,0.35,0.02,0.05,0.85,0.14,0.97,0.02,0.33,0.14,0.92,0.02
0.9,0.95,0.35,0.91,0.05,0.93,0.07,0.6,0.38,0.77,0.23,0.09,0.38,0.02,0.07,0.85,0.14,0.93,0.05,0.34,0.14,0.86,0.05
0.9,0.95,0.35,0.92,0.04,0.96,0.04,0.64,0.35,0.8,0.19,0.09,0.35,0.03,0.04,0.85,0.14,0.89,0.09,0.33,0.14,0.71,0.09
0.9,0.95,0.32,0.94,0.03,0.96,0.04,0.7,0.29,0.83,0.16,0.09,0.29,0.02,0.04,0.83,0.16,0.9,0.08,0.31,0.16,0.75,0.08
0.9,0.95,0.32,0.94,0.03,0.97,0.03,0.7,0.29,0.83,0.16,0.09,0.29,0.03,0.03,0.83,0.16,0.88,0.09,0.31,0.16,0.69,0.09
0.9,0.95,0.36,0.91,0.04,0.94,0.06,0.61,0.38,0.77,0.22,0.09,0.38,0.02,0.06,0.85,0.14,0.96,0.03,0.34,0.14,0.88,0.03
0.9,0.95,0.36,0.9,0.05,0.93,0.07,0.59,0.39,0.76,0.23,0.09,0.39,0.02,0.07,0.86,0.13,0.99,0.01,0.35,0.13,0.97,0.01
0.9,0.95,0.36,0.9,0.05,0.93,0.07,0.58,0.4,0.76,0.24,0.08,0.4,0.02,0.07,0.86,0.13,0.89,0.08,0.35,0.13,0.78,0.08
0.9,0.95,0.32,0.94,0.03,0.96,0.04,0.69,0.3,0.82,0.17,0.07,0.3,0.02,0.04,0.83,0.16,0.86,0.11,0.31,0.16,0.66,0.11
0.9,0.95,0.35,0.91,0.04,0.94,0.06,0.62,0.37,0.78,0.21,0.09,0.37,0.02,0.06,0.85,0.14,0.93,0.05,0.34,0.14,0.84,0.05
0.9,0.95,0.35,0.92,0.04,0.95,0.05,0.64,0.34,0.79,0.2,0.09,0.34,0.02,0.05,0.84,0.14,0.98,0.01,0.33,0.14,0.94,0.01
0.9,0.95,0.35,0.92,0.04,0.94,0.06,0.64,0.35,0.79,0.2,0.1,0.35,0.02,0.06,0.84,0.14,0.95,0.04,0.33,0.14,0.85,0.04
0.9,0.95,0.34,0.93,0.04,0.96,0.04,0.66,0.33,0.81,0.18,0.09,0.33,0.02,0.04,0.84,0.15,0.93,0.05,0.33,0.15,0.8,0.05
0.9,0.95,0.34,0.93,0.04,0.96,0.04,0.66,0.33,0.81,0.18,0.09,0.33,0.02,0.04,0.84,0.15,0.93,0.05,0.32,0.15,0.81,0.05
0.9,0.95,0.35,0.92,0.04,0.96,0.04,0.65,0.34,0.8,0.19,0.08,0.34,0.02,0.04,0.84,0.15,0.94,0.05,0.33,0.15,0.81,0.05
0.9,0.95,0.34,0.93,0.04,0.96,0.04,0.66,0.33,0.81,0.18,0.09,0.33,0.02,0.04,0.84,0.15,0.92,0.06,0.32,0.15,0.78,0.06
0.9,0.95,0.31,0.94,0.03,0.96,0.04,0.71,0.28,0.83,0.16,0.08,0.28,0.03,0.04,0.83,0.16,0.86,0.11,0.31,0.16,0.67,0.11
0.9,0.95,0.31,0.94,0.03,0.96,0.04,0.72,0.28,0.84,0.16,0.08,0.28,0.03,0.04,0.83,0.16,0.86,0.11,0.31,0.16,0.68,0.11
0.9,0.95,0.31,0.94,0.03,0.96,0.04,0.72,0.27,0.84,0.15,0.1,0.27,0.03,0.04,0.82,0.16,0.94,0.05,0.3,0.16,0.83,0.05
0.9,0.95,0.34,0.93,0.03,0.96,0.04,0.68,0.31,0.82,0.17,0.09,0.31,0.02,0.04,0.84,0.15,0.92,0.06,0.32,0.15,0.78,0.06
0.9,0.95,0.32,0.94,0.03,0.96,0.04,0.7,0.29,0.83,0.16,0.1,0.29,0.02,0.04,0.83,0.16,0.94,0.05,0.31,0.16,0.82,0.05
0.9,0.95,0.33,0.93,0.03,0.96,0.04,0.69,0.3,0.82,0.17,0.1,0.3,0.02,0.04,0.83,0.16,0.93,0.05,0.31,0.16,0.8,0.05
0.9,0.95,0.33,0.93,0.03,0.96,0.04,0.69,0.3,0.82,0.17,0.1,0.3,0.02,0.04,0.83,0.16,0.93,0.05,0.31,0.16,0.8,0.05
0.9,0.95,0.34,0.93,0.03,0.96,0.04,0.68,0.31,0.82,0.17,0.09,0.31,0.02,0.04,0.84,0.15,0.92,0.06,0.32,0.15,0.78,0.06
0.9,0.95,0.33,0.93,0.03,0.96,0.04,0.69,0.3,0.82,0.17,0.09,0.3,0.02,0.04,0.83,0.15,0.93,0.06,0.32,0.15,0.79,0.06
0.9,0.95,0.32,0.93,0.03,0.96,0.04,0.69,0.3,0.82,0.17,0.08,0.3,0.02,0.04,0.83,0.16,0.91,0.07,0.31,0.16,0.76,0.07
0.9,0.95,0.32,0.94,0.03,0.96,0.04,0.69,0.3,0.82,0.17,0.08,0.3,0.02,0.04,0.83,0.16,0.9,0.08,0.31,0.16,0.74,0.08
0.9,0.95,0.3,0.94,0.03,0.97,0.03,0.73,0.27,0.85,0.15,0.07,0.27,0.02,0.03,0.82,0.17,0.92,0.06,0.3,0.17,0.78,0.06
0.9,0.95,0.3,0.95,0.03,0.97,0.03,0.74,0.26,0.85,0.15,0.07,0.26,0.02,0.03,0.82,0.17,0.91,0.07,0.3,0.17,0.77,0.07
0.9,0.95,0.28,0.95,0.02,0.97,0.03,0.76,0.24,0.86,0.14,0.05,0.24,0.02,0.03,0.81,0.17,0.76,0.18,0.29,0.17,0.54,0.18
