ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.56,0.72,0.11,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.6,0.72,0.18,0.92,0.04,0.92,0.08,0.77,0.23,0.84,0.15,0.05,0.23,0.04,0.08,0.94,0.03,0.94,0.04,0.92,0.03,0.87,0.04
0.63,0.71,0.23,0.78,0.11,0.75,0.25,0.52,0.44,0.64,0.34,0.15,0.44,0.09,0.25,0.98,0.01,0.93,0.05,0.97,0.01,0.86,0.05
0.63,0.7,0.25,0.73,0.13,0.68,0.31,0.47,0.44,0.57,0.38,0.27,0.44,0.12,0.31,0.98,0.01,0.85,0.1,0.97,0.01,0.74,0.1
0.64,0.71,0.26,0.73,0.13,0.69,0.3,0.47,0.45,0.58,0.38,0.25,0.45,0.09,0.3,0.98,0.02,0.81,0.14,0.96,0.02,0.63,0.14
0.63,0.71,0.25,0.74,0.12,0.7,0.29,0.48,0.47,0.59,0.38,0.18,0.47,0.05,0.29,0.98,0.02,0.77,0.19,0.96,0.02,0.5,0.19
0.64,0.71,0.26,0.72,0.13,0.68,0.31,0.45,0.47,0.57,0.39,0.22,0.47,0.06,0.31,0.97,0.02,0.76,0.2,0.94,0.02,0.47,0.2
0.64,0.71,0.25,0.76,0.12,0.71,0.28,0.5,0.45,0.6,0.36,0.19,0.45,0.04,0.28,0.99,0.01,0.73,0.23,0.98,0.01,0.38,0.23
0.64,0.72,0.26,0.76,0.12,0.72,0.27,0.5,0.45,0.61,0.36,0.18,0.45,0.03,0.27,0.98,0.01,0.71,0.26,0.97,0.01,0.29,0.26
0.64,0.71,0.25,0.75,0.12,0.7,0.29,0.5,0.45,0.6,0.37,0.2,0.45,0.04,0.29,0.99,0.01,0.72,0.24,0.98,0.01,0.36,0.24
0.65,0.71,0.27,0.74,0.13,0.69,0.3,0.48,0.44,0.58,0.37,0.26,0.44,0.05,0.3,0.98,0.01,0.72,0.24,0.97,0.01,0.36,0.24
0.64,0.71,0.27,0.74,0.12,0.69,0.3,0.49,0.43,0.59,0.36,0.26,0.43,0.05,0.3,0.99,0.01,0.72,0.24,0.98,0.01,0.35,0.24
0.64,0.71,0.26,0.76,0.12,0.71,0.29,0.52,0.41,0.61,0.35,0.27,0.41,0.05,0.29,1.0,0.0,0.72,0.24,1.0,0.0,0.35,0.24
0.64,0.71,0.27,0.75,0.12,0.7,0.29,0.5,0.42,0.6,0.35,0.28,0.42,0.05,0.29,0.99,0.0,0.72,0.25,0.99,0.0,0.34,0.25
0.65,0.72,0.27,0.76,0.12,0.71,0.28,0.52,0.4,0.61,0.34,0.29,0.4,0.06,0.28,1.0,0.0,0.74,0.22,0.99,0.0,0.41,0.22
0.65,0.72,0.27,0.76,0.11,0.72,0.27,0.52,0.39,0.62,0.33,0.31,0.39,0.09,0.27,1.0,0.0,0.78,0.18,0.99,0.0,0.51,0.18
0.65,0.72,0.28,0.76,0.11,0.72,0.28,0.53,0.38,0.62,0.33,0.35,0.38,0.09,0.28,1.0,0.0,0.76,0.2,0.99,0.0,0.46,0.2
