ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.67,0.91,0.04,0.91,0.08,0.85,0.09,0.84,0.09,0.66,0.08,0.94,0.04,1.0,0.0,0.9,0.04,1.0,0.0,0.88,0.08
0.67,0.91,0.04,0.9,0.09,0.83,0.1,0.82,0.1,0.63,0.09,0.95,0.04,0.99,0.01,0.9,0.04,0.98,0.01,0.86,0.1
0.67,0.91,0.04,0.91,0.08,0.85,0.09,0.84,0.09,0.67,0.08,0.94,0.04,0.99,0.0,0.9,0.04,0.99,0.0,0.88,0.08
0.67,0.91,0.04,0.9,0.08,0.85,0.08,0.84,0.08,0.67,0.08,0.94,0.04,1.0,0.0,0.89,0.04,1.0,0.0,0.87,0.08
0.67,0.9,0.04,0.9,0.09,0.82,0.1,0.82,0.1,0.62,0.09,0.95,0.03,0.99,0.01,0.91,0.03,0.98,0.01,0.86,0.1
0.68,0.91,0.04,0.9,0.09,0.86,0.08,0.84,0.08,0.65,0.09,0.94,0.04,0.99,0.01,0.89,0.04,0.98,0.01,0.87,0.08
0.67,0.91,0.04,0.9,0.08,0.86,0.08,0.85,0.08,0.67,0.08,0.94,0.04,1.0,0.0,0.88,0.04,0.99,0.0,0.88,0.08
0.67,0.92,0.03,0.91,0.08,0.89,0.06,0.88,0.06,0.68,0.08,0.93,0.05,0.99,0.01,0.87,0.05,0.98,0.01,0.9,0.07
0.67,0.91,0.04,0.9,0.09,0.88,0.07,0.87,0.07,0.65,0.09,0.93,0.05,0.98,0.01,0.87,0.05,0.96,0.01,0.89,0.08
0.67,0.92,0.03,0.91,0.08,0.89,0.06,0.87,0.06,0.68,0.08,0.93,0.05,1.0,0.0,0.87,0.05,0.99,0.0,0.89,0.07
0.67,0.92,0.03,0.91,0.07,0.89,0.06,0.88,0.06,0.68,0.07,0.93,0.05,0.99,0.01,0.87,0.05,0.98,0.01,0.9,0.07
0.67,0.93,0.03,0.91,0.07,0.91,0.05,0.9,0.05,0.71,0.07,0.92,0.05,1.0,0.0,0.86,0.05,0.99,0.0,0.91,0.06
0.67,0.92,0.03,0.91,0.07,0.89,0.06,0.88,0.06,0.71,0.07,0.93,0.05,0.99,0.0,0.87,0.05,0.99,0.0,0.9,0.07
