ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.56,0.3,0.0,1.0,0.51,0.3
0.72,0.6,0.48,0.05,0.29,0.07,0.61,0.02,0.11,0.05,0.36,0.89,0.11,0.36,0.61,0.99,0.01,0.88,0.08,0.92,0.01,0.79,0.08
0.73,0.63,0.49,0.05,0.32,0.07,0.68,0.01,0.18,0.04,0.43,0.82,0.18,0.29,0.68,0.96,0.04,0.93,0.05,0.71,0.04,0.86,0.05
0.74,0.65,0.49,0.06,0.34,0.08,0.71,0.02,0.23,0.05,0.47,0.77,0.23,0.24,0.71,0.95,0.04,0.97,0.02,0.73,0.04,0.93,0.02
0.8,0.8,0.61,0.64,0.15,0.91,0.08,0.4,0.23,0.66,0.15,0.73,0.23,0.59,0.08,0.89,0.08,0.84,0.14,0.72,0.08,0.41,0.14
0.82,0.8,0.63,0.63,0.13,1.0,0.0,0.35,0.15,0.68,0.07,0.84,0.15,0.98,0.0,0.96,0.03,0.75,0.23,0.84,0.03,0.32,0.23
0.73,0.76,0.51,0.75,0.11,0.94,0.06,0.54,0.29,0.74,0.17,0.56,0.29,0.46,0.06,0.77,0.17,0.88,0.11,0.64,0.17,0.39,0.11
0.77,0.79,0.57,0.59,0.19,0.84,0.15,0.25,0.51,0.54,0.33,0.38,0.51,0.18,0.15,0.98,0.01,0.94,0.06,0.96,0.01,0.61,0.06
0.75,0.78,0.55,0.67,0.15,0.89,0.1,0.38,0.41,0.64,0.26,0.46,0.41,0.31,0.1,0.87,0.09,0.9,0.09,0.77,0.09,0.47,0.09
0.82,0.8,0.64,0.62,0.14,0.98,0.01,0.32,0.15,0.65,0.08,0.83,0.15,0.95,0.01,0.98,0.02,0.75,0.22,0.89,0.02,0.33,0.22
0.79,0.8,0.6,0.52,0.22,0.81,0.19,0.15,0.56,0.48,0.38,0.37,0.56,0.18,0.19,0.9,0.08,0.93,0.06,0.73,0.08,0.63,0.06
0.73,0.76,0.52,0.72,0.13,0.92,0.08,0.47,0.37,0.7,0.23,0.46,0.37,0.3,0.08,0.8,0.14,0.91,0.08,0.69,0.14,0.48,0.08
0.82,0.8,0.64,0.57,0.16,0.9,0.08,0.25,0.2,0.57,0.14,0.79,0.2,0.71,0.08,1.0,0.0,0.79,0.18,0.99,0.0,0.4,0.18
0.81,0.78,0.62,0.71,0.09,0.9,0.08,0.62,0.05,0.76,0.07,0.94,0.05,0.75,0.08,0.9,0.09,0.7,0.27,0.56,0.09,0.29,0.27
0.8,0.8,0.61,0.53,0.21,0.82,0.17,0.17,0.5,0.49,0.34,0.44,0.5,0.27,0.17,0.92,0.06,0.89,0.1,0.78,0.06,0.52,0.1
0.75,0.78,0.54,0.69,0.14,0.91,0.08,0.43,0.36,0.67,0.22,0.51,0.36,0.39,0.08,0.84,0.11,0.88,0.11,0.72,0.11,0.42,0.11
0.81,0.81,0.63,0.56,0.19,0.85,0.13,0.22,0.37,0.54,0.25,0.59,0.37,0.4,0.13,0.98,0.02,0.87,0.11,0.93,0.02,0.48,0.11
0.81,0.79,0.62,0.47,0.2,0.73,0.22,0.15,0.26,0.44,0.24,0.72,0.26,0.43,0.22,0.95,0.04,0.85,0.13,0.78,0.04,0.56,0.13
0.82,0.81,0.64,0.56,0.18,0.88,0.1,0.21,0.29,0.55,0.2,0.69,0.29,0.59,0.1,0.97,0.03,0.82,0.16,0.86,0.03,0.4,0.16
0.82,0.8,0.64,0.56,0.17,0.89,0.09,0.22,0.22,0.56,0.15,0.76,0.22,0.67,0.09,0.98,0.02,0.8,0.18,0.91,0.02,0.4,0.18
0.79,0.79,0.59,0.7,0.12,0.95,0.05,0.52,0.19,0.73,0.12,0.76,0.19,0.71,0.05,0.83,0.13,0.83,0.15,0.62,0.13,0.36,0.15
0.82,0.81,0.64,0.6,0.15,0.94,0.05,0.28,0.19,0.61,0.12,0.79,0.19,0.81,0.05,0.99,0.01,0.78,0.2,0.97,0.01,0.36,0.2
0.82,0.81,0.64,0.6,0.15,0.93,0.06,0.28,0.22,0.6,0.14,0.77,0.22,0.75,0.06,0.99,0.01,0.79,0.19,0.95,0.01,0.37,0.19
