ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.89,0.94,0.11,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.3,0.18,0.0,1.0
0.9,0.94,0.17,0.98,0.01,0.0,1.0,0.91,0.09,0.46,0.55,0.08,0.09,0.0,1.0,0.82,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.95,0.19,0.98,0.01,0.99,0.01,0.89,0.11,0.94,0.06,0.1,0.11,0.03,0.01,0.82,0.17,0.93,0.06,0.31,0.17,0.77,0.06
0.9,0.95,0.3,0.93,0.03,0.95,0.05,0.68,0.3,0.81,0.17,0.14,0.3,0.05,0.05,0.86,0.13,0.83,0.12,0.37,0.13,0.73,0.12
0.9,0.95,0.27,0.95,0.02,0.97,0.03,0.76,0.23,0.86,0.13,0.13,0.23,0.04,0.03,0.85,0.14,0.88,0.08,0.35,0.14,0.76,0.08
0.9,0.95,0.28,0.95,0.03,0.96,0.04,0.75,0.24,0.85,0.14,0.12,0.24,0.04,0.04,0.85,0.14,0.89,0.08,0.35,0.14,0.77,0.08
0.9,0.95,0.26,0.96,0.02,0.98,0.02,0.79,0.21,0.89,0.11,0.08,0.21,0.01,0.02,0.84,0.15,0.93,0.06,0.34,0.15,0.74,0.06
0.9,0.95,0.3,0.93,0.03,0.95,0.05,0.68,0.3,0.81,0.17,0.12,0.3,0.03,0.05,0.86,0.13,0.94,0.04,0.37,0.13,0.88,0.04
0.9,0.95,0.29,0.95,0.03,0.97,0.03,0.73,0.26,0.85,0.15,0.08,0.26,0.01,0.03,0.85,0.13,0.89,0.1,0.36,0.13,0.6,0.1
0.9,0.95,0.3,0.94,0.03,0.96,0.04,0.7,0.29,0.83,0.16,0.1,0.29,0.03,0.04,0.86,0.13,0.95,0.04,0.37,0.13,0.88,0.04
0.9,0.95,0.29,0.94,0.03,0.96,0.04,0.71,0.28,0.83,0.16,0.09,0.28,0.03,0.04,0.86,0.13,0.88,0.09,0.36,0.13,0.76,0.09
0.9,0.95,0.24,0.97,0.02,0.98,0.02,0.81,0.18,0.9,0.1,0.06,0.18,0.02,0.02,0.84,0.15,0.94,0.05,0.33,0.15,0.82,0.05
0.9,0.95,0.31,0.93,0.03,0.95,0.05,0.67,0.32,0.81,0.18,0.09,0.32,0.03,0.05,0.87,0.12,0.95,0.03,0.38,0.12,0.89,0.03
0.9,0.95,0.3,0.95,0.03,0.97,0.03,0.72,0.27,0.84,0.15,0.09,0.27,0.03,0.03,0.86,0.13,0.9,0.08,0.36,0.13,0.74,0.08
0.9,0.95,0.3,0.94,0.03,0.96,0.03,0.71,0.28,0.83,0.16,0.1,0.28,0.03,0.03,0.86,0.13,0.96,0.03,0.37,0.13,0.89,0.03
0.9,0.95,0.33,0.92,0.04,0.94,0.06,0.62,0.36,0.78,0.21,0.11,0.36,0.03,0.06,0.88,0.11,0.94,0.04,0.4,0.11,0.87,0.04
0.9,0.95,0.31,0.93,0.03,0.95,0.05,0.68,0.31,0.81,0.18,0.1,0.31,0.03,0.05,0.87,0.12,0.96,0.03,0.38,0.12,0.91,0.03
0.9,0.95,0.33,0.92,0.04,0.95,0.05,0.64,0.34,0.79,0.2,0.12,0.34,0.03,0.05,0.88,0.12,0.99,0.01,0.39,0.12,0.97,0.01
0.9,0.95,0.31,0.93,0.03,0.95,0.05,0.66,0.33,0.8,0.19,0.09,0.33,0.02,0.05,0.87,0.12,0.97,0.02,0.38,0.12,0.93,0.02
0.9,0.95,0.29,0.94,0.03,0.96,0.04,0.71,0.28,0.83,0.16,0.07,0.28,0.02,0.04,0.86,0.13,0.99,0.01,0.37,0.13,0.97,0.01
0.9,0.95,0.3,0.93,0.03,0.95,0.05,0.68,0.31,0.81,0.18,0.08,0.31,0.02,0.05,0.86,0.13,0.99,0.01,0.37,0.13,0.97,0.01
0.9,0.95,0.33,0.92,0.04,0.94,0.06,0.62,0.37,0.78,0.21,0.11,0.37,0.03,0.06,0.88,0.11,0.95,0.04,0.4,0.11,0.89,0.04
0.9,0.95,0.33,0.92,0.04,0.94,0.06,0.62,0.36,0.78,0.21,0.1,0.36,0.03,0.06,0.88,0.11,0.98,0.01,0.4,0.11,0.95,0.01
0.9,0.95,0.33,0.92,0.04,0.94,0.06,0.61,0.37,0.77,0.21,0.1,0.37,0.03,0.06,0.88,0.11,0.97,0.02,0.4,0.11,0.92,0.02
0.9,0.95,0.32,0.93,0.04,0.95,0.05,0.66,0.33,0.8,0.19,0.11,0.33,0.02,0.05,0.87,0.12,0.9,0.08,0.38,0.12,0.74,0.08
0.9,0.95,0.34,0.91,0.05,0.93,0.07,0.58,0.4,0.76,0.24,0.11,0.4,0.03,0.07,0.89,0.1,0.95,0.04,0.42,0.1,0.9,0.04
