ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.65,0.65,0.31,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.83,0.82,0.65,0.57,0.17,0.86,0.12,0.25,0.28,0.55,0.2,0.69,0.28,0.48,0.12,0.99,0.0,0.86,0.13,0.98,0.0,0.47,0.13
0.81,0.81,0.63,0.65,0.14,0.91,0.08,0.41,0.21,0.66,0.14,0.75,0.21,0.59,0.08,0.89,0.09,0.85,0.14,0.69,0.09,0.42,0.14
0.82,0.82,0.64,0.58,0.18,0.86,0.13,0.26,0.33,0.56,0.23,0.63,0.33,0.41,0.13,0.98,0.01,0.88,0.11,0.94,0.01,0.49,0.11
0.82,0.82,0.65,0.54,0.19,0.81,0.17,0.21,0.31,0.51,0.24,0.67,0.31,0.39,0.17,0.98,0.01,0.88,0.1,0.94,0.01,0.55,0.1
0.77,0.77,0.54,0.34,0.31,0.52,0.47,0.06,0.66,0.29,0.56,0.31,0.66,0.05,0.47,0.82,0.15,0.93,0.06,0.5,0.15,0.67,0.06
0.72,0.69,0.43,0.05,0.43,0.07,0.89,0.01,0.63,0.04,0.76,0.36,0.63,0.04,0.89,0.83,0.15,0.83,0.14,0.47,0.15,0.53,0.14
0.77,0.71,0.55,0.26,0.27,0.35,0.51,0.11,0.2,0.23,0.35,0.8,0.2,0.29,0.51,0.99,0.01,0.92,0.06,0.92,0.01,0.82,0.06
0.8,0.81,0.61,0.51,0.22,0.79,0.2,0.13,0.56,0.46,0.38,0.39,0.56,0.19,0.2,0.89,0.09,0.93,0.07,0.68,0.09,0.63,0.07
0.81,0.8,0.63,0.46,0.22,0.68,0.28,0.15,0.31,0.42,0.3,0.68,0.31,0.29,0.28,0.96,0.03,0.92,0.07,0.83,0.03,0.71,0.07
0.72,0.71,0.44,0.15,0.4,0.2,0.79,0.02,0.72,0.11,0.76,0.27,0.72,0.03,0.79,0.83,0.15,0.82,0.16,0.52,0.15,0.43,0.16
0.77,0.75,0.53,0.26,0.32,0.35,0.6,0.06,0.47,0.2,0.53,0.51,0.47,0.1,0.6,0.9,0.09,0.93,0.05,0.64,0.09,0.78,0.05
0.82,0.81,0.65,0.56,0.17,0.84,0.13,0.25,0.22,0.54,0.17,0.76,0.22,0.55,0.13,0.99,0.01,0.83,0.15,0.95,0.01,0.47,0.15
0.77,0.79,0.56,0.78,0.09,0.98,0.02,0.71,0.12,0.84,0.07,0.82,0.12,0.82,0.02,0.74,0.2,0.84,0.14,0.52,0.2,0.33,0.14
0.74,0.73,0.48,0.21,0.37,0.29,0.68,0.04,0.67,0.16,0.68,0.32,0.67,0.04,0.68,0.84,0.14,0.87,0.11,0.54,0.14,0.56,0.11
0.8,0.77,0.6,0.38,0.25,0.54,0.39,0.11,0.28,0.33,0.34,0.71,0.28,0.27,0.39,0.95,0.04,0.93,0.05,0.78,0.04,0.79,0.05
0.82,0.81,0.65,0.55,0.18,0.84,0.14,0.24,0.23,0.54,0.18,0.75,0.23,0.52,0.14,1.0,0.0,0.84,0.14,0.98,0.0,0.48,0.14
0.81,0.78,0.63,0.74,0.08,0.89,0.09,0.92,0.01,0.91,0.05,0.99,0.01,0.73,0.09,0.87,0.12,0.7,0.27,0.39,0.12,0.29,0.27
0.82,0.82,0.65,0.53,0.2,0.79,0.19,0.19,0.32,0.49,0.26,0.66,0.32,0.35,0.19,0.97,0.02,0.89,0.09,0.88,0.02,0.58,0.09
0.81,0.78,0.63,0.76,0.08,0.87,0.1,0.99,0.0,0.93,0.05,1.0,0.0,0.69,0.1,0.86,0.13,0.69,0.28,0.37,0.13,0.28,0.28
0.76,0.74,0.53,0.98,0.01,0.75,0.22,0.33,0.17,0.54,0.2,0.81,0.17,0.38,0.22,0.66,0.32,0.66,0.32,0.19,0.32,0.2,0.32
0.79,0.79,0.59,0.77,0.09,0.98,0.02,0.78,0.06,0.88,0.04,0.92,0.06,0.89,0.02,0.78,0.19,0.78,0.2,0.47,0.19,0.3,0.2
0.83,0.82,0.65,0.6,0.16,0.91,0.08,0.3,0.21,0.6,0.14,0.77,0.21,0.67,0.08,0.97,0.03,0.81,0.17,0.87,0.03,0.39,0.17
0.83,0.82,0.65,0.61,0.15,0.91,0.07,0.33,0.2,0.62,0.14,0.77,0.2,0.68,0.07,0.95,0.04,0.82,0.16,0.81,0.04,0.39,0.16
0.78,0.8,0.59,0.6,0.18,0.86,0.13,0.27,0.45,0.56,0.29,0.46,0.45,0.28,0.13,0.97,0.03,0.9,0.09,0.92,0.03,0.51,0.09
0.71,0.76,0.5,0.65,0.17,0.88,0.12,0.3,0.64,0.59,0.38,0.11,0.64,0.05,0.12,0.92,0.05,0.95,0.04,0.88,0.05,0.64,0.04
0.82,0.81,0.65,0.61,0.15,0.93,0.06,0.32,0.19,0.62,0.12,0.79,0.19,0.74,0.06,0.96,0.03,0.8,0.18,0.84,0.03,0.37,0.18
0.82,0.82,0.64,0.59,0.17,0.86,0.12,0.27,0.32,0.56,0.22,0.63,0.32,0.42,0.12,0.98,0.02,0.88,0.11,0.92,0.02,0.48,0.11
0.78,0.8,0.59,0.74,0.11,0.96,0.04,0.62,0.16,0.79,0.1,0.79,0.16,0.74,0.04,0.78,0.17,0.84,0.14,0.55,0.17,0.35,0.14
0.8,0.81,0.61,0.58,0.19,0.85,0.14,0.23,0.44,0.54,0.29,0.49,0.44,0.3,0.14,0.99,0.0,0.89,0.1,0.99,0.0,0.51,0.1
0.78,0.8,0.59,0.55,0.21,0.82,0.18,0.19,0.57,0.51,0.38,0.35,0.57,0.15,0.18,0.95,0.04,0.95,0.05,0.87,0.04,0.68,0.05
0.79,0.81,0.61,0.52,0.22,0.81,0.19,0.15,0.56,0.48,0.38,0.37,0.56,0.17,0.19,0.9,0.08,0.94,0.06,0.73,0.08,0.65,0.06
0.77,0.79,0.57,0.75,0.11,0.96,0.04,0.6,0.18,0.78,0.11,0.75,0.18,0.68,0.04,0.78,0.17,0.85,0.13,0.57,0.17,0.36,0.13
0.8,0.81,0.61,0.61,0.17,0.87,0.12,0.3,0.35,0.58,0.23,0.58,0.35,0.37,0.12,0.95,0.04,0.89,0.1,0.85,0.04,0.5,0.1
0.79,0.81,0.61,0.54,0.21,0.82,0.17,0.18,0.52,0.5,0.35,0.41,0.52,0.21,0.17,0.93,0.05,0.92,0.07,0.82,0.05,0.59,0.07
0.8,0.81,0.62,0.5,0.22,0.79,0.2,0.13,0.54,0.46,0.37,0.41,0.54,0.19,0.2,0.89,0.09,0.93,0.06,0.66,0.09,0.64,0.06
0.78,0.8,0.58,0.63,0.17,0.87,0.12,0.31,0.44,0.59,0.28,0.46,0.44,0.28,0.12,0.93,0.05,0.9,0.09,0.86,0.05,0.5,0.09
0.79,0.81,0.61,0.53,0.22,0.81,0.18,0.16,0.56,0.49,0.37,0.38,0.56,0.17,0.18,0.91,0.07,0.94,0.06,0.76,0.07,0.64,0.06
0.8,0.8,0.6,0.74,0.1,0.99,0.0,0.68,0.09,0.83,0.04,0.88,0.09,0.97,0.0,0.8,0.16,0.78,0.2,0.51,0.16,0.31,0.2
0.79,0.8,0.6,0.74,0.11,0.97,0.03,0.65,0.13,0.81,0.08,0.84,0.13,0.82,0.03,0.79,0.17,0.83,0.16,0.53,0.17,0.34,0.16
