ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.01,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.55,0.31,0.0,1.0,0.51,0.31
0.72,0.7,0.44,0.07,0.42,0.09,0.87,0.01,0.62,0.05,0.74,0.38,0.62,0.05,0.87,0.83,0.15,0.83,0.14,0.46,0.15,0.52,0.14
0.72,0.76,0.51,0.62,0.18,0.85,0.14,0.27,0.65,0.56,0.4,0.14,0.65,0.05,0.14,0.95,0.03,0.97,0.03,0.92,0.03,0.74,0.03
0.78,0.8,0.59,0.65,0.15,0.88,0.11,0.38,0.34,0.63,0.23,0.57,0.34,0.34,0.11,0.88,0.09,0.91,0.09,0.74,0.09,0.52,0.09
0.82,0.81,0.64,0.65,0.13,0.97,0.02,0.43,0.13,0.7,0.07,0.86,0.13,0.9,0.02,0.92,0.06,0.77,0.21,0.69,0.06,0.35,0.21
0.8,0.8,0.6,0.73,0.11,0.95,0.04,0.64,0.13,0.79,0.09,0.83,0.13,0.73,0.04,0.79,0.17,0.84,0.14,0.53,0.17,0.38,0.14
0.81,0.79,0.63,0.73,0.09,0.91,0.07,0.84,0.02,0.88,0.05,0.98,0.02,0.76,0.07,0.87,0.12,0.71,0.26,0.42,0.12,0.29,0.26
0.81,0.8,0.61,0.73,0.1,0.97,0.03,0.7,0.07,0.83,0.05,0.92,0.07,0.88,0.03,0.83,0.14,0.75,0.22,0.5,0.14,0.3,0.22
0.83,0.82,0.65,0.6,0.15,0.91,0.07,0.31,0.18,0.61,0.12,0.8,0.18,0.71,0.07,0.97,0.03,0.8,0.17,0.85,0.03,0.4,0.17
0.83,0.82,0.65,0.61,0.15,0.91,0.07,0.32,0.2,0.61,0.14,0.78,0.2,0.69,0.07,0.96,0.03,0.81,0.17,0.84,0.03,0.39,0.17
0.82,0.8,0.64,0.66,0.12,1.0,0.0,0.45,0.11,0.72,0.06,0.88,0.11,0.99,0.0,0.93,0.06,0.75,0.23,0.68,0.06,0.33,0.23
0.81,0.8,0.63,0.7,0.11,1.0,0.0,0.56,0.11,0.78,0.06,0.87,0.11,0.98,0.0,0.86,0.11,0.77,0.21,0.57,0.11,0.32,0.21
0.82,0.8,0.64,0.64,0.13,0.98,0.01,0.41,0.12,0.69,0.07,0.86,0.12,0.94,0.01,0.94,0.06,0.76,0.22,0.71,0.06,0.34,0.22
0.78,0.8,0.59,0.57,0.2,0.83,0.16,0.21,0.54,0.52,0.35,0.36,0.54,0.17,0.16,0.97,0.02,0.94,0.05,0.94,0.02,0.64,0.05
0.83,0.82,0.65,0.61,0.15,0.92,0.07,0.32,0.18,0.62,0.12,0.8,0.18,0.72,0.07,0.96,0.03,0.8,0.18,0.84,0.03,0.39,0.18
0.82,0.8,0.64,0.67,0.12,0.99,0.01,0.48,0.1,0.73,0.06,0.89,0.1,0.97,0.01,0.92,0.07,0.74,0.23,0.64,0.07,0.32,0.23
0.83,0.82,0.65,0.6,0.15,0.91,0.07,0.31,0.19,0.61,0.13,0.79,0.19,0.71,0.07,0.96,0.03,0.8,0.17,0.84,0.03,0.39,0.17
0.83,0.82,0.65,0.54,0.18,0.82,0.16,0.22,0.27,0.52,0.22,0.71,0.27,0.44,0.16,0.99,0.01,0.87,0.12,0.96,0.01,0.52,0.12
0.81,0.78,0.63,0.76,0.08,0.88,0.1,0.98,0.0,0.93,0.05,1.0,0.0,0.7,0.1,0.85,0.13,0.7,0.27,0.38,0.13,0.28,0.27
0.82,0.8,0.64,0.65,0.13,0.99,0.01,0.43,0.12,0.71,0.07,0.87,0.12,0.97,0.01,0.93,0.06,0.75,0.22,0.69,0.06,0.33,0.22
0.83,0.82,0.65,0.57,0.18,0.85,0.13,0.23,0.3,0.54,0.21,0.67,0.3,0.44,0.13,1.0,0.0,0.87,0.11,0.98,0.0,0.49,0.11
0.83,0.82,0.65,0.6,0.15,0.91,0.08,0.31,0.2,0.61,0.14,0.78,0.2,0.67,0.08,0.96,0.03,0.81,0.17,0.85,0.03,0.4,0.17
0.8,0.8,0.6,0.75,0.1,1.0,0.0,0.7,0.09,0.85,0.04,0.89,0.09,0.99,0.0,0.79,0.17,0.79,0.19,0.5,0.17,0.32,0.19
0.81,0.8,0.63,0.7,0.11,1.0,0.0,0.56,0.11,0.78,0.06,0.88,0.11,1.0,0.0,0.87,0.11,0.77,0.21,0.57,0.11,0.32,0.21
0.81,0.81,0.63,0.67,0.13,0.94,0.05,0.47,0.17,0.7,0.11,0.81,0.17,0.75,0.05,0.88,0.1,0.81,0.17,0.64,0.1,0.37,0.17
0.82,0.8,0.63,0.67,0.12,1.0,0.0,0.5,0.11,0.75,0.06,0.88,0.11,1.0,0.0,0.9,0.09,0.76,0.22,0.62,0.09,0.33,0.22
0.81,0.78,0.62,0.77,0.08,0.89,0.09,1.0,0.0,0.95,0.04,1.0,0.0,0.71,0.09,0.83,0.15,0.71,0.26,0.38,0.15,0.28,0.26
0.8,0.8,0.6,0.74,0.1,0.99,0.01,0.71,0.09,0.85,0.05,0.89,0.09,0.95,0.01,0.79,0.17,0.8,0.18,0.5,0.17,0.33,0.18
0.79,0.8,0.6,0.59,0.18,0.85,0.14,0.26,0.44,0.55,0.29,0.47,0.44,0.25,0.14,0.97,0.02,0.92,0.07,0.93,0.02,0.58,0.07
0.82,0.82,0.64,0.63,0.15,0.9,0.09,0.36,0.23,0.63,0.16,0.74,0.23,0.58,0.09,0.92,0.06,0.84,0.14,0.75,0.06,0.42,0.14
0.81,0.8,0.62,0.7,0.11,0.98,0.02,0.57,0.12,0.77,0.07,0.86,0.12,0.9,0.02,0.85,0.13,0.79,0.19,0.57,0.13,0.34,0.19
0.82,0.8,0.64,0.68,0.11,0.98,0.01,0.52,0.09,0.75,0.05,0.9,0.09,0.94,0.01,0.9,0.09,0.75,0.23,0.6,0.09,0.32,0.23
0.8,0.81,0.61,0.63,0.16,0.87,0.12,0.33,0.34,0.6,0.23,0.59,0.34,0.35,0.12,0.92,0.06,0.9,0.09,0.8,0.06,0.52,0.09
0.81,0.82,0.63,0.6,0.17,0.87,0.12,0.3,0.32,0.58,0.22,0.63,0.32,0.41,0.12,0.95,0.04,0.89,0.1,0.86,0.04,0.49,0.1
0.82,0.82,0.65,0.57,0.18,0.85,0.14,0.24,0.32,0.54,0.23,0.65,0.32,0.4,0.14,1.0,0.0,0.89,0.1,1.0,0.0,0.51,0.1
0.82,0.82,0.65,0.63,0.15,0.91,0.08,0.36,0.21,0.64,0.14,0.76,0.21,0.63,0.08,0.93,0.06,0.83,0.15,0.76,0.06,0.41,0.15
0.81,0.81,0.62,0.64,0.15,0.89,0.1,0.39,0.27,0.64,0.18,0.68,0.27,0.44,0.1,0.89,0.09,0.89,0.1,0.72,0.09,0.49,0.1
0.82,0.82,0.64,0.65,0.14,0.92,0.07,0.41,0.2,0.67,0.14,0.77,0.2,0.67,0.07,0.9,0.08,0.83,0.15,0.7,0.08,0.39,0.15
0.82,0.82,0.65,0.59,0.17,0.87,0.11,0.28,0.27,0.57,0.19,0.7,0.27,0.5,0.11,0.97,0.02,0.86,0.13,0.9,0.02,0.46,0.13
0.83,0.82,0.65,0.61,0.15,0.92,0.07,0.33,0.19,0.62,0.13,0.79,0.19,0.72,0.07,0.95,0.04,0.81,0.17,0.81,0.04,0.38,0.17
0.81,0.8,0.62,0.72,0.11,0.98,0.01,0.63,0.11,0.8,0.06,0.87,0.11,0.92,0.01,0.82,0.15,0.8,0.18,0.53,0.15,0.33,0.18
