ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.65,0.65,0.31,0.02,0.49,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.66,0.33,0.0,1.0,0.1,0.33,0.0,1.0
0.67,0.66,0.33,0.04,0.47,0.07,0.93,0.0,0.97,0.04,0.95,0.03,0.97,0.0,0.93,0.67,0.32,0.83,0.14,0.1,0.32,0.56,0.14
0.7,0.7,0.41,0.16,0.4,0.22,0.77,0.02,0.82,0.12,0.79,0.16,0.82,0.02,0.77,0.8,0.17,0.85,0.13,0.49,0.17,0.56,0.13
0.74,0.76,0.5,0.39,0.3,0.6,0.4,0.06,0.89,0.33,0.65,0.06,0.89,0.01,0.4,0.77,0.19,0.95,0.04,0.44,0.19,0.76,0.04
0.75,0.7,0.52,0.2,0.3,0.26,0.59,0.08,0.23,0.17,0.41,0.76,0.23,0.25,0.59,1.0,0.0,0.96,0.03,0.98,0.0,0.91,0.03
0.77,0.71,0.57,0.5,0.16,0.71,0.19,0.4,0.06,0.55,0.12,0.94,0.06,0.65,0.19,0.93,0.07,0.77,0.18,0.55,0.07,0.54,0.18
0.82,0.8,0.64,0.69,0.11,0.96,0.03,0.49,0.09,0.72,0.06,0.9,0.09,0.9,0.03,0.93,0.06,0.73,0.24,0.65,0.06,0.32,0.24
0.8,0.81,0.6,0.49,0.23,0.76,0.23,0.12,0.56,0.44,0.4,0.4,0.56,0.18,0.23,0.87,0.11,0.93,0.06,0.61,0.11,0.68,0.06
0.79,0.8,0.6,0.57,0.2,0.84,0.15,0.2,0.53,0.52,0.34,0.39,0.53,0.22,0.15,0.95,0.04,0.91,0.08,0.87,0.04,0.56,0.08
0.79,0.8,0.59,0.61,0.17,0.87,0.12,0.27,0.45,0.57,0.29,0.47,0.45,0.34,0.12,0.99,0.01,0.87,0.12,0.96,0.01,0.46,0.12
0.77,0.79,0.57,0.49,0.25,0.77,0.23,0.1,0.77,0.43,0.5,0.16,0.77,0.06,0.23,0.81,0.16,0.96,0.04,0.53,0.16,0.76,0.04
0.79,0.81,0.6,0.49,0.24,0.75,0.24,0.11,0.61,0.43,0.42,0.34,0.61,0.13,0.24,0.86,0.12,0.96,0.04,0.58,0.12,0.78,0.04
0.78,0.8,0.59,0.51,0.23,0.78,0.21,0.12,0.67,0.45,0.44,0.26,0.67,0.1,0.21,0.85,0.12,0.96,0.04,0.61,0.12,0.77,0.04
0.77,0.77,0.53,0.36,0.3,0.52,0.46,0.06,0.63,0.29,0.55,0.34,0.63,0.08,0.46,0.84,0.14,0.96,0.03,0.51,0.14,0.85,0.03
0.76,0.78,0.54,0.46,0.27,0.72,0.28,0.08,0.86,0.4,0.57,0.08,0.86,0.02,0.28,0.78,0.18,0.99,0.01,0.48,0.18,0.96,0.01
0.73,0.73,0.46,0.27,0.36,0.39,0.6,0.03,0.84,0.21,0.72,0.14,0.84,0.02,0.6,0.76,0.21,0.9,0.08,0.38,0.21,0.65,0.08
0.81,0.81,0.62,0.49,0.21,0.73,0.24,0.15,0.35,0.44,0.29,0.63,0.35,0.32,0.24,0.94,0.05,0.89,0.09,0.75,0.05,0.64,0.09
0.74,0.74,0.48,0.26,0.35,0.37,0.62,0.04,0.71,0.2,0.67,0.27,0.71,0.04,0.62,0.81,0.17,0.89,0.1,0.45,0.17,0.62,0.1
0.82,0.81,0.64,0.56,0.18,0.83,0.14,0.2,0.28,0.52,0.21,0.7,0.28,0.49,0.14,0.97,0.02,0.84,0.14,0.88,0.02,0.48,0.14
0.78,0.8,0.58,0.6,0.19,0.85,0.14,0.24,0.52,0.54,0.33,0.39,0.52,0.23,0.14,0.99,0.01,0.91,0.08,0.97,0.01,0.54,0.08
0.76,0.76,0.52,0.35,0.31,0.51,0.47,0.05,0.72,0.28,0.59,0.25,0.72,0.05,0.47,0.8,0.17,0.94,0.05,0.45,0.17,0.75,0.05
0.8,0.81,0.61,0.57,0.19,0.85,0.14,0.2,0.49,0.53,0.32,0.45,0.49,0.3,0.14,0.95,0.04,0.88,0.11,0.86,0.04,0.49,0.11
0.81,0.82,0.63,0.55,0.2,0.83,0.16,0.16,0.47,0.49,0.32,0.48,0.47,0.29,0.16,0.92,0.07,0.89,0.1,0.74,0.07,0.54,0.1
0.82,0.81,0.64,0.57,0.16,0.86,0.11,0.24,0.22,0.55,0.17,0.76,0.22,0.61,0.11,0.99,0.01,0.8,0.17,0.97,0.01,0.45,0.17
0.81,0.81,0.62,0.69,0.12,0.97,0.03,0.48,0.17,0.72,0.1,0.8,0.17,0.87,0.03,0.89,0.09,0.78,0.19,0.66,0.09,0.34,0.19
0.77,0.79,0.57,0.5,0.24,0.78,0.22,0.11,0.78,0.45,0.5,0.14,0.78,0.06,0.22,0.83,0.14,0.96,0.03,0.58,0.14,0.77,0.03
0.8,0.81,0.61,0.53,0.22,0.81,0.18,0.14,0.57,0.48,0.38,0.37,0.57,0.19,0.18,0.89,0.09,0.92,0.07,0.68,0.09,0.61,0.07
0.81,0.77,0.62,0.7,0.09,0.94,0.05,0.66,0.04,0.8,0.04,0.96,0.04,0.86,0.05,0.91,0.08,0.7,0.26,0.51,0.08,0.34,0.26
0.82,0.82,0.64,0.6,0.16,0.9,0.09,0.27,0.27,0.58,0.18,0.7,0.27,0.6,0.09,0.99,0.0,0.82,0.16,0.98,0.0,0.41,0.16
0.79,0.77,0.59,0.41,0.23,0.59,0.35,0.13,0.28,0.36,0.32,0.7,0.28,0.31,0.35,0.96,0.03,0.9,0.08,0.81,0.03,0.73,0.08
0.82,0.82,0.64,0.57,0.18,0.85,0.13,0.22,0.28,0.54,0.21,0.7,0.28,0.51,0.13,0.98,0.02,0.84,0.14,0.9,0.02,0.47,0.14
