ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.68,0.27,0.99,0.0,1.0,0.0,0.93,0.06,0.97,0.03,0.7,0.06,0.69,0.0,0.52,0.32,0.95,0.05,0.51,0.32,0.3,0.05
0.67,0.73,0.44,0.71,0.14,0.91,0.09,0.39,0.59,0.65,0.34,0.05,0.59,0.02,0.09,0.84,0.1,0.98,0.02,0.78,0.1,0.78,0.02
0.72,0.73,0.45,0.92,0.03,0.8,0.19,0.41,0.28,0.6,0.24,0.65,0.28,0.24,0.19,0.56,0.38,0.7,0.28,0.26,0.38,0.15,0.28
0.79,0.79,0.59,0.73,0.11,0.97,0.03,0.62,0.14,0.79,0.09,0.82,0.14,0.83,0.03,0.8,0.16,0.82,0.16,0.56,0.16,0.34,0.16
0.81,0.79,0.62,0.74,0.09,0.95,0.04,0.73,0.05,0.84,0.04,0.94,0.05,0.82,0.04,0.84,0.14,0.74,0.23,0.49,0.14,0.29,0.23
0.75,0.77,0.54,0.75,0.11,0.95,0.04,0.54,0.27,0.74,0.15,0.61,0.27,0.58,0.04,0.79,0.16,0.87,0.13,0.64,0.16,0.35,0.13
0.82,0.82,0.65,0.58,0.17,0.89,0.1,0.24,0.29,0.56,0.2,0.68,0.29,0.55,0.1,0.99,0.01,0.84,0.14,0.97,0.01,0.42,0.14
0.81,0.81,0.63,0.6,0.17,0.88,0.11,0.29,0.32,0.58,0.21,0.63,0.32,0.43,0.11,0.96,0.03,0.88,0.11,0.9,0.03,0.47,0.11
0.82,0.8,0.64,0.65,0.12,0.99,0.01,0.39,0.13,0.69,0.07,0.85,0.13,0.95,0.01,0.95,0.04,0.75,0.23,0.78,0.04,0.31,0.23
0.81,0.78,0.63,0.72,0.09,0.9,0.08,0.63,0.05,0.77,0.07,0.95,0.05,0.74,0.08,0.91,0.08,0.7,0.27,0.56,0.08,0.28,0.27
0.81,0.78,0.63,0.74,0.08,0.86,0.11,0.78,0.02,0.82,0.07,0.98,0.02,0.68,0.11,0.89,0.1,0.69,0.28,0.47,0.1,0.27,0.28
0.81,0.78,0.62,0.75,0.08,0.86,0.11,0.79,0.03,0.82,0.07,0.97,0.03,0.67,0.11,0.88,0.11,0.69,0.28,0.47,0.11,0.27,0.28
0.81,0.81,0.63,0.64,0.14,0.94,0.05,0.37,0.22,0.66,0.14,0.75,0.22,0.74,0.05,0.93,0.06,0.81,0.17,0.78,0.06,0.36,0.17
0.8,0.81,0.62,0.52,0.22,0.82,0.18,0.15,0.52,0.48,0.35,0.42,0.52,0.21,0.18,0.9,0.08,0.93,0.06,0.71,0.08,0.62,0.06
