ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.68,0.78,0.1,0.79,0.18,0.58,0.28,0.56,0.28,0.4,0.18,0.94,0.05,0.93,0.05,0.87,0.05,0.87,0.05,0.68,0.23
0.68,0.78,0.09,0.8,0.17,0.6,0.26,0.57,0.26,0.43,0.17,0.93,0.05,0.92,0.05,0.86,0.05,0.86,0.05,0.69,0.22
0.68,0.78,0.09,0.8,0.17,0.6,0.26,0.57,0.26,0.46,0.17,0.93,0.05,0.9,0.07,0.86,0.05,0.83,0.07,0.69,0.22
0.68,0.78,0.09,0.8,0.18,0.61,0.25,0.58,0.25,0.44,0.18,0.92,0.05,0.92,0.05,0.84,0.05,0.86,0.05,0.69,0.21
0.68,0.78,0.09,0.8,0.17,0.63,0.24,0.58,0.24,0.46,0.17,0.93,0.05,0.92,0.06,0.85,0.05,0.85,0.06,0.69,0.21
0.68,0.79,0.09,0.81,0.17,0.68,0.21,0.62,0.21,0.47,0.17,0.91,0.06,0.93,0.04,0.81,0.06,0.88,0.04,0.72,0.19
0.69,0.8,0.09,0.81,0.16,0.69,0.21,0.62,0.21,0.49,0.16,0.91,0.06,0.93,0.05,0.81,0.06,0.87,0.05,0.72,0.18
0.68,0.79,0.09,0.81,0.16,0.64,0.24,0.59,0.24,0.48,0.16,0.93,0.05,0.91,0.06,0.84,0.05,0.84,0.06,0.7,0.2
0.68,0.79,0.09,0.8,0.17,0.62,0.25,0.59,0.25,0.45,0.17,0.92,0.05,0.92,0.05,0.84,0.05,0.86,0.05,0.7,0.21
0.68,0.79,0.09,0.8,0.17,0.63,0.24,0.58,0.24,0.46,0.17,0.92,0.05,0.92,0.06,0.84,0.05,0.85,0.06,0.69,0.21
0.68,0.78,0.09,0.79,0.18,0.62,0.25,0.58,0.25,0.42,0.18,0.92,0.06,0.94,0.04,0.84,0.06,0.89,0.04,0.69,0.21
0.68,0.79,0.09,0.79,0.18,0.64,0.23,0.62,0.23,0.39,0.18,0.9,0.07,0.97,0.02,0.8,0.07,0.94,0.02,0.71,0.21
0.68,0.79,0.09,0.79,0.18,0.63,0.24,0.59,0.24,0.42,0.18,0.92,0.06,0.95,0.03,0.83,0.06,0.9,0.03,0.69,0.21
0.68,0.79,0.09,0.8,0.17,0.68,0.21,0.62,0.21,0.47,0.17,0.91,0.06,0.93,0.04,0.81,0.06,0.88,0.04,0.71,0.19
0.68,0.8,0.09,0.8,0.17,0.7,0.2,0.64,0.2,0.47,0.17,0.9,0.07,0.95,0.04,0.79,0.07,0.9,0.04,0.72,0.18
0.68,0.79,0.09,0.8,0.17,0.7,0.2,0.62,0.2,0.48,0.17,0.91,0.07,0.93,0.04,0.8,0.07,0.88,0.04,0.71,0.18
0.68,0.79,0.09,0.8,0.17,0.71,0.19,0.63,0.19,0.49,0.17,0.91,0.07,0.94,0.04,0.8,0.07,0.88,0.04,0.72,0.18
0.69,0.79,0.09,0.81,0.16,0.7,0.2,0.61,0.2,0.52,0.16,0.92,0.06,0.92,0.06,0.82,0.06,0.85,0.06,0.71,0.18
0.69,0.78,0.09,0.81,0.16,0.7,0.21,0.59,0.21,0.52,0.16,0.93,0.05,0.91,0.06,0.83,0.05,0.84,0.06,0.7,0.18
0.69,0.78,0.09,0.8,0.16,0.69,0.22,0.59,0.22,0.49,0.16,0.93,0.05,0.92,0.05,0.83,0.05,0.86,0.05,0.7,0.19
0.69,0.81,0.08,0.82,0.15,0.71,0.19,0.65,0.19,0.5,0.15,0.91,0.07,0.93,0.05,0.8,0.07,0.87,0.05,0.73,0.17
0.69,0.81,0.08,0.82,0.15,0.69,0.2,0.64,0.2,0.49,0.15,0.91,0.07,0.93,0.05,0.81,0.07,0.86,0.05,0.73,0.17
0.69,0.81,0.08,0.82,0.15,0.7,0.2,0.64,0.2,0.5,0.15,0.91,0.07,0.93,0.05,0.81,0.07,0.86,0.05,0.73,0.17
0.69,0.8,0.08,0.82,0.16,0.68,0.21,0.62,0.21,0.48,0.16,0.92,0.06,0.93,0.05,0.82,0.06,0.87,0.05,0.72,0.18
0.69,0.8,0.08,0.82,0.16,0.68,0.21,0.62,0.21,0.47,0.16,0.91,0.06,0.94,0.04,0.82,0.06,0.88,0.04,0.72,0.18
0.69,0.8,0.09,0.81,0.16,0.68,0.21,0.62,0.21,0.46,0.16,0.91,0.06,0.94,0.04,0.81,0.06,0.88,0.04,0.72,0.18
0.69,0.8,0.09,0.82,0.16,0.69,0.21,0.62,0.21,0.48,0.16,0.92,0.06,0.93,0.05,0.82,0.06,0.87,0.05,0.72,0.18
0.69,0.81,0.08,0.84,0.14,0.69,0.2,0.64,0.2,0.51,0.14,0.91,0.06,0.91,0.06,0.82,0.06,0.83,0.06,0.74,0.17
0.69,0.81,0.08,0.83,0.14,0.67,0.21,0.62,0.21,0.5,0.14,0.92,0.06,0.91,0.06,0.83,0.06,0.83,0.06,0.72,0.17
0.69,0.83,0.07,0.85,0.13,0.7,0.19,0.66,0.19,0.52,0.13,0.91,0.07,0.92,0.06,0.8,0.07,0.83,0.06,0.76,0.16
0.68,0.84,0.07,0.85,0.13,0.71,0.18,0.69,0.18,0.51,0.13,0.89,0.08,0.93,0.05,0.78,0.08,0.85,0.05,0.77,0.15
0.69,0.82,0.08,0.84,0.14,0.68,0.2,0.65,0.2,0.49,0.14,0.91,0.07,0.92,0.05,0.81,0.07,0.85,0.05,0.74,0.17
0.69,0.81,0.08,0.83,0.15,0.67,0.21,0.62,0.21,0.48,0.15,0.92,0.06,0.93,0.05,0.83,0.06,0.85,0.05,0.72,0.18
0.69,0.82,0.08,0.84,0.14,0.66,0.22,0.63,0.22,0.49,0.14,0.92,0.06,0.92,0.06,0.83,0.06,0.83,0.06,0.73,0.18
0.69,0.8,0.09,0.82,0.16,0.66,0.22,0.61,0.22,0.46,0.16,0.92,0.06,0.94,0.05,0.83,0.06,0.87,0.05,0.71,0.19
