ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.67,0.78,0.1,0.77,0.2,0.63,0.24,0.59,0.24,0.4,0.2,0.94,0.04,1.0,0.0,0.88,0.04,0.99,0.0,0.68,0.22
0.67,0.77,0.1,0.76,0.21,0.61,0.26,0.57,0.26,0.37,0.21,0.95,0.04,0.98,0.01,0.89,0.04,0.97,0.01,0.67,0.23
0.67,0.79,0.09,0.78,0.19,0.65,0.22,0.62,0.22,0.41,0.19,0.93,0.05,1.0,0.0,0.87,0.05,1.0,0.0,0.7,0.21
0.67,0.79,0.09,0.78,0.19,0.63,0.24,0.6,0.24,0.42,0.19,0.94,0.04,0.98,0.01,0.88,0.04,0.97,0.01,0.69,0.21
0.67,0.81,0.08,0.8,0.17,0.71,0.19,0.66,0.19,0.48,0.17,0.92,0.06,0.98,0.02,0.84,0.06,0.96,0.02,0.73,0.18
0.67,0.81,0.08,0.81,0.15,0.71,0.19,0.64,0.19,0.54,0.15,0.93,0.05,0.93,0.04,0.86,0.05,0.89,0.04,0.73,0.17
0.67,0.81,0.08,0.81,0.16,0.72,0.18,0.65,0.18,0.53,0.16,0.93,0.05,0.95,0.03,0.85,0.05,0.91,0.03,0.73,0.17
0.67,0.8,0.08,0.8,0.16,0.71,0.2,0.63,0.2,0.53,0.16,0.94,0.05,0.94,0.04,0.87,0.05,0.89,0.04,0.72,0.18
0.67,0.81,0.08,0.81,0.16,0.73,0.18,0.65,0.18,0.54,0.16,0.93,0.05,0.94,0.04,0.85,0.05,0.9,0.04,0.73,0.17
0.67,0.81,0.08,0.81,0.15,0.72,0.19,0.64,0.19,0.55,0.15,0.93,0.05,0.94,0.04,0.86,0.05,0.89,0.04,0.73,0.17
0.67,0.8,0.08,0.8,0.16,0.71,0.2,0.63,0.2,0.52,0.16,0.93,0.05,0.95,0.03,0.86,0.05,0.91,0.03,0.72,0.18
0.67,0.79,0.09,0.79,0.17,0.7,0.2,0.62,0.2,0.48,0.17,0.93,0.05,0.97,0.02,0.86,0.05,0.94,0.02,0.71,0.18
0.67,0.8,0.08,0.8,0.17,0.7,0.2,0.64,0.2,0.46,0.17,0.93,0.05,0.99,0.01,0.85,0.05,0.97,0.01,0.72,0.18
0.68,0.8,0.08,0.8,0.18,0.68,0.21,0.63,0.21,0.44,0.18,0.93,0.05,0.99,0.01,0.86,0.05,0.98,0.01,0.72,0.2
0.67,0.83,0.07,0.84,0.14,0.73,0.17,0.69,0.17,0.53,0.14,0.92,0.06,0.96,0.03,0.83,0.06,0.92,0.03,0.76,0.16
0.67,0.85,0.06,0.85,0.12,0.77,0.14,0.74,0.14,0.56,0.12,0.9,0.07,0.96,0.03,0.81,0.07,0.91,0.03,0.79,0.13
0.67,0.85,0.07,0.85,0.13,0.74,0.16,0.71,0.16,0.53,0.13,0.91,0.06,0.96,0.03,0.83,0.06,0.91,0.03,0.78,0.15
0.68,0.84,0.07,0.83,0.15,0.75,0.15,0.72,0.15,0.47,0.15,0.9,0.07,0.99,0.0,0.8,0.07,0.99,0.0,0.77,0.15
0.68,0.85,0.06,0.85,0.12,0.76,0.14,0.73,0.14,0.54,0.12,0.91,0.07,0.96,0.03,0.82,0.07,0.92,0.03,0.79,0.13
0.68,0.84,0.07,0.83,0.15,0.73,0.16,0.71,0.16,0.48,0.15,0.91,0.06,0.99,0.01,0.82,0.06,0.97,0.01,0.77,0.15
0.68,0.83,0.07,0.83,0.15,0.73,0.16,0.71,0.16,0.47,0.15,0.91,0.07,1.0,0.0,0.82,0.07,1.0,0.0,0.77,0.15
0.68,0.82,0.08,0.81,0.17,0.71,0.18,0.68,0.18,0.43,0.17,0.91,0.06,0.98,0.01,0.82,0.06,0.96,0.01,0.75,0.17
0.68,0.81,0.08,0.8,0.18,0.68,0.2,0.66,0.2,0.4,0.18,0.92,0.06,0.98,0.02,0.84,0.06,0.95,0.02,0.73,0.19
0.68,0.79,0.09,0.78,0.19,0.66,0.22,0.61,0.22,0.39,0.19,0.94,0.05,0.98,0.02,0.87,0.05,0.95,0.02,0.7,0.21
0.68,0.8,0.09,0.78,0.19,0.7,0.2,0.64,0.2,0.41,0.19,0.92,0.05,0.98,0.02,0.84,0.05,0.95,0.02,0.71,0.2
0.68,0.79,0.09,0.77,0.2,0.69,0.2,0.62,0.2,0.41,0.2,0.93,0.05,0.97,0.02,0.84,0.05,0.95,0.02,0.7,0.2
0.68,0.79,0.09,0.78,0.19,0.68,0.21,0.61,0.21,0.43,0.19,0.94,0.04,1.0,0.0,0.87,0.04,1.0,0.0,0.7,0.2
0.68,0.79,0.09,0.79,0.18,0.7,0.2,0.63,0.2,0.46,0.18,0.93,0.05,0.99,0.01,0.86,0.05,0.98,0.01,0.71,0.19
0.68,0.82,0.07,0.82,0.15,0.73,0.17,0.68,0.17,0.5,0.15,0.92,0.06,0.97,0.02,0.84,0.06,0.95,0.02,0.75,0.16
0.68,0.82,0.07,0.82,0.15,0.72,0.18,0.67,0.18,0.49,0.15,0.92,0.05,0.98,0.01,0.84,0.05,0.96,0.01,0.74,0.16
0.68,0.85,0.06,0.85,0.12,0.75,0.15,0.72,0.15,0.56,0.12,0.91,0.06,0.95,0.03,0.83,0.06,0.9,0.03,0.78,0.14
0.68,0.85,0.06,0.86,0.12,0.74,0.16,0.7,0.16,0.58,0.12,0.92,0.05,0.93,0.05,0.84,0.05,0.87,0.05,0.78,0.14
0.68,0.83,0.07,0.84,0.14,0.74,0.17,0.69,0.17,0.53,0.14,0.92,0.06,0.96,0.03,0.84,0.06,0.92,0.03,0.76,0.16
0.68,0.83,0.07,0.84,0.13,0.72,0.17,0.68,0.17,0.54,0.13,0.93,0.05,0.95,0.04,0.85,0.05,0.9,0.04,0.76,0.15
0.68,0.83,0.07,0.84,0.13,0.73,0.17,0.68,0.17,0.56,0.13,0.93,0.05,0.94,0.04,0.85,0.05,0.88,0.04,0.76,0.15
0.68,0.84,0.07,0.84,0.13,0.74,0.16,0.7,0.16,0.53,0.13,0.92,0.06,0.96,0.03,0.83,0.06,0.92,0.03,0.77,0.15
