ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.53,0.69,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.88,0.06,0.0,1.0
0.58,0.7,0.19,0.92,0.04,0.0,1.0,0.77,0.23,0.39,0.61,0.02,0.23,0.0,1.0,0.97,0.02,0.0,1.0,0.96,0.02,0.0,1.0
0.58,0.7,0.19,0.91,0.05,0.0,1.0,0.75,0.25,0.38,0.62,0.02,0.25,0.0,1.0,0.98,0.01,0.0,1.0,0.97,0.01,0.0,1.0
0.63,0.71,0.27,0.84,0.08,0.83,0.16,0.61,0.34,0.72,0.25,0.26,0.34,0.14,0.16,0.97,0.02,0.91,0.07,0.96,0.02,0.75,0.07
0.64,0.71,0.29,0.83,0.08,0.83,0.17,0.59,0.34,0.71,0.26,0.33,0.34,0.21,0.17,0.97,0.02,0.94,0.04,0.95,0.02,0.86,0.04
0.65,0.71,0.3,0.78,0.1,0.78,0.2,0.52,0.38,0.65,0.29,0.35,0.38,0.22,0.2,0.94,0.04,0.94,0.05,0.91,0.04,0.86,0.05
0.65,0.7,0.3,0.78,0.1,0.77,0.21,0.51,0.37,0.64,0.29,0.38,0.37,0.26,0.21,0.94,0.04,0.96,0.03,0.9,0.04,0.91,0.03
0.65,0.71,0.3,0.78,0.1,0.77,0.21,0.53,0.36,0.65,0.28,0.41,0.36,0.26,0.21,0.95,0.03,0.94,0.04,0.91,0.03,0.87,0.04
0.66,0.71,0.32,0.78,0.1,0.77,0.22,0.53,0.33,0.65,0.28,0.47,0.33,0.27,0.22,0.96,0.03,0.91,0.07,0.93,0.03,0.8,0.07
0.66,0.7,0.31,0.79,0.09,0.79,0.19,0.55,0.31,0.67,0.25,0.51,0.31,0.35,0.19,0.96,0.03,0.96,0.03,0.93,0.03,0.92,0.03
0.66,0.71,0.32,0.82,0.08,0.83,0.15,0.58,0.28,0.7,0.22,0.53,0.28,0.42,0.15,0.97,0.02,1.0,0.0,0.94,0.02,0.99,0.0
0.66,0.71,0.32,0.82,0.08,0.81,0.17,0.6,0.28,0.71,0.23,0.53,0.28,0.35,0.17,0.98,0.02,0.95,0.03,0.96,0.02,0.89,0.03
0.67,0.71,0.33,0.82,0.08,0.82,0.16,0.59,0.26,0.7,0.21,0.57,0.26,0.42,0.16,0.97,0.02,0.98,0.02,0.95,0.02,0.95,0.02
0.67,0.71,0.33,0.81,0.08,0.81,0.17,0.59,0.26,0.7,0.22,0.58,0.26,0.41,0.17,0.98,0.02,0.97,0.02,0.96,0.02,0.93,0.02
0.66,0.71,0.32,0.82,0.08,0.81,0.17,0.61,0.25,0.71,0.21,0.58,0.25,0.41,0.17,0.99,0.01,0.97,0.02,0.97,0.01,0.92,0.02
0.68,0.71,0.36,0.81,0.08,0.8,0.18,0.61,0.21,0.71,0.2,0.68,0.21,0.42,0.18,1.0,0.0,0.93,0.05,0.99,0.0,0.85,0.05
0.67,0.72,0.34,0.83,0.07,0.81,0.16,0.66,0.2,0.74,0.18,0.68,0.2,0.41,0.16,0.99,0.01,0.93,0.05,0.97,0.01,0.83,0.05
0.67,0.71,0.34,0.84,0.07,0.81,0.16,0.68,0.18,0.75,0.17,0.69,0.18,0.41,0.16,0.98,0.02,0.92,0.06,0.96,0.02,0.82,0.06
0.68,0.72,0.36,0.84,0.07,0.82,0.16,0.7,0.16,0.76,0.16,0.75,0.16,0.45,0.16,0.97,0.02,0.93,0.05,0.94,0.02,0.83,0.05
0.67,0.72,0.35,0.86,0.06,0.83,0.15,0.74,0.14,0.78,0.15,0.76,0.14,0.46,0.15,0.96,0.03,0.93,0.05,0.92,0.03,0.84,0.05
0.68,0.71,0.35,0.87,0.05,0.86,0.12,0.78,0.11,0.82,0.11,0.83,0.11,0.58,0.12,0.95,0.03,0.97,0.02,0.9,0.03,0.93,0.02
0.68,0.71,0.36,0.9,0.04,0.88,0.1,0.86,0.06,0.87,0.08,0.9,0.06,0.65,0.1,0.93,0.05,0.98,0.02,0.86,0.05,0.95,0.02
0.67,0.71,0.34,0.9,0.04,0.87,0.11,0.84,0.08,0.85,0.1,0.86,0.08,0.58,0.11,0.93,0.05,0.96,0.03,0.87,0.05,0.9,0.03
0.68,0.71,0.35,0.91,0.04,0.89,0.09,0.89,0.05,0.89,0.07,0.92,0.05,0.67,0.09,0.92,0.05,0.98,0.02,0.84,0.05,0.95,0.02
0.67,0.71,0.34,0.91,0.04,0.89,0.09,0.87,0.06,0.88,0.07,0.89,0.06,0.66,0.09,0.93,0.05,0.98,0.01,0.86,0.05,0.96,0.01
0.67,0.72,0.35,0.89,0.04,0.87,0.11,0.83,0.09,0.85,0.1,0.85,0.09,0.57,0.11,0.94,0.04,0.96,0.03,0.88,0.04,0.9,0.03
0.68,0.72,0.35,0.9,0.04,0.89,0.1,0.84,0.08,0.86,0.09,0.86,0.08,0.64,0.1,0.94,0.04,0.98,0.01,0.88,0.04,0.96,0.01
0.68,0.72,0.35,0.88,0.05,0.86,0.12,0.8,0.1,0.83,0.11,0.83,0.1,0.53,0.12,0.94,0.04,0.95,0.04,0.89,0.04,0.87,0.04
0.67,0.72,0.35,0.88,0.05,0.87,0.12,0.8,0.11,0.83,0.11,0.81,0.11,0.54,0.12,0.95,0.04,0.95,0.03,0.9,0.04,0.89,0.03
0.67,0.71,0.34,0.88,0.05,0.87,0.11,0.8,0.1,0.83,0.11,0.83,0.1,0.59,0.11,0.95,0.04,0.97,0.02,0.89,0.04,0.93,0.02
0.68,0.72,0.36,0.89,0.05,0.87,0.11,0.81,0.09,0.84,0.1,0.86,0.09,0.62,0.11,0.95,0.04,0.98,0.02,0.89,0.04,0.94,0.02
0.68,0.72,0.35,0.88,0.05,0.87,0.11,0.79,0.11,0.83,0.11,0.82,0.11,0.59,0.11,0.95,0.03,0.97,0.02,0.91,0.03,0.94,0.02
0.68,0.71,0.35,0.9,0.04,0.88,0.1,0.84,0.08,0.86,0.09,0.87,0.08,0.62,0.1,0.94,0.04,0.97,0.02,0.88,0.04,0.94,0.02
0.68,0.72,0.35,0.9,0.04,0.89,0.09,0.83,0.08,0.86,0.08,0.86,0.08,0.65,0.09,0.94,0.04,0.99,0.01,0.89,0.04,0.97,0.01
0.68,0.72,0.35,0.89,0.04,0.88,0.1,0.8,0.1,0.84,0.1,0.83,0.1,0.6,0.1,0.95,0.03,0.98,0.02,0.9,0.03,0.94,0.02
0.68,0.72,0.35,0.9,0.04,0.88,0.1,0.82,0.09,0.85,0.1,0.84,0.09,0.6,0.1,0.94,0.04,0.97,0.02,0.89,0.04,0.94,0.02
0.68,0.72,0.35,0.9,0.04,0.89,0.1,0.81,0.1,0.85,0.1,0.83,0.1,0.61,0.1,0.95,0.04,0.98,0.01,0.9,0.04,0.95,0.01
0.68,0.72,0.35,0.89,0.04,0.89,0.1,0.82,0.09,0.85,0.1,0.85,0.09,0.64,0.1,0.95,0.04,0.99,0.01,0.9,0.04,0.97,0.01
0.68,0.72,0.35,0.9,0.04,0.89,0.09,0.83,0.09,0.86,0.09,0.86,0.09,0.64,0.09,0.95,0.04,0.99,0.01,0.89,0.04,0.97,0.01
0.68,0.72,0.36,0.91,0.04,0.88,0.1,0.9,0.05,0.89,0.08,0.93,0.05,0.64,0.1,0.92,0.06,0.96,0.03,0.84,0.06,0.92,0.03
0.68,0.72,0.35,0.89,0.04,0.88,0.1,0.81,0.09,0.84,0.1,0.85,0.09,0.63,0.1,0.95,0.04,0.98,0.01,0.9,0.04,0.97,0.01
0.67,0.72,0.34,0.89,0.04,0.88,0.1,0.8,0.1,0.84,0.1,0.82,0.1,0.61,0.1,0.95,0.03,0.98,0.01,0.91,0.03,0.96,0.01
0.67,0.72,0.35,0.89,0.05,0.88,0.1,0.8,0.1,0.84,0.1,0.83,0.1,0.61,0.1,0.95,0.03,0.98,0.01,0.91,0.03,0.96,0.01
0.67,0.72,0.35,0.88,0.05,0.86,0.12,0.79,0.11,0.82,0.11,0.81,0.11,0.54,0.12,0.95,0.03,0.96,0.03,0.9,0.03,0.9,0.03
0.68,0.72,0.35,0.88,0.05,0.87,0.11,0.79,0.11,0.83,0.11,0.81,0.11,0.55,0.11,0.95,0.03,0.96,0.03,0.9,0.03,0.9,0.03
