ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.69,0.86,0.06,0.9,0.08,0.73,0.17,0.68,0.17,0.68,0.08,0.95,0.04,0.88,0.09,0.89,0.04,0.78,0.09,0.79,0.12
0.69,0.86,0.06,0.9,0.08,0.75,0.16,0.7,0.16,0.69,0.08,0.94,0.04,0.88,0.08,0.87,0.04,0.79,0.08,0.8,0.12
0.68,0.86,0.06,0.89,0.09,0.75,0.16,0.7,0.16,0.68,0.09,0.94,0.05,0.89,0.08,0.86,0.05,0.8,0.08,0.79,0.12
0.69,0.87,0.05,0.91,0.07,0.76,0.15,0.72,0.15,0.72,0.07,0.94,0.05,0.87,0.09,0.86,0.05,0.77,0.09,0.81,0.11
0.69,0.87,0.05,0.91,0.07,0.76,0.15,0.71,0.15,0.71,0.07,0.94,0.04,0.87,0.09,0.87,0.04,0.77,0.09,0.81,0.11
0.69,0.87,0.05,0.91,0.07,0.76,0.15,0.72,0.15,0.71,0.07,0.94,0.05,0.88,0.09,0.86,0.05,0.77,0.09,0.81,0.11
0.69,0.87,0.06,0.9,0.08,0.74,0.16,0.7,0.16,0.68,0.08,0.94,0.04,0.88,0.08,0.87,0.04,0.78,0.08,0.8,0.12
0.69,0.87,0.05,0.91,0.07,0.76,0.15,0.72,0.15,0.71,0.07,0.94,0.05,0.88,0.08,0.86,0.05,0.78,0.08,0.81,0.11
0.69,0.86,0.06,0.9,0.08,0.75,0.16,0.69,0.16,0.69,0.08,0.95,0.04,0.88,0.08,0.88,0.04,0.78,0.08,0.79,0.12
0.69,0.86,0.06,0.9,0.08,0.73,0.17,0.68,0.17,0.68,0.08,0.95,0.04,0.88,0.08,0.88,0.04,0.78,0.08,0.79,0.12
0.69,0.86,0.06,0.9,0.08,0.74,0.17,0.69,0.17,0.68,0.08,0.95,0.04,0.88,0.08,0.88,0.04,0.78,0.08,0.79,0.12
0.69,0.87,0.06,0.92,0.07,0.75,0.16,0.69,0.16,0.73,0.07,0.95,0.04,0.87,0.09,0.89,0.04,0.75,0.09,0.8,0.12
0.69,0.86,0.06,0.9,0.08,0.74,0.17,0.68,0.17,0.68,0.08,0.95,0.04,0.88,0.08,0.89,0.04,0.78,0.08,0.79,0.12
0.69,0.88,0.05,0.93,0.06,0.75,0.16,0.71,0.16,0.76,0.06,0.95,0.04,0.86,0.1,0.88,0.04,0.73,0.1,0.82,0.11
0.69,0.86,0.06,0.91,0.08,0.74,0.17,0.68,0.17,0.7,0.08,0.95,0.03,0.88,0.09,0.89,0.03,0.77,0.09,0.8,0.12
0.69,0.87,0.05,0.93,0.06,0.74,0.17,0.68,0.17,0.76,0.06,0.96,0.03,0.85,0.11,0.9,0.03,0.73,0.11,0.81,0.12
0.69,0.88,0.05,0.93,0.06,0.76,0.15,0.71,0.15,0.77,0.06,0.95,0.04,0.86,0.1,0.88,0.04,0.73,0.1,0.82,0.1
0.69,0.88,0.05,0.93,0.05,0.75,0.15,0.71,0.15,0.77,0.05,0.95,0.04,0.85,0.11,0.88,0.04,0.73,0.11,0.82,0.1
0.69,0.88,0.05,0.93,0.06,0.74,0.16,0.71,0.16,0.74,0.06,0.94,0.04,0.86,0.1,0.88,0.04,0.74,0.1,0.82,0.11
0.69,0.87,0.06,0.91,0.08,0.74,0.16,0.71,0.16,0.68,0.08,0.94,0.04,0.89,0.08,0.87,0.04,0.78,0.08,0.81,0.12
0.69,0.88,0.05,0.94,0.05,0.75,0.16,0.7,0.16,0.78,0.05,0.95,0.03,0.85,0.11,0.89,0.03,0.72,0.11,0.82,0.11
0.7,0.87,0.05,0.91,0.07,0.75,0.16,0.71,0.16,0.7,0.07,0.94,0.04,0.88,0.08,0.87,0.04,0.77,0.08,0.81,0.12
0.69,0.88,0.05,0.94,0.05,0.74,0.16,0.7,0.16,0.78,0.05,0.95,0.03,0.85,0.11,0.9,0.03,0.71,0.11,0.82,0.11
0.69,0.89,0.05,0.96,0.03,0.76,0.15,0.72,0.15,0.85,0.03,0.95,0.04,0.83,0.13,0.89,0.04,0.69,0.13,0.84,0.09
0.7,0.88,0.05,0.95,0.04,0.76,0.15,0.71,0.15,0.81,0.04,0.95,0.04,0.84,0.11,0.89,0.04,0.71,0.11,0.83,0.1
0.69,0.89,0.04,0.95,0.04,0.78,0.14,0.75,0.14,0.82,0.04,0.94,0.04,0.85,0.11,0.86,0.04,0.71,0.11,0.85,0.09
0.69,0.9,0.04,0.95,0.04,0.79,0.13,0.75,0.13,0.81,0.04,0.93,0.05,0.85,0.11,0.86,0.05,0.72,0.11,0.85,0.09
0.69,0.87,0.05,0.93,0.06,0.76,0.15,0.71,0.15,0.75,0.06,0.94,0.04,0.86,0.1,0.88,0.04,0.75,0.1,0.82,0.1
0.69,0.88,0.05,0.92,0.06,0.76,0.15,0.72,0.15,0.74,0.06,0.94,0.04,0.87,0.09,0.87,0.04,0.76,0.09,0.82,0.1
0.69,0.86,0.06,0.9,0.08,0.74,0.17,0.68,0.17,0.68,0.08,0.95,0.04,0.88,0.08,0.88,0.04,0.78,0.08,0.79,0.12
0.69,0.85,0.06,0.88,0.1,0.73,0.17,0.67,0.17,0.64,0.1,0.95,0.04,0.9,0.07,0.88,0.04,0.81,0.07,0.78,0.14
0.69,0.85,0.06,0.89,0.09,0.75,0.16,0.68,0.16,0.65,0.09,0.94,0.04,0.9,0.07,0.87,0.04,0.81,0.07,0.79,0.12
0.69,0.86,0.06,0.9,0.08,0.75,0.16,0.7,0.16,0.68,0.08,0.94,0.04,0.89,0.08,0.87,0.04,0.79,0.08,0.8,0.12
