ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.62,0.88,0.05,0.75,0.2,0.89,0.06,0.87,0.06,0.53,0.2,0.9,0.07,0.66,0.23,0.82,0.07,0.58,0.23,0.81,0.13
0.62,0.86,0.05,0.73,0.21,0.86,0.09,0.82,0.09,0.53,0.21,0.89,0.08,0.67,0.22,0.8,0.08,0.59,0.22,0.77,0.15
0.64,0.96,0.02,0.87,0.09,0.93,0.04,0.91,0.04,0.73,0.09,0.87,0.09,0.75,0.17,0.76,0.09,0.66,0.17,0.89,0.07
0.67,0.97,0.01,0.95,0.04,0.93,0.04,0.93,0.04,0.83,0.04,0.9,0.07,0.78,0.16,0.8,0.07,0.63,0.16,0.94,0.04
0.68,0.94,0.02,1.0,0.0,0.9,0.06,0.87,0.06,0.99,0.0,0.91,0.07,0.82,0.13,0.8,0.07,0.7,0.13,0.94,0.03
0.67,0.9,0.04,0.92,0.06,0.89,0.07,0.84,0.07,0.81,0.06,0.9,0.08,0.87,0.09,0.78,0.08,0.8,0.09,0.88,0.07
0.68,0.89,0.04,0.92,0.07,0.86,0.09,0.81,0.09,0.75,0.07,0.9,0.07,0.9,0.07,0.79,0.07,0.81,0.07,0.86,0.08
0.68,0.9,0.04,0.95,0.04,0.84,0.1,0.79,0.1,0.86,0.04,0.92,0.06,0.84,0.11,0.83,0.06,0.74,0.11,0.87,0.07
0.68,0.9,0.04,0.94,0.04,0.85,0.1,0.79,0.1,0.84,0.04,0.92,0.06,0.85,0.1,0.82,0.06,0.75,0.1,0.86,0.07
0.69,0.89,0.04,0.93,0.06,0.83,0.11,0.78,0.11,0.77,0.06,0.92,0.06,0.88,0.09,0.82,0.06,0.78,0.09,0.85,0.08
0.68,0.91,0.03,0.96,0.03,0.87,0.08,0.82,0.08,0.89,0.03,0.91,0.06,0.84,0.11,0.81,0.06,0.74,0.11,0.89,0.06
0.69,0.9,0.04,0.93,0.06,0.86,0.08,0.83,0.08,0.75,0.06,0.9,0.07,0.9,0.07,0.79,0.07,0.81,0.07,0.88,0.07
0.69,0.89,0.04,0.94,0.05,0.85,0.1,0.79,0.1,0.83,0.05,0.92,0.06,0.86,0.1,0.82,0.06,0.76,0.1,0.86,0.08
0.69,0.9,0.04,0.93,0.06,0.85,0.09,0.8,0.09,0.78,0.06,0.91,0.06,0.88,0.08,0.81,0.06,0.78,0.08,0.86,0.07
0.68,0.9,0.04,0.94,0.05,0.84,0.1,0.8,0.1,0.82,0.05,0.92,0.06,0.86,0.09,0.82,0.06,0.76,0.09,0.87,0.08
0.69,0.9,0.04,0.94,0.05,0.84,0.1,0.79,0.1,0.81,0.05,0.92,0.06,0.87,0.09,0.82,0.06,0.76,0.09,0.86,0.08
0.69,0.92,0.03,0.95,0.04,0.87,0.08,0.84,0.08,0.83,0.04,0.9,0.07,0.87,0.09,0.79,0.07,0.76,0.09,0.9,0.06
0.68,0.92,0.03,0.97,0.02,0.87,0.08,0.83,0.08,0.9,0.02,0.92,0.06,0.84,0.11,0.81,0.06,0.73,0.11,0.9,0.05
0.69,0.92,0.03,0.97,0.02,0.88,0.08,0.83,0.08,0.91,0.02,0.92,0.06,0.84,0.11,0.81,0.06,0.73,0.11,0.9,0.05
0.69,0.91,0.04,0.96,0.03,0.85,0.09,0.8,0.09,0.86,0.03,0.92,0.06,0.85,0.11,0.82,0.06,0.73,0.11,0.88,0.06
0.69,0.92,0.03,0.96,0.03,0.88,0.07,0.85,0.07,0.87,0.03,0.91,0.07,0.87,0.1,0.8,0.07,0.75,0.1,0.91,0.05
0.69,0.91,0.04,0.96,0.03,0.87,0.08,0.83,0.08,0.86,0.03,0.91,0.06,0.86,0.1,0.81,0.06,0.74,0.1,0.9,0.06
0.69,0.93,0.03,0.97,0.02,0.9,0.06,0.87,0.06,0.89,0.02,0.9,0.07,0.87,0.1,0.78,0.07,0.74,0.1,0.92,0.04
0.69,0.92,0.03,0.96,0.03,0.9,0.06,0.87,0.06,0.86,0.03,0.9,0.08,0.87,0.09,0.78,0.08,0.76,0.09,0.92,0.04
0.69,0.92,0.03,0.96,0.03,0.9,0.06,0.87,0.06,0.87,0.03,0.9,0.07,0.87,0.09,0.78,0.07,0.75,0.09,0.92,0.04
0.69,0.91,0.04,0.96,0.03,0.88,0.08,0.82,0.08,0.87,0.03,0.92,0.06,0.86,0.1,0.81,0.06,0.75,0.1,0.89,0.06
0.69,0.92,0.03,0.97,0.03,0.88,0.07,0.84,0.07,0.88,0.03,0.91,0.07,0.86,0.1,0.8,0.07,0.74,0.1,0.91,0.05
0.7,0.92,0.03,0.98,0.02,0.88,0.07,0.84,0.07,0.92,0.02,0.92,0.06,0.85,0.11,0.81,0.06,0.72,0.11,0.91,0.05
0.69,0.91,0.03,0.96,0.03,0.88,0.07,0.84,0.07,0.89,0.03,0.91,0.06,0.85,0.1,0.8,0.06,0.74,0.1,0.9,0.05
0.7,0.92,0.03,0.97,0.03,0.88,0.08,0.83,0.08,0.89,0.03,0.91,0.06,0.86,0.1,0.81,0.06,0.73,0.1,0.9,0.06
0.69,0.92,0.03,0.96,0.03,0.89,0.06,0.86,0.06,0.86,0.03,0.9,0.07,0.87,0.09,0.79,0.07,0.75,0.09,0.91,0.04
0.69,0.91,0.03,0.97,0.02,0.89,0.07,0.83,0.07,0.91,0.02,0.92,0.06,0.85,0.11,0.81,0.06,0.73,0.11,0.9,0.05
0.69,0.92,0.03,0.96,0.03,0.89,0.07,0.85,0.07,0.87,0.03,0.91,0.07,0.87,0.1,0.79,0.07,0.75,0.1,0.91,0.05
0.7,0.92,0.03,0.98,0.02,0.89,0.07,0.85,0.07,0.92,0.02,0.91,0.06,0.85,0.11,0.8,0.06,0.72,0.11,0.92,0.05
0.69,0.93,0.03,0.99,0.01,0.89,0.07,0.86,0.07,0.95,0.01,0.91,0.07,0.85,0.11,0.8,0.07,0.7,0.11,0.93,0.04
0.69,0.94,0.02,1.0,0.0,0.91,0.05,0.89,0.05,1.0,0.0,0.91,0.07,0.84,0.12,0.79,0.07,0.69,0.12,0.95,0.03
0.7,0.94,0.02,1.0,0.0,0.91,0.06,0.88,0.06,1.0,0.0,0.91,0.07,0.84,0.12,0.8,0.07,0.69,0.12,0.94,0.03
0.69,0.94,0.03,0.99,0.01,0.92,0.05,0.88,0.05,0.97,0.01,0.91,0.07,0.84,0.11,0.79,0.07,0.71,0.11,0.94,0.03
0.7,0.92,0.03,0.97,0.02,0.89,0.07,0.86,0.07,0.9,0.02,0.91,0.07,0.86,0.1,0.79,0.07,0.73,0.1,0.92,0.05
0.69,0.94,0.02,1.0,0.0,0.93,0.04,0.91,0.04,1.0,0.0,0.9,0.07,0.84,0.11,0.78,0.07,0.7,0.11,0.96,0.02
0.69,0.94,0.02,1.0,0.0,0.91,0.06,0.88,0.06,1.0,0.0,0.91,0.07,0.83,0.12,0.8,0.07,0.69,0.12,0.94,0.03
0.7,0.93,0.03,0.98,0.02,0.9,0.06,0.87,0.06,0.91,0.02,0.91,0.07,0.86,0.1,0.79,0.07,0.73,0.1,0.93,0.04
0.7,0.93,0.03,0.99,0.01,0.89,0.06,0.86,0.06,0.96,0.01,0.91,0.07,0.85,0.11,0.8,0.07,0.7,0.11,0.93,0.03
0.7,0.94,0.02,0.99,0.01,0.93,0.04,0.91,0.04,0.96,0.01,0.9,0.08,0.86,0.1,0.77,0.08,0.71,0.1,0.95,0.03
0.69,0.95,0.02,0.98,0.02,0.93,0.04,0.89,0.04,0.93,0.02,0.91,0.07,0.81,0.13,0.8,0.07,0.67,0.13,0.94,0.03
0.7,0.93,0.03,0.98,0.02,0.92,0.05,0.89,0.05,0.93,0.02,0.9,0.07,0.86,0.1,0.78,0.07,0.73,0.1,0.94,0.04
0.69,0.94,0.02,0.99,0.01,0.92,0.05,0.87,0.05,0.96,0.01,0.92,0.06,0.82,0.13,0.8,0.06,0.68,0.13,0.93,0.03
0.7,0.95,0.02,0.99,0.01,0.95,0.03,0.92,0.03,0.97,0.01,0.9,0.07,0.84,0.12,0.77,0.07,0.7,0.12,0.96,0.02
0.7,0.94,0.03,0.99,0.01,0.9,0.06,0.86,0.06,0.98,0.01,0.92,0.06,0.82,0.13,0.81,0.06,0.68,0.13,0.93,0.03
0.7,0.95,0.02,0.99,0.0,0.94,0.04,0.92,0.04,0.98,0.0,0.89,0.08,0.86,0.11,0.77,0.08,0.71,0.11,0.96,0.02
