ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.71,0.67,0.41,0.01,0.45,0.01,0.94,0.0,0.65,0.01,0.79,0.35,0.65,0.05,0.94,0.76,0.22,0.84,0.13,0.26,0.22,0.58,0.13
0.8,0.78,0.6,0.44,0.22,0.67,0.28,0.13,0.31,0.4,0.3,0.68,0.31,0.35,0.28,0.94,0.05,0.88,0.1,0.74,0.05,0.63,0.1
0.81,0.81,0.63,0.57,0.18,0.87,0.12,0.24,0.32,0.55,0.22,0.65,0.32,0.49,0.12,0.99,0.0,0.85,0.14,0.98,0.0,0.44,0.14
0.81,0.8,0.62,0.47,0.22,0.72,0.25,0.14,0.35,0.43,0.3,0.62,0.35,0.31,0.25,0.93,0.06,0.9,0.08,0.72,0.06,0.64,0.08
0.8,0.77,0.61,0.58,0.14,0.9,0.07,0.34,0.11,0.62,0.09,0.89,0.11,0.79,0.07,0.96,0.04,0.75,0.21,0.77,0.04,0.42,0.21
0.81,0.78,0.62,0.57,0.15,0.88,0.09,0.3,0.14,0.59,0.12,0.85,0.14,0.75,0.09,0.97,0.02,0.77,0.2,0.86,0.02,0.42,0.2
0.77,0.71,0.56,0.36,0.22,0.52,0.34,0.16,0.14,0.34,0.24,0.86,0.14,0.46,0.34,0.99,0.01,0.83,0.13,0.95,0.01,0.63,0.13
0.81,0.79,0.63,0.67,0.11,0.95,0.04,0.46,0.1,0.7,0.07,0.89,0.1,0.87,0.04,0.93,0.06,0.73,0.25,0.69,0.06,0.3,0.25
0.81,0.78,0.62,0.69,0.1,0.92,0.06,0.52,0.08,0.72,0.07,0.91,0.08,0.8,0.06,0.92,0.07,0.71,0.26,0.64,0.07,0.29,0.26
0.82,0.81,0.64,0.53,0.18,0.83,0.14,0.19,0.26,0.51,0.2,0.72,0.26,0.52,0.14,0.97,0.03,0.83,0.15,0.85,0.03,0.47,0.15
0.81,0.78,0.62,0.54,0.16,0.84,0.12,0.25,0.17,0.54,0.15,0.82,0.17,0.67,0.12,0.99,0.01,0.78,0.19,0.95,0.01,0.45,0.19
0.81,0.77,0.62,0.64,0.12,0.99,0.01,0.41,0.09,0.7,0.05,0.91,0.09,0.97,0.01,0.95,0.04,0.72,0.24,0.73,0.04,0.34,0.24
0.81,0.8,0.62,0.64,0.14,0.95,0.04,0.39,0.19,0.67,0.12,0.78,0.19,0.79,0.04,0.92,0.06,0.79,0.19,0.75,0.06,0.35,0.19
0.81,0.8,0.62,0.65,0.14,0.94,0.05,0.39,0.21,0.67,0.13,0.75,0.21,0.75,0.05,0.91,0.07,0.8,0.18,0.74,0.07,0.35,0.18
0.82,0.81,0.64,0.57,0.17,0.89,0.09,0.22,0.28,0.56,0.18,0.69,0.28,0.61,0.09,0.98,0.02,0.82,0.17,0.91,0.02,0.39,0.17
0.81,0.78,0.63,0.71,0.09,0.9,0.08,0.6,0.05,0.75,0.07,0.94,0.05,0.75,0.08,0.92,0.08,0.7,0.27,0.58,0.08,0.29,0.27
0.82,0.81,0.64,0.55,0.18,0.86,0.12,0.21,0.25,0.54,0.18,0.73,0.25,0.58,0.12,0.97,0.02,0.82,0.16,0.88,0.02,0.43,0.16
0.82,0.81,0.64,0.6,0.16,0.92,0.06,0.29,0.22,0.6,0.14,0.76,0.22,0.73,0.06,0.98,0.01,0.8,0.18,0.93,0.01,0.37,0.18
0.82,0.8,0.63,0.65,0.13,0.99,0.01,0.39,0.15,0.69,0.08,0.83,0.15,0.96,0.01,0.94,0.05,0.76,0.22,0.76,0.05,0.32,0.22
0.82,0.82,0.64,0.52,0.2,0.83,0.16,0.15,0.39,0.49,0.28,0.57,0.39,0.37,0.16,0.92,0.07,0.88,0.11,0.72,0.07,0.5,0.11
0.82,0.79,0.63,0.64,0.13,0.99,0.01,0.35,0.14,0.67,0.08,0.85,0.14,0.98,0.01,0.97,0.03,0.74,0.23,0.83,0.03,0.32,0.23
0.79,0.78,0.57,0.8,0.07,0.93,0.06,0.86,0.04,0.9,0.05,0.95,0.04,0.71,0.06,0.77,0.19,0.74,0.24,0.46,0.19,0.26,0.24
0.82,0.8,0.64,0.6,0.15,0.96,0.03,0.28,0.19,0.62,0.11,0.8,0.19,0.86,0.03,0.99,0.01,0.76,0.21,0.97,0.01,0.34,0.21
0.81,0.78,0.62,0.69,0.1,0.92,0.06,0.53,0.08,0.73,0.07,0.92,0.08,0.8,0.06,0.92,0.07,0.71,0.26,0.63,0.07,0.29,0.26
0.81,0.78,0.63,0.68,0.11,0.93,0.05,0.49,0.08,0.71,0.07,0.91,0.08,0.83,0.05,0.93,0.06,0.71,0.26,0.67,0.06,0.3,0.26
0.81,0.78,0.63,0.61,0.14,0.96,0.03,0.33,0.13,0.65,0.08,0.86,0.13,0.9,0.03,0.97,0.02,0.75,0.22,0.85,0.02,0.36,0.22
0.81,0.79,0.62,0.68,0.11,0.96,0.03,0.5,0.1,0.73,0.07,0.89,0.1,0.88,0.03,0.91,0.08,0.73,0.24,0.65,0.08,0.3,0.24
0.8,0.79,0.6,0.71,0.11,1.0,0.0,0.58,0.12,0.79,0.06,0.85,0.12,0.99,0.0,0.84,0.13,0.77,0.21,0.58,0.13,0.31,0.21
0.81,0.78,0.62,0.68,0.11,0.93,0.05,0.49,0.09,0.71,0.07,0.9,0.09,0.82,0.05,0.92,0.07,0.71,0.25,0.67,0.07,0.29,0.25
0.82,0.81,0.64,0.58,0.17,0.89,0.09,0.24,0.28,0.56,0.18,0.69,0.28,0.59,0.09,0.99,0.01,0.82,0.16,0.98,0.01,0.4,0.16
0.82,0.8,0.64,0.57,0.16,0.89,0.09,0.24,0.21,0.56,0.15,0.77,0.21,0.69,0.09,0.99,0.0,0.79,0.18,0.97,0.0,0.4,0.18
0.82,0.79,0.63,0.64,0.13,0.99,0.01,0.37,0.13,0.68,0.07,0.86,0.13,0.97,0.01,0.96,0.04,0.74,0.23,0.81,0.04,0.32,0.23
0.8,0.78,0.61,0.73,0.09,0.91,0.07,0.68,0.05,0.8,0.06,0.94,0.05,0.75,0.07,0.87,0.11,0.71,0.26,0.53,0.11,0.28,0.26
0.79,0.77,0.58,0.8,0.07,0.87,0.11,0.98,0.0,0.93,0.06,1.0,0.0,0.64,0.11,0.8,0.17,0.7,0.27,0.42,0.17,0.26,0.27
0.81,0.78,0.61,0.73,0.09,0.89,0.08,0.67,0.05,0.78,0.07,0.95,0.05,0.73,0.08,0.89,0.1,0.7,0.27,0.53,0.1,0.28,0.27
0.81,0.78,0.62,0.74,0.08,0.88,0.09,0.77,0.03,0.82,0.06,0.97,0.03,0.71,0.09,0.88,0.11,0.7,0.27,0.48,0.11,0.28,0.27
0.81,0.78,0.63,0.68,0.11,0.93,0.05,0.49,0.08,0.71,0.07,0.91,0.08,0.82,0.05,0.93,0.06,0.71,0.26,0.67,0.06,0.29,0.26
0.82,0.8,0.63,0.64,0.13,0.99,0.0,0.37,0.14,0.68,0.07,0.85,0.14,0.98,0.0,0.95,0.04,0.74,0.23,0.8,0.04,0.32,0.23
0.82,0.79,0.63,0.65,0.12,0.97,0.02,0.39,0.12,0.68,0.07,0.88,0.12,0.93,0.02,0.96,0.04,0.73,0.24,0.78,0.04,0.31,0.24
0.81,0.78,0.63,0.71,0.09,0.89,0.08,0.64,0.04,0.77,0.06,0.95,0.04,0.74,0.08,0.91,0.08,0.7,0.27,0.54,0.08,0.29,0.27
0.81,0.78,0.62,0.72,0.09,0.89,0.09,0.66,0.04,0.78,0.07,0.95,0.04,0.73,0.09,0.9,0.09,0.7,0.27,0.54,0.09,0.28,0.27
0.81,0.78,0.62,0.72,0.09,0.89,0.09,0.67,0.04,0.78,0.07,0.96,0.04,0.73,0.09,0.9,0.09,0.7,0.27,0.53,0.09,0.28,0.27
0.81,0.77,0.62,0.74,0.08,0.86,0.1,0.77,0.02,0.81,0.06,0.97,0.02,0.69,0.1,0.89,0.1,0.69,0.28,0.48,0.1,0.28,0.28
0.8,0.77,0.61,0.77,0.07,0.84,0.12,0.88,0.01,0.86,0.07,0.99,0.01,0.65,0.12,0.87,0.11,0.68,0.29,0.44,0.11,0.27,0.29
0.8,0.76,0.61,0.77,0.07,0.84,0.13,0.9,0.01,0.87,0.07,0.99,0.01,0.65,0.13,0.87,0.12,0.68,0.29,0.43,0.12,0.27,0.29
