ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.77,0.06,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.79,0.29,0.3,0.01,0.08,0.0,1.0,0.02,0.03,0.01,0.52,0.97,0.03,0.0,1.0,0.0,1.0,0.83,0.15,0.0,1.0,0.41,0.15
0.81,0.44,0.37,0.11,0.12,0.16,0.31,0.14,0.06,0.15,0.18,0.94,0.06,0.67,0.31,0.61,0.27,0.86,0.12,0.54,0.27,0.44,0.12
0.78,0.11,0.18,0.25,0.02,0.4,0.04,0.6,0.0,0.5,0.02,1.0,0.0,0.96,0.04,0.57,0.36,0.8,0.18,0.32,0.36,0.36,0.18
0.82,0.54,0.44,0.03,0.19,0.05,0.5,0.03,0.11,0.04,0.3,0.89,0.11,0.49,0.5,0.76,0.16,0.91,0.08,0.68,0.16,0.55,0.08
0.78,0.19,0.2,0.57,0.02,0.45,0.12,0.15,0.04,0.3,0.08,0.96,0.04,0.87,0.12,0.43,0.5,0.79,0.19,0.22,0.5,0.31,0.19
0.81,0.51,0.42,0.19,0.14,0.28,0.34,0.24,0.07,0.26,0.21,0.93,0.07,0.61,0.34,0.59,0.28,0.88,0.11,0.53,0.28,0.47,0.11
0.81,0.54,0.44,0.15,0.17,0.25,0.4,0.16,0.1,0.21,0.25,0.9,0.1,0.54,0.4,0.68,0.21,0.9,0.09,0.63,0.21,0.5,0.09
0.81,0.46,0.39,0.36,0.09,0.5,0.19,0.56,0.03,0.53,0.11,0.97,0.03,0.77,0.19,0.54,0.33,0.86,0.13,0.46,0.33,0.4,0.13
0.81,0.4,0.37,0.29,0.07,0.49,0.15,0.47,0.02,0.48,0.08,0.98,0.02,0.82,0.15,0.64,0.28,0.84,0.15,0.45,0.28,0.39,0.15
0.82,0.53,0.44,0.08,0.17,0.17,0.42,0.07,0.1,0.12,0.26,0.9,0.1,0.54,0.42,0.88,0.08,0.9,0.09,0.8,0.08,0.51,0.09
0.8,0.33,0.34,0.15,0.07,0.32,0.16,0.23,0.02,0.28,0.09,0.98,0.02,0.83,0.16,0.77,0.19,0.83,0.15,0.5,0.19,0.39,0.15
0.82,0.53,0.44,0.19,0.15,0.34,0.33,0.2,0.08,0.27,0.21,0.91,0.08,0.61,0.33,0.73,0.18,0.89,0.1,0.65,0.18,0.46,0.1
0.82,0.48,0.41,0.09,0.14,0.21,0.33,0.08,0.07,0.14,0.2,0.93,0.07,0.64,0.33,0.89,0.08,0.87,0.12,0.79,0.08,0.46,0.12
0.81,0.38,0.37,0.26,0.07,0.55,0.12,0.35,0.02,0.45,0.07,0.98,0.02,0.86,0.12,0.78,0.17,0.83,0.15,0.55,0.17,0.37,0.15
0.82,0.55,0.45,0.17,0.16,0.31,0.36,0.16,0.1,0.23,0.23,0.9,0.1,0.57,0.36,0.77,0.15,0.89,0.1,0.69,0.15,0.48,0.1
0.82,0.49,0.42,0.06,0.14,0.17,0.36,0.03,0.07,0.1,0.21,0.93,0.07,0.62,0.36,0.88,0.1,0.88,0.11,0.67,0.1,0.47,0.11
0.82,0.49,0.42,0.08,0.14,0.18,0.35,0.06,0.07,0.12,0.21,0.93,0.07,0.62,0.35,0.96,0.03,0.88,0.11,0.9,0.03,0.47,0.11
0.82,0.48,0.42,0.05,0.14,0.16,0.35,0.02,0.07,0.09,0.21,0.93,0.07,0.63,0.35,0.82,0.16,0.87,0.11,0.42,0.16,0.46,0.11
