ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.28,0.2,0.0,1.0
0.9,0.94,0.24,0.93,0.03,0.94,0.06,0.74,0.25,0.84,0.15,0.14,0.25,0.07,0.06,0.84,0.15,0.69,0.19,0.33,0.15,0.67,0.19
0.9,0.94,0.21,0.97,0.02,0.97,0.03,0.84,0.16,0.91,0.1,0.08,0.16,0.03,0.03,0.82,0.17,0.81,0.13,0.31,0.17,0.69,0.13
0.89,0.94,0.34,0.88,0.06,0.89,0.11,0.59,0.34,0.74,0.23,0.32,0.34,0.14,0.11,0.88,0.11,0.71,0.18,0.38,0.11,0.69,0.18
0.9,0.95,0.29,0.92,0.04,0.93,0.07,0.66,0.33,0.8,0.2,0.14,0.33,0.08,0.07,0.86,0.13,0.63,0.25,0.36,0.13,0.58,0.25
0.89,0.94,0.33,0.89,0.05,0.89,0.11,0.62,0.33,0.76,0.22,0.31,0.33,0.13,0.11,0.87,0.12,0.72,0.17,0.37,0.12,0.71,0.17
0.9,0.94,0.35,0.88,0.06,0.89,0.11,0.56,0.38,0.73,0.24,0.25,0.38,0.1,0.11,0.89,0.11,0.77,0.14,0.39,0.11,0.74,0.14
0.9,0.95,0.35,0.88,0.06,0.89,0.11,0.57,0.37,0.73,0.24,0.26,0.37,0.1,0.11,0.88,0.11,0.76,0.15,0.39,0.11,0.72,0.15
0.9,0.95,0.35,0.88,0.06,0.89,0.1,0.56,0.38,0.73,0.24,0.25,0.38,0.1,0.1,0.89,0.11,0.77,0.15,0.4,0.11,0.72,0.15
0.9,0.95,0.32,0.9,0.05,0.92,0.08,0.59,0.38,0.76,0.23,0.17,0.38,0.1,0.08,0.88,0.11,0.63,0.24,0.39,0.11,0.58,0.24
0.9,0.95,0.32,0.9,0.05,0.91,0.08,0.57,0.4,0.74,0.24,0.13,0.4,0.08,0.08,0.88,0.11,0.65,0.23,0.4,0.11,0.59,0.23
