ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.76,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.77,0.1,0.16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.17,0.0,1.0,0.4,0.17
0.8,0.38,0.35,0.01,0.11,0.03,0.29,0.02,0.04,0.03,0.16,0.96,0.04,0.71,0.29,0.81,0.14,0.86,0.13,0.65,0.14,0.47,0.13
0.81,0.45,0.39,0.05,0.14,0.06,0.37,0.07,0.07,0.07,0.22,0.93,0.07,0.62,0.37,0.55,0.31,0.88,0.11,0.48,0.31,0.52,0.11
0.81,0.48,0.41,0.09,0.14,0.14,0.37,0.11,0.07,0.12,0.22,0.93,0.07,0.61,0.37,0.68,0.22,0.89,0.1,0.57,0.22,0.52,0.1
0.82,0.51,0.43,0.1,0.15,0.14,0.41,0.12,0.08,0.13,0.24,0.92,0.08,0.56,0.41,0.64,0.25,0.9,0.09,0.54,0.25,0.55,0.09
0.82,0.53,0.44,0.11,0.16,0.16,0.41,0.13,0.08,0.15,0.24,0.92,0.08,0.55,0.41,0.66,0.24,0.9,0.09,0.55,0.24,0.56,0.09
0.82,0.5,0.43,0.11,0.14,0.17,0.38,0.12,0.07,0.15,0.23,0.93,0.07,0.59,0.38,0.7,0.21,0.89,0.1,0.58,0.21,0.53,0.1
0.82,0.53,0.45,0.1,0.16,0.16,0.41,0.11,0.08,0.14,0.24,0.92,0.08,0.55,0.41,0.73,0.19,0.91,0.08,0.61,0.19,0.56,0.08
0.82,0.51,0.44,0.08,0.15,0.14,0.4,0.08,0.07,0.11,0.24,0.93,0.07,0.57,0.4,0.78,0.16,0.9,0.09,0.65,0.16,0.54,0.09
0.82,0.55,0.47,0.07,0.17,0.12,0.47,0.07,0.09,0.1,0.28,0.91,0.09,0.5,0.47,0.79,0.15,0.92,0.07,0.67,0.15,0.6,0.07
0.82,0.55,0.47,0.05,0.17,0.09,0.48,0.04,0.09,0.07,0.28,0.91,0.09,0.5,0.48,0.85,0.11,0.92,0.07,0.73,0.11,0.6,0.07
0.82,0.54,0.46,0.05,0.16,0.1,0.45,0.05,0.08,0.08,0.27,0.92,0.08,0.52,0.45,0.85,0.11,0.91,0.08,0.72,0.11,0.58,0.08
0.82,0.55,0.47,0.05,0.17,0.1,0.47,0.03,0.09,0.07,0.28,0.91,0.09,0.5,0.47,0.95,0.03,0.92,0.07,0.9,0.03,0.59,0.07
0.83,0.54,0.47,0.04,0.17,0.09,0.47,0.03,0.08,0.06,0.27,0.92,0.08,0.51,0.47,0.99,0.01,0.91,0.08,0.97,0.01,0.59,0.08
0.83,0.55,0.47,0.04,0.17,0.09,0.47,0.02,0.09,0.06,0.28,0.91,0.09,0.5,0.47,0.95,0.04,0.92,0.07,0.88,0.04,0.6,0.07
