ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.77,0.1,0.17,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.36,0.18
0.8,0.38,0.34,0.01,0.11,0.02,0.3,0.01,0.05,0.01,0.17,0.95,0.05,0.7,0.3,0.71,0.21,0.85,0.14,0.59,0.21,0.44,0.14
0.8,0.41,0.36,0.07,0.12,0.05,0.32,0.13,0.05,0.09,0.18,0.95,0.05,0.67,0.32,0.29,0.51,0.86,0.13,0.36,0.51,0.45,0.13
0.81,0.45,0.39,0.1,0.13,0.11,0.34,0.17,0.05,0.14,0.2,0.95,0.05,0.64,0.34,0.41,0.42,0.87,0.12,0.4,0.42,0.46,0.12
0.81,0.51,0.43,0.1,0.16,0.12,0.42,0.14,0.08,0.13,0.25,0.92,0.08,0.55,0.42,0.48,0.36,0.89,0.1,0.46,0.36,0.51,0.1
0.81,0.48,0.41,0.12,0.13,0.15,0.36,0.18,0.06,0.16,0.21,0.94,0.06,0.62,0.36,0.51,0.35,0.88,0.11,0.45,0.35,0.48,0.11
0.81,0.52,0.43,0.12,0.16,0.16,0.41,0.15,0.08,0.15,0.24,0.92,0.08,0.56,0.41,0.56,0.3,0.89,0.1,0.51,0.3,0.51,0.1
0.81,0.52,0.43,0.12,0.16,0.16,0.42,0.14,0.09,0.15,0.26,0.91,0.09,0.55,0.42,0.57,0.29,0.89,0.1,0.53,0.29,0.51,0.1
0.81,0.53,0.44,0.1,0.17,0.15,0.44,0.11,0.1,0.13,0.27,0.9,0.1,0.53,0.44,0.63,0.24,0.9,0.09,0.58,0.24,0.52,0.09
0.82,0.53,0.43,0.09,0.16,0.14,0.43,0.11,0.09,0.12,0.26,0.91,0.09,0.54,0.43,0.63,0.25,0.89,0.09,0.56,0.25,0.51,0.09
0.81,0.54,0.44,0.1,0.18,0.15,0.45,0.1,0.11,0.12,0.28,0.89,0.11,0.51,0.45,0.68,0.21,0.9,0.09,0.62,0.21,0.53,0.09
0.82,0.53,0.44,0.1,0.16,0.15,0.42,0.11,0.09,0.13,0.26,0.91,0.09,0.54,0.42,0.67,0.23,0.89,0.09,0.58,0.23,0.51,0.09
