ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.78,0.16,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.37,0.18
0.79,0.31,0.3,0.03,0.08,0.04,0.22,0.06,0.03,0.05,0.12,0.97,0.03,0.78,0.22,0.46,0.39,0.83,0.15,0.42,0.39,0.4,0.15
0.8,0.41,0.35,0.12,0.11,0.17,0.27,0.19,0.05,0.18,0.16,0.95,0.05,0.71,0.27,0.51,0.35,0.85,0.13,0.46,0.35,0.42,0.13
0.81,0.44,0.38,0.14,0.12,0.2,0.29,0.19,0.05,0.2,0.17,0.95,0.05,0.68,0.29,0.58,0.3,0.86,0.13,0.5,0.3,0.43,0.13
0.81,0.47,0.4,0.15,0.13,0.21,0.32,0.22,0.06,0.21,0.19,0.94,0.06,0.65,0.32,0.53,0.33,0.87,0.12,0.47,0.33,0.45,0.12
0.81,0.48,0.41,0.15,0.13,0.24,0.31,0.2,0.06,0.22,0.18,0.94,0.06,0.65,0.31,0.62,0.27,0.87,0.12,0.52,0.27,0.44,0.12
0.82,0.5,0.42,0.14,0.14,0.23,0.34,0.16,0.07,0.2,0.21,0.93,0.07,0.62,0.34,0.66,0.24,0.88,0.11,0.56,0.24,0.46,0.11
0.82,0.5,0.43,0.13,0.14,0.21,0.36,0.15,0.07,0.18,0.21,0.93,0.07,0.61,0.36,0.66,0.24,0.88,0.11,0.56,0.24,0.47,0.11
0.82,0.53,0.43,0.13,0.15,0.23,0.38,0.15,0.08,0.19,0.23,0.92,0.08,0.58,0.38,0.7,0.21,0.89,0.1,0.61,0.21,0.48,0.1
0.82,0.51,0.43,0.13,0.14,0.22,0.35,0.15,0.07,0.18,0.21,0.93,0.07,0.61,0.35,0.68,0.23,0.88,0.11,0.56,0.23,0.46,0.11
0.82,0.51,0.43,0.1,0.14,0.18,0.37,0.12,0.07,0.15,0.22,0.93,0.07,0.6,0.37,0.71,0.21,0.88,0.11,0.58,0.21,0.47,0.11
0.82,0.51,0.43,0.09,0.15,0.16,0.39,0.11,0.08,0.14,0.24,0.92,0.08,0.58,0.39,0.68,0.22,0.89,0.1,0.57,0.22,0.48,0.1
0.82,0.51,0.43,0.08,0.15,0.14,0.39,0.09,0.07,0.12,0.23,0.93,0.07,0.58,0.39,0.73,0.19,0.89,0.1,0.6,0.19,0.48,0.1
0.82,0.52,0.44,0.06,0.16,0.13,0.41,0.05,0.08,0.09,0.24,0.92,0.08,0.57,0.41,0.91,0.06,0.89,0.1,0.82,0.06,0.49,0.1
0.82,0.53,0.45,0.07,0.16,0.16,0.41,0.05,0.09,0.11,0.25,0.91,0.09,0.55,0.41,0.94,0.04,0.89,0.1,0.88,0.04,0.49,0.1
0.82,0.53,0.45,0.07,0.16,0.17,0.4,0.06,0.08,0.12,0.24,0.92,0.08,0.56,0.4,0.92,0.06,0.89,0.1,0.84,0.06,0.49,0.1
0.82,0.54,0.45,0.08,0.16,0.18,0.41,0.06,0.09,0.12,0.25,0.91,0.09,0.55,0.41,0.95,0.03,0.89,0.1,0.9,0.03,0.5,0.1
