ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.67,0.87,0.05,0.9,0.08,0.77,0.15,0.71,0.15,0.74,0.08,0.94,0.05,0.85,0.1,0.85,0.05,0.78,0.1,0.8,0.11
0.67,0.88,0.05,0.9,0.08,0.78,0.13,0.75,0.13,0.73,0.08,0.92,0.06,0.86,0.09,0.83,0.06,0.79,0.09,0.82,0.11
0.67,0.88,0.05,0.91,0.07,0.78,0.13,0.75,0.13,0.74,0.07,0.92,0.06,0.85,0.1,0.83,0.06,0.78,0.1,0.83,0.1
0.68,0.85,0.06,0.86,0.11,0.75,0.15,0.71,0.15,0.61,0.11,0.92,0.06,0.91,0.06,0.83,0.06,0.85,0.06,0.78,0.13
0.68,0.86,0.06,0.86,0.12,0.76,0.14,0.73,0.14,0.56,0.12,0.92,0.06,0.95,0.04,0.81,0.06,0.9,0.04,0.79,0.13
0.67,0.86,0.06,0.87,0.1,0.77,0.14,0.73,0.14,0.64,0.1,0.92,0.06,0.9,0.07,0.82,0.06,0.84,0.07,0.8,0.12
0.67,0.83,0.07,0.84,0.13,0.75,0.16,0.68,0.16,0.59,0.13,0.93,0.05,0.92,0.05,0.83,0.05,0.87,0.05,0.76,0.15
0.67,0.82,0.08,0.81,0.16,0.74,0.17,0.68,0.17,0.51,0.16,0.92,0.06,0.96,0.02,0.82,0.06,0.94,0.02,0.75,0.17
0.68,0.84,0.07,0.83,0.15,0.72,0.17,0.69,0.17,0.48,0.15,0.92,0.06,0.98,0.01,0.82,0.06,0.97,0.01,0.76,0.16
0.68,0.86,0.06,0.85,0.13,0.76,0.14,0.74,0.14,0.51,0.13,0.91,0.07,0.98,0.01,0.8,0.07,0.96,0.01,0.79,0.14
0.69,0.83,0.07,0.81,0.17,0.73,0.17,0.7,0.17,0.42,0.17,0.91,0.06,0.97,0.02,0.8,0.06,0.94,0.02,0.76,0.17
0.68,0.82,0.07,0.8,0.17,0.75,0.16,0.7,0.16,0.45,0.17,0.91,0.07,0.99,0.01,0.8,0.07,0.97,0.01,0.75,0.17
0.68,0.83,0.07,0.83,0.14,0.77,0.15,0.7,0.15,0.56,0.14,0.92,0.06,0.95,0.03,0.81,0.06,0.92,0.03,0.76,0.15
0.67,0.85,0.06,0.86,0.11,0.79,0.14,0.72,0.14,0.65,0.11,0.92,0.06,0.9,0.06,0.82,0.06,0.85,0.06,0.79,0.12
0.67,0.86,0.05,0.89,0.08,0.8,0.13,0.73,0.13,0.74,0.08,0.93,0.05,0.86,0.09,0.83,0.05,0.8,0.09,0.81,0.11
0.67,0.89,0.05,0.91,0.07,0.83,0.1,0.78,0.1,0.76,0.07,0.91,0.06,0.86,0.09,0.8,0.06,0.8,0.09,0.84,0.09
0.68,0.89,0.05,0.91,0.07,0.81,0.11,0.78,0.11,0.73,0.07,0.91,0.06,0.88,0.08,0.81,0.06,0.81,0.08,0.84,0.09
0.68,0.88,0.05,0.89,0.09,0.8,0.12,0.76,0.12,0.69,0.09,0.92,0.06,0.89,0.07,0.81,0.06,0.82,0.07,0.82,0.1
0.68,0.88,0.05,0.9,0.08,0.8,0.12,0.76,0.12,0.7,0.08,0.92,0.06,0.89,0.07,0.81,0.06,0.82,0.07,0.83,0.1
0.68,0.88,0.05,0.89,0.09,0.82,0.11,0.79,0.11,0.65,0.09,0.91,0.07,0.92,0.05,0.79,0.07,0.86,0.05,0.84,0.1
0.68,0.87,0.05,0.87,0.11,0.82,0.11,0.79,0.11,0.61,0.11,0.9,0.07,0.95,0.04,0.78,0.07,0.9,0.04,0.83,0.11
0.67,0.87,0.05,0.89,0.09,0.8,0.13,0.75,0.13,0.69,0.09,0.92,0.06,0.89,0.07,0.81,0.06,0.83,0.07,0.82,0.11
0.67,0.87,0.06,0.87,0.1,0.8,0.13,0.75,0.13,0.65,0.1,0.91,0.06,0.91,0.06,0.8,0.06,0.85,0.06,0.81,0.12
0.68,0.85,0.06,0.84,0.14,0.78,0.14,0.74,0.14,0.53,0.14,0.91,0.07,0.97,0.02,0.79,0.07,0.95,0.02,0.79,0.14
0.68,0.85,0.07,0.84,0.13,0.75,0.15,0.71,0.15,0.53,0.13,0.92,0.06,0.96,0.03,0.81,0.06,0.92,0.03,0.77,0.14
0.68,0.83,0.07,0.82,0.15,0.73,0.16,0.7,0.16,0.48,0.15,0.92,0.06,0.99,0.01,0.81,0.06,0.98,0.01,0.76,0.15
