ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.67,0.9,0.04,0.89,0.09,0.86,0.08,0.84,0.08,0.67,0.09,0.92,0.05,0.98,0.02,0.84,0.05,0.96,0.02
0.66,0.87,0.05,0.84,0.13,0.81,0.11,0.78,0.11,0.58,0.13,0.93,0.05,0.99,0.0,0.85,0.05,0.99,0.0
0.66,0.85,0.06,0.82,0.15,0.79,0.13,0.75,0.13,0.54,0.15,0.93,0.05,0.98,0.02,0.86,0.05,0.96,0.02
0.66,0.88,0.05,0.88,0.1,0.82,0.11,0.77,0.11,0.68,0.1,0.94,0.04,0.95,0.03,0.88,0.04,0.92,0.03
0.67,0.88,0.05,0.86,0.11,0.82,0.1,0.8,0.1,0.61,0.11,0.93,0.05,0.99,0.0,0.85,0.05,0.99,0.0
0.67,0.88,0.05,0.86,0.12,0.83,0.1,0.8,0.1,0.59,0.12,0.93,0.05,0.99,0.01,0.84,0.05,0.99,0.01
0.67,0.92,0.03,0.92,0.06,0.88,0.07,0.86,0.07,0.78,0.06,0.93,0.05,0.93,0.04,0.85,0.05,0.88,0.04
0.66,0.9,0.04,0.9,0.08,0.86,0.09,0.82,0.09,0.74,0.08,0.93,0.05,0.94,0.04,0.86,0.05,0.9,0.04
0.66,0.87,0.05,0.85,0.12,0.81,0.11,0.78,0.11,0.61,0.12,0.93,0.05,0.99,0.01,0.86,0.05,0.98,0.01
0.67,0.85,0.06,0.84,0.13,0.78,0.14,0.73,0.14,0.58,0.13,0.95,0.04,0.99,0.01,0.88,0.04,0.98,0.01
0.67,0.86,0.06,0.83,0.14,0.8,0.12,0.77,0.12,0.53,0.14,0.93,0.05,0.97,0.02,0.85,0.05,0.94,0.02
0.66,0.9,0.04,0.91,0.07,0.86,0.09,0.82,0.09,0.76,0.07,0.94,0.05,0.93,0.05,0.86,0.05,0.88,0.05
0.67,0.88,0.05,0.86,0.11,0.82,0.1,0.8,0.1,0.6,0.11,0.93,0.05,1.0,0.0,0.85,0.05,1.0,0.0
