ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.77,0.1,0.17,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.36,0.18
0.8,0.38,0.34,0.01,0.12,0.02,0.3,0.02,0.05,0.02,0.17,0.95,0.05,0.7,0.3,0.57,0.31,0.85,0.14,0.49,0.31,0.44,0.14
0.8,0.42,0.36,0.07,0.12,0.05,0.33,0.13,0.05,0.09,0.19,0.95,0.05,0.67,0.33,0.29,0.51,0.86,0.13,0.36,0.51,0.45,0.13
0.81,0.45,0.39,0.1,0.13,0.11,0.34,0.17,0.05,0.14,0.2,0.94,0.05,0.64,0.34,0.42,0.42,0.87,0.12,0.4,0.42,0.46,0.12
0.81,0.52,0.43,0.1,0.16,0.13,0.42,0.14,0.08,0.14,0.25,0.92,0.08,0.55,0.42,0.51,0.34,0.89,0.1,0.48,0.34,0.51,0.1
0.81,0.48,0.41,0.12,0.13,0.15,0.36,0.17,0.06,0.16,0.21,0.94,0.06,0.62,0.36,0.52,0.34,0.88,0.11,0.45,0.34,0.47,0.11
0.82,0.52,0.43,0.12,0.16,0.17,0.41,0.15,0.08,0.16,0.24,0.92,0.08,0.56,0.41,0.59,0.28,0.89,0.1,0.52,0.28,0.5,0.1
0.81,0.52,0.43,0.12,0.16,0.16,0.42,0.14,0.09,0.15,0.26,0.91,0.09,0.55,0.42,0.57,0.29,0.89,0.1,0.53,0.29,0.51,0.1
0.81,0.53,0.43,0.1,0.17,0.15,0.44,0.11,0.1,0.13,0.27,0.9,0.1,0.52,0.44,0.63,0.25,0.9,0.09,0.58,0.25,0.52,0.09
0.82,0.53,0.43,0.09,0.16,0.14,0.43,0.11,0.09,0.12,0.26,0.91,0.09,0.54,0.43,0.63,0.25,0.89,0.1,0.56,0.25,0.51,0.1
0.81,0.54,0.44,0.1,0.18,0.15,0.45,0.1,0.11,0.12,0.28,0.89,0.11,0.51,0.45,0.69,0.21,0.9,0.09,0.62,0.21,0.53,0.09
0.82,0.53,0.44,0.09,0.16,0.15,0.42,0.1,0.09,0.12,0.26,0.91,0.09,0.54,0.42,0.68,0.22,0.89,0.09,0.59,0.22,0.51,0.09
