ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.52,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.56,0.3,0.0,1.0,0.53,0.3
0.81,0.78,0.62,0.58,0.15,0.85,0.11,0.34,0.12,0.59,0.11,0.87,0.12,0.69,0.11,0.96,0.04,0.79,0.18,0.77,0.04,0.47,0.18
0.79,0.81,0.6,0.53,0.22,0.81,0.19,0.15,0.61,0.48,0.4,0.32,0.61,0.12,0.19,0.88,0.09,0.97,0.03,0.7,0.09,0.81,0.03
0.74,0.74,0.48,0.27,0.34,0.37,0.61,0.05,0.69,0.21,0.65,0.29,0.69,0.04,0.61,0.83,0.14,0.86,0.12,0.53,0.14,0.5,0.12
0.82,0.8,0.64,0.61,0.14,0.91,0.07,0.34,0.13,0.62,0.1,0.86,0.13,0.77,0.07,0.97,0.03,0.78,0.19,0.82,0.03,0.42,0.19
0.77,0.79,0.57,0.68,0.15,0.91,0.09,0.38,0.39,0.65,0.24,0.49,0.39,0.36,0.09,0.9,0.08,0.89,0.1,0.79,0.08,0.45,0.1
0.81,0.81,0.62,0.62,0.16,0.89,0.1,0.3,0.33,0.59,0.22,0.62,0.33,0.47,0.1,0.97,0.03,0.86,0.12,0.9,0.03,0.45,0.12
0.79,0.8,0.6,0.64,0.16,0.89,0.1,0.32,0.36,0.6,0.23,0.56,0.36,0.41,0.1,0.94,0.04,0.88,0.11,0.86,0.04,0.46,0.11
0.82,0.82,0.65,0.56,0.18,0.85,0.13,0.21,0.28,0.53,0.21,0.7,0.28,0.52,0.13,0.97,0.03,0.84,0.14,0.87,0.03,0.47,0.14
0.81,0.78,0.63,0.76,0.08,0.87,0.1,0.76,0.03,0.81,0.07,0.97,0.03,0.69,0.1,0.89,0.1,0.7,0.27,0.5,0.1,0.28,0.27
0.82,0.79,0.63,0.66,0.12,1.0,0.0,0.43,0.1,0.71,0.05,0.89,0.1,0.99,0.0,0.95,0.05,0.74,0.23,0.72,0.05,0.36,0.23
0.81,0.79,0.61,0.75,0.09,0.93,0.06,0.69,0.06,0.81,0.06,0.93,0.06,0.77,0.06,0.86,0.12,0.73,0.24,0.53,0.12,0.29,0.24
0.78,0.8,0.59,0.61,0.18,0.87,0.13,0.26,0.47,0.56,0.3,0.43,0.47,0.26,0.13,0.99,0.01,0.91,0.08,0.98,0.01,0.54,0.08
0.82,0.81,0.63,0.53,0.2,0.8,0.19,0.16,0.39,0.48,0.29,0.58,0.39,0.33,0.19,0.93,0.06,0.9,0.09,0.74,0.06,0.58,0.09
0.82,0.82,0.65,0.57,0.17,0.86,0.12,0.21,0.28,0.54,0.2,0.7,0.28,0.52,0.12,0.97,0.03,0.84,0.14,0.87,0.03,0.47,0.14
0.77,0.77,0.54,0.37,0.29,0.55,0.44,0.07,0.64,0.31,0.54,0.33,0.64,0.07,0.44,0.83,0.14,0.94,0.05,0.52,0.14,0.74,0.05
