ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.73,0.73,0.46,0.24,0.36,0.33,0.65,0.04,0.73,0.18,0.69,0.25,0.73,0.03,0.65,0.83,0.14,0.84,0.14,0.55,0.14,0.47,0.14
0.78,0.78,0.56,0.43,0.27,0.65,0.34,0.09,0.64,0.37,0.49,0.32,0.64,0.08,0.34,0.84,0.13,0.97,0.02,0.57,0.13,0.85,0.02
0.81,0.81,0.62,0.52,0.21,0.8,0.19,0.15,0.46,0.48,0.33,0.5,0.46,0.27,0.19,0.9,0.08,0.91,0.08,0.69,0.08,0.59,0.08
0.82,0.82,0.64,0.57,0.18,0.86,0.13,0.21,0.31,0.54,0.22,0.66,0.31,0.48,0.13,0.97,0.03,0.85,0.13,0.87,0.03,0.47,0.13
0.83,0.82,0.65,0.61,0.15,0.91,0.08,0.29,0.21,0.6,0.14,0.77,0.21,0.68,0.08,0.99,0.01,0.81,0.17,0.95,0.01,0.41,0.17
0.82,0.81,0.65,0.63,0.14,0.94,0.05,0.33,0.18,0.64,0.11,0.81,0.18,0.79,0.05,0.97,0.03,0.79,0.18,0.86,0.03,0.38,0.18
0.82,0.81,0.65,0.63,0.14,0.95,0.04,0.34,0.17,0.65,0.11,0.81,0.17,0.81,0.04,0.97,0.03,0.79,0.19,0.85,0.03,0.37,0.19
0.82,0.81,0.65,0.64,0.13,0.96,0.03,0.36,0.16,0.66,0.1,0.83,0.16,0.86,0.03,0.96,0.03,0.78,0.2,0.82,0.03,0.36,0.2
0.82,0.81,0.65,0.64,0.13,0.96,0.03,0.36,0.16,0.66,0.1,0.83,0.16,0.86,0.03,0.96,0.03,0.78,0.2,0.82,0.03,0.36,0.2
0.82,0.81,0.65,0.64,0.13,0.96,0.03,0.36,0.15,0.66,0.09,0.83,0.15,0.88,0.03,0.96,0.03,0.78,0.2,0.82,0.03,0.36,0.2
0.82,0.81,0.65,0.64,0.13,0.97,0.03,0.36,0.16,0.67,0.1,0.83,0.16,0.88,0.03,0.96,0.03,0.78,0.2,0.83,0.03,0.36,0.2
