ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.6,0.5,0.32,0.04,0.44,0.05,0.94,0.02,0.76,0.04,0.85,0.23,0.76,0.01,0.94,0.85,0.05,0.91,0.08,0.92,0.05,0.15,0.08
0.77,0.0,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.02,0.08,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.81,0.52,0.43,0.1,0.16,0.11,0.45,0.14,0.09,0.12,0.27,0.91,0.09,0.53,0.45,0.43,0.38,0.89,0.09,0.46,0.38,0.51,0.09
0.78,0.1,0.19,0.05,0.02,0.1,0.06,0.13,0.0,0.12,0.03,1.0,0.0,0.94,0.06,0.73,0.24,0.79,0.19,0.27,0.24,0.35,0.19
0.77,0.02,0.08,0.59,0.0,0.73,0.0,0.0,1.0,0.36,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.03,0.1,0.96,0.0,0.43,0.02,0.0,1.0,0.21,0.51,0.0,1.0,0.98,0.02,0.0,1.0,0.78,0.2,0.0,1.0,0.33,0.2
0.77,0.03,0.11,0.4,0.0,0.98,0.0,0.0,1.0,0.49,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.78,0.18,0.2,0.67,0.01,0.63,0.05,0.09,0.03,0.36,0.04,0.97,0.03,0.94,0.05,0.36,0.6,0.79,0.19,0.1,0.6,0.33,0.19
0.77,0.03,0.1,0.41,0.0,0.99,0.0,0.0,1.0,0.49,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.82,0.54,0.45,0.12,0.15,0.19,0.4,0.14,0.08,0.17,0.24,0.92,0.08,0.56,0.4,0.67,0.23,0.89,0.1,0.56,0.23,0.49,0.1
0.82,0.48,0.43,0.09,0.13,0.18,0.33,0.1,0.05,0.14,0.19,0.95,0.05,0.64,0.33,0.79,0.16,0.87,0.12,0.61,0.16,0.45,0.12
0.82,0.59,0.48,0.03,0.22,0.08,0.58,0.02,0.15,0.05,0.36,0.85,0.15,0.39,0.58,0.93,0.05,0.93,0.06,0.86,0.05,0.62,0.06
0.77,0.05,0.15,0.25,0.01,0.72,0.01,0.0,1.0,0.36,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.19,0.0,1.0,0.34,0.19
0.78,0.1,0.19,0.23,0.01,0.66,0.02,0.26,0.0,0.46,0.01,1.0,0.0,0.98,0.02,0.97,0.02,0.79,0.19,0.69,0.02,0.34,0.19
0.8,0.32,0.35,0.19,0.06,0.42,0.13,0.28,0.01,0.35,0.07,0.99,0.01,0.86,0.13,0.82,0.15,0.82,0.16,0.49,0.15,0.37,0.16
0.77,0.05,0.14,0.45,0.0,0.76,0.01,0.0,1.0,0.38,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.83,0.58,0.48,0.11,0.18,0.25,0.42,0.08,0.11,0.17,0.27,0.89,0.11,0.5,0.42,0.93,0.05,0.91,0.08,0.87,0.05,0.52,0.08
0.83,0.57,0.48,0.02,0.2,0.06,0.53,0.0,0.11,0.03,0.32,0.89,0.11,0.45,0.53,0.74,0.24,0.92,0.07,0.24,0.24,0.57,0.07
0.78,0.12,0.22,0.16,0.02,0.47,0.04,0.0,1.0,0.23,0.52,0.0,1.0,0.96,0.04,0.0,1.0,0.79,0.19,0.0,1.0,0.35,0.19
0.79,0.19,0.26,0.75,0.01,0.55,0.08,0.39,0.0,0.47,0.04,1.0,0.0,0.92,0.08,0.83,0.16,0.79,0.19,0.23,0.16,0.31,0.19
0.79,0.19,0.28,0.17,0.03,0.46,0.06,0.22,0.0,0.34,0.03,1.0,0.0,0.93,0.06,0.95,0.04,0.8,0.18,0.57,0.04,0.35,0.18
0.79,0.19,0.27,0.89,0.0,0.51,0.09,0.21,0.01,0.36,0.05,0.99,0.01,0.9,0.09,0.76,0.23,0.79,0.2,0.15,0.23,0.3,0.2
0.78,0.14,0.19,0.32,0.03,0.16,0.22,0.01,0.02,0.09,0.12,0.98,0.02,0.77,0.22,0.65,0.35,0.77,0.21,0.03,0.35,0.27,0.21
0.83,0.59,0.48,0.48,0.09,0.89,0.06,0.59,0.04,0.74,0.05,0.96,0.04,0.89,0.06,0.7,0.22,0.87,0.12,0.58,0.22,0.33,0.12
0.78,0.14,0.22,0.62,0.01,0.28,0.14,0.06,0.01,0.17,0.08,0.99,0.01,0.85,0.14,0.76,0.24,0.78,0.2,0.07,0.24,0.29,0.2
0.78,0.15,0.24,0.97,0.0,0.4,0.1,0.14,0.0,0.27,0.05,1.0,0.0,0.89,0.1,0.82,0.18,0.78,0.2,0.11,0.18,0.3,0.2
0.78,0.15,0.19,0.2,0.05,0.11,0.32,0.01,0.03,0.06,0.17,0.97,0.03,0.67,0.32,0.6,0.39,0.76,0.22,0.03,0.39,0.24,0.22
0.78,0.15,0.25,0.31,0.02,0.88,0.01,0.52,0.0,0.7,0.01,1.0,0.0,0.99,0.01,0.98,0.02,0.79,0.19,0.46,0.02,0.34,0.19
0.81,0.38,0.39,0.69,0.02,0.73,0.09,0.5,0.01,0.61,0.05,0.99,0.01,0.89,0.09,0.7,0.27,0.81,0.18,0.26,0.27,0.29,0.18
0.78,0.14,0.24,0.4,0.01,0.92,0.01,0.97,0.0,0.95,0.01,1.0,0.0,0.99,0.01,0.95,0.05,0.79,0.19,0.29,0.05,0.33,0.19
0.8,0.3,0.33,0.93,0.0,0.47,0.17,0.19,0.02,0.33,0.1,0.98,0.02,0.79,0.17,0.66,0.32,0.79,0.19,0.16,0.32,0.27,0.19
0.79,0.2,0.26,0.57,0.02,0.27,0.22,0.04,0.01,0.15,0.12,0.99,0.01,0.77,0.22,0.7,0.29,0.77,0.21,0.06,0.29,0.27,0.21
0.8,0.34,0.32,0.54,0.04,0.32,0.36,0.08,0.05,0.2,0.2,0.95,0.05,0.57,0.36,0.55,0.42,0.78,0.21,0.13,0.42,0.2,0.21
0.79,0.22,0.29,0.82,0.01,0.51,0.1,0.14,0.01,0.33,0.06,0.99,0.01,0.89,0.1,0.81,0.19,0.79,0.19,0.09,0.19,0.3,0.19
0.78,0.1,0.19,0.45,0.01,0.18,0.15,0.05,0.0,0.11,0.07,1.0,0.0,0.84,0.15,0.85,0.15,0.77,0.21,0.09,0.15,0.29,0.21
0.8,0.32,0.31,0.52,0.04,0.3,0.35,0.07,0.05,0.18,0.2,0.95,0.05,0.59,0.35,0.57,0.41,0.78,0.21,0.11,0.41,0.21,0.21
0.8,0.25,0.32,0.65,0.01,0.62,0.08,0.34,0.0,0.48,0.04,1.0,0.0,0.91,0.08,0.85,0.15,0.79,0.19,0.17,0.15,0.3,0.19
0.84,0.64,0.54,0.34,0.14,0.72,0.17,0.31,0.08,0.52,0.12,0.91,0.08,0.68,0.17,0.85,0.11,0.9,0.09,0.74,0.11,0.4,0.09
0.8,0.66,0.55,0.26,0.24,0.57,0.37,0.15,0.25,0.36,0.31,0.74,0.25,0.26,0.37,1.0,0.0,0.98,0.02,1.0,0.0,0.76,0.02
0.8,0.26,0.33,0.5,0.02,0.8,0.04,0.59,0.0,0.7,0.02,1.0,0.0,0.96,0.04,0.87,0.13,0.8,0.18,0.23,0.13,0.32,0.18
0.82,0.38,0.41,0.08,0.08,0.23,0.21,0.02,0.01,0.12,0.11,0.99,0.01,0.77,0.21,0.93,0.06,0.84,0.14,0.42,0.06,0.4,0.14
0.83,0.66,0.56,0.26,0.2,0.59,0.31,0.17,0.16,0.38,0.23,0.83,0.16,0.44,0.31,0.97,0.02,0.94,0.05,0.95,0.02,0.53,0.05
0.83,0.56,0.47,0.75,0.04,0.77,0.13,0.74,0.02,0.76,0.07,0.98,0.02,0.76,0.13,0.61,0.3,0.84,0.15,0.42,0.3,0.25,0.15
0.78,0.14,0.24,0.56,0.01,0.64,0.04,0.32,0.0,0.48,0.02,1.0,0.0,0.96,0.04,0.95,0.05,0.79,0.19,0.14,0.05,0.32,0.19
0.83,0.49,0.46,0.43,0.06,0.96,0.01,0.64,0.01,0.8,0.01,0.99,0.01,0.98,0.01,0.81,0.16,0.84,0.15,0.49,0.16,0.32,0.15
0.79,0.22,0.25,0.29,0.05,0.15,0.39,0.01,0.03,0.08,0.21,0.97,0.03,0.58,0.39,0.61,0.38,0.76,0.23,0.02,0.38,0.21,0.23
