ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.52,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.57,0.29,0.0,1.0,0.54,0.29
0.55,0.14,0.19,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.61,0.26,0.0,1.0,0.56,0.26
0.73,0.67,0.48,0.05,0.37,0.07,0.79,0.01,0.33,0.04,0.56,0.67,0.33,0.16,0.79,0.86,0.13,0.94,0.04,0.29,0.13,0.86,0.04
0.73,0.71,0.46,0.16,0.38,0.21,0.74,0.03,0.59,0.12,0.67,0.4,0.59,0.07,0.74,0.84,0.14,0.87,0.1,0.51,0.14,0.64,0.1
0.76,0.76,0.53,0.32,0.3,0.46,0.51,0.06,0.56,0.26,0.54,0.42,0.56,0.1,0.51,0.84,0.14,0.95,0.04,0.5,0.14,0.82,0.04
0.79,0.79,0.59,0.43,0.24,0.64,0.33,0.1,0.44,0.37,0.39,0.53,0.44,0.21,0.33,0.88,0.1,0.95,0.04,0.58,0.1,0.82,0.04
0.82,0.81,0.63,0.51,0.2,0.76,0.21,0.15,0.35,0.46,0.28,0.63,0.35,0.33,0.21,0.92,0.07,0.9,0.08,0.7,0.07,0.63,0.08
0.82,0.81,0.64,0.55,0.18,0.83,0.15,0.2,0.28,0.52,0.22,0.7,0.28,0.48,0.15,0.96,0.03,0.86,0.12,0.83,0.03,0.52,0.12
0.82,0.81,0.64,0.59,0.16,0.89,0.09,0.24,0.24,0.56,0.16,0.74,0.24,0.65,0.09,0.98,0.02,0.82,0.16,0.91,0.02,0.43,0.16
0.82,0.81,0.64,0.6,0.15,0.91,0.07,0.26,0.21,0.58,0.14,0.77,0.21,0.72,0.07,0.99,0.01,0.8,0.18,0.95,0.01,0.41,0.18
0.82,0.81,0.64,0.59,0.16,0.89,0.09,0.24,0.23,0.56,0.16,0.75,0.23,0.66,0.09,0.98,0.02,0.81,0.17,0.91,0.02,0.43,0.17
0.82,0.8,0.63,0.55,0.18,0.82,0.15,0.2,0.25,0.51,0.2,0.74,0.25,0.54,0.15,0.96,0.03,0.83,0.14,0.83,0.03,0.5,0.14
0.8,0.78,0.61,0.46,0.21,0.69,0.26,0.14,0.27,0.41,0.27,0.72,0.27,0.39,0.26,0.94,0.05,0.87,0.1,0.73,0.05,0.64,0.1
0.78,0.75,0.56,0.32,0.27,0.46,0.46,0.07,0.32,0.27,0.39,0.67,0.32,0.24,0.46,0.91,0.08,0.96,0.03,0.58,0.08,0.89,0.03
0.75,0.72,0.51,0.2,0.33,0.27,0.64,0.04,0.37,0.15,0.51,0.62,0.37,0.16,0.64,0.9,0.09,0.96,0.03,0.57,0.09,0.9,0.03
0.74,0.7,0.48,0.12,0.37,0.15,0.76,0.02,0.44,0.08,0.6,0.56,0.44,0.11,0.76,0.86,0.12,0.9,0.08,0.47,0.12,0.74,0.08
0.73,0.69,0.46,0.07,0.4,0.09,0.83,0.01,0.47,0.05,0.65,0.53,0.47,0.09,0.83,0.83,0.16,0.86,0.11,0.35,0.16,0.66,0.11
0.73,0.69,0.46,0.07,0.4,0.09,0.83,0.01,0.48,0.05,0.66,0.52,0.48,0.09,0.83,0.83,0.15,0.86,0.11,0.36,0.15,0.66,0.11
0.74,0.71,0.48,0.13,0.37,0.18,0.75,0.02,0.47,0.1,0.61,0.53,0.47,0.1,0.75,0.85,0.13,0.89,0.09,0.44,0.13,0.7,0.09
0.76,0.73,0.52,0.23,0.32,0.32,0.62,0.04,0.43,0.18,0.53,0.56,0.43,0.13,0.62,0.88,0.11,0.94,0.05,0.53,0.11,0.83,0.05
0.79,0.78,0.58,0.37,0.27,0.54,0.41,0.07,0.41,0.31,0.41,0.58,0.41,0.19,0.41,0.88,0.11,0.98,0.01,0.52,0.11,0.93,0.01
0.81,0.79,0.61,0.47,0.22,0.7,0.27,0.13,0.34,0.41,0.31,0.64,0.34,0.32,0.27,0.92,0.07,0.9,0.08,0.67,0.07,0.68,0.08
