ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.54,0.7,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.58,0.71,0.16,0.93,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.95,0.03,0.0,1.0,0.93,0.03,0.0,1.0
0.63,0.71,0.25,0.81,0.09,0.8,0.2,0.57,0.39,0.69,0.3,0.19,0.39,0.09,0.2,0.98,0.01,0.88,0.09,0.97,0.01,0.73,0.09
0.63,0.71,0.25,0.81,0.09,0.79,0.21,0.57,0.38,0.68,0.29,0.21,0.38,0.09,0.21,0.98,0.01,0.85,0.11,0.97,0.01,0.66,0.11
0.64,0.7,0.27,0.73,0.13,0.67,0.31,0.49,0.4,0.58,0.35,0.35,0.4,0.12,0.31,0.99,0.01,0.78,0.17,0.97,0.01,0.55,0.17
0.64,0.71,0.26,0.78,0.1,0.76,0.23,0.54,0.39,0.65,0.31,0.29,0.39,0.14,0.23,0.98,0.01,0.87,0.1,0.96,0.01,0.72,0.1
0.65,0.71,0.28,0.74,0.12,0.72,0.27,0.47,0.44,0.59,0.35,0.28,0.44,0.12,0.27,0.95,0.03,0.84,0.12,0.92,0.03,0.65,0.12
0.65,0.69,0.28,0.7,0.14,0.65,0.33,0.44,0.41,0.55,0.37,0.39,0.41,0.17,0.33,0.96,0.02,0.83,0.12,0.93,0.02,0.67,0.12
0.66,0.72,0.3,0.77,0.11,0.75,0.24,0.53,0.37,0.64,0.3,0.37,0.37,0.15,0.24,0.97,0.02,0.84,0.13,0.95,0.02,0.62,0.13
0.66,0.71,0.3,0.75,0.11,0.73,0.25,0.5,0.37,0.61,0.31,0.41,0.37,0.21,0.25,0.97,0.02,0.88,0.09,0.94,0.02,0.75,0.09
0.65,0.69,0.3,0.71,0.13,0.67,0.31,0.45,0.39,0.56,0.35,0.43,0.39,0.2,0.31,0.97,0.02,0.86,0.11,0.93,0.02,0.72,0.11
0.66,0.71,0.31,0.76,0.11,0.73,0.25,0.52,0.34,0.62,0.3,0.46,0.34,0.23,0.25,0.98,0.01,0.88,0.09,0.96,0.01,0.75,0.09
0.66,0.7,0.31,0.75,0.11,0.72,0.25,0.52,0.32,0.62,0.29,0.52,0.32,0.29,0.25,0.98,0.01,0.91,0.06,0.97,0.01,0.82,0.06
0.66,0.71,0.31,0.79,0.09,0.77,0.2,0.57,0.29,0.67,0.24,0.53,0.29,0.32,0.2,0.99,0.0,0.94,0.05,0.99,0.0,0.87,0.05
0.66,0.69,0.31,0.74,0.11,0.71,0.25,0.52,0.29,0.61,0.27,0.57,0.29,0.35,0.25,0.99,0.01,0.93,0.05,0.97,0.01,0.87,0.05
0.66,0.72,0.31,0.8,0.09,0.79,0.19,0.57,0.3,0.68,0.24,0.49,0.3,0.3,0.19,0.98,0.01,0.94,0.04,0.97,0.01,0.87,0.04
0.66,0.71,0.31,0.81,0.09,0.8,0.18,0.59,0.27,0.7,0.23,0.55,0.27,0.36,0.18,1.0,0.0,0.96,0.03,0.99,0.0,0.91,0.03
0.66,0.71,0.31,0.81,0.08,0.8,0.17,0.6,0.26,0.7,0.22,0.58,0.26,0.43,0.17,1.0,0.0,0.99,0.01,1.0,0.0,0.98,0.01
0.66,0.71,0.32,0.82,0.08,0.82,0.16,0.62,0.24,0.72,0.2,0.6,0.24,0.45,0.16,1.0,0.0,0.99,0.0,1.0,0.0,0.99,0.0
0.66,0.7,0.31,0.81,0.08,0.8,0.17,0.61,0.23,0.71,0.2,0.65,0.23,0.49,0.17,1.0,0.0,0.99,0.0,0.99,0.0,0.99,0.0
0.66,0.7,0.31,0.81,0.08,0.8,0.17,0.61,0.24,0.71,0.21,0.62,0.24,0.47,0.17,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.66,0.71,0.32,0.8,0.09,0.8,0.18,0.57,0.28,0.69,0.23,0.54,0.28,0.39,0.18,0.98,0.01,0.99,0.01,0.96,0.01,0.98,0.01
0.66,0.71,0.31,0.81,0.08,0.8,0.18,0.6,0.27,0.7,0.23,0.56,0.27,0.38,0.18,1.0,0.0,0.96,0.02,0.99,0.0,0.93,0.02
0.67,0.71,0.32,0.83,0.08,0.83,0.15,0.62,0.23,0.72,0.19,0.63,0.23,0.49,0.15,1.0,0.0,0.99,0.01,1.0,0.0,0.97,0.01
0.66,0.71,0.32,0.83,0.07,0.83,0.15,0.63,0.23,0.73,0.19,0.62,0.23,0.48,0.15,1.0,0.0,0.99,0.01,1.0,0.0,0.98,0.01
0.66,0.71,0.32,0.82,0.08,0.82,0.16,0.6,0.26,0.71,0.21,0.57,0.26,0.41,0.16,0.99,0.0,0.99,0.01,0.99,0.0,0.97,0.01
0.66,0.71,0.31,0.81,0.08,0.81,0.17,0.6,0.27,0.71,0.22,0.56,0.27,0.39,0.17,0.99,0.0,0.98,0.01,0.99,0.0,0.96,0.01
0.66,0.71,0.31,0.82,0.08,0.81,0.17,0.62,0.26,0.72,0.22,0.56,0.26,0.39,0.17,1.0,0.0,0.97,0.02,1.0,0.0,0.94,0.02
0.66,0.71,0.31,0.81,0.09,0.79,0.18,0.6,0.26,0.7,0.22,0.57,0.26,0.38,0.18,1.0,0.0,0.96,0.03,1.0,0.0,0.92,0.03
0.66,0.71,0.31,0.8,0.09,0.8,0.18,0.59,0.26,0.7,0.22,0.58,0.26,0.42,0.18,0.99,0.0,0.99,0.01,0.99,0.0,0.97,0.01
0.67,0.71,0.32,0.8,0.09,0.8,0.17,0.56,0.27,0.68,0.22,0.59,0.27,0.46,0.17,0.98,0.01,0.99,0.01,0.96,0.01,0.98,0.01
0.66,0.71,0.31,0.82,0.08,0.81,0.17,0.62,0.25,0.72,0.21,0.59,0.25,0.42,0.17,1.0,0.0,0.98,0.01,0.99,0.0,0.96,0.01
0.66,0.71,0.31,0.83,0.08,0.82,0.15,0.62,0.24,0.72,0.2,0.61,0.24,0.48,0.15,1.0,0.0,0.99,0.01,1.0,0.0,0.97,0.01
